Running Forward KL,Real Det Return,Itration,Real Sto Return,Running Reverse KL
72.5516,1012.35,147,351.06,31.1458
73.133,867.19,148,295.59,31.4728
72.7539,963.49,149,350.6,31.27
73.5644,1019.06,150,306.73,31.0644
74.6359,908.28,151,317.09,31.7056
73.9287,1023.94,152,318.75,31.724
74.6089,864.02,153,327.67,30.8705
74.162,866.25,154,282.19,31.0049
73.057,871.75,155,329.95,31.2677
74.5063,960.17,156,347.12,31.6831
74.2812,770.0,157,329.36,31.2211
74.8719,1012.69,158,345.07,31.1839
75.8294,965.04,159,350.09,32.0145
74.6635,1020.5,160,328.21,31.3562
74.1958,965.28,161,349.5,31.462
74.5405,961.38,162,264.52,31.1434
74.2804,912.61,163,318.09,30.9633
73.1236,1009.65,164,339.21,31.054
73.5613,1016.75,165,316.42,30.9563
74.4425,969.51,166,304.22,31.2292
74.3655,1017.04,167,314.3,31.0527
73.6477,962.87,168,319.93,31.0449
73.3027,1009.31,169,332.75,30.996
73.4923,1008.6,170,290.83,31.1288
74.6741,1016.72,171,308.48,31.4039
75.1137,1010.08,172,346.08,31.4803
72.5138,1018.46,173,327.95,31.0443
73.6381,1014.21,174,288.51,31.1932
75.4925,1017.28,175,336.56,31.4825
72.5144,1012.55,176,309.78,30.5429
73.5993,967.19,177,336.13,30.8526
72.4057,977.61,178,284.49,30.8435
73.3854,918.69,179,300.75,30.9114
74.5257,1016.37,180,324.61,31.2222
73.0621,1004.65,181,336.79,31.1417
74.0848,959.04,182,353.86,31.4461
74.087,1017.71,183,327.35,31.2006
75.6506,1009.67,184,331.31,31.1139
74.2897,961.08,185,345.89,31.7482
74.7785,967.8,186,334.45,30.9478
74.4553,969.11,187,311.56,31.0507
74.6766,1013.8,188,341.71,31.2573
74.4423,913.86,189,306.6,31.3436
74.1186,818.43,190,340.57,31.3929
74.4492,1019.95,191,297.81,31.2229
74.5546,968.6,192,347.84,30.7867
74.4211,968.81,193,301.55,31.0759
74.0406,1015.15,194,281.04,31.1947
74.7439,973.0,195,341.39,31.2875
74.4579,965.7,196,329.69,31.1078
74.2037,1018.03,197,324.95,31.6258
73.4892,1002.22,198,310.73,31.3657
73.956,1011.7,199,305.63,31.1818
73.818,962.54,200,310.77,30.9521
73.4615,905.03,201,335.34,31.3343
73.6926,964.55,202,291.65,31.1043
75.0259,912.75,203,308.1,31.1377
74.6572,973.31,204,290.37,31.0447
75.2632,970.64,205,321.59,31.1541
75.2785,905.25,206,289.73,31.2348
73.7773,1018.26,207,315.51,30.8419
73.6031,962.75,208,287.21,31.083
74.5558,956.08,209,299.33,31.1225
74.6208,963.97,210,314.58,31.0416
73.3196,1012.3,211,303.86,30.944
74.3957,1013.56,212,286.16,31.1806
75.1908,766.96,213,291.03,31.1744
74.7251,959.34,214,341.43,31.4166
74.27,862.34,215,320.46,31.0019
75.249,908.38,216,283.1,30.7069
74.5319,863.9,217,333.53,30.8284
74.7451,810.76,218,302.5,31.2276
74.0401,960.5,219,304.14,30.5669
74.158,962.16,220,337.12,30.6315
75.1954,963.92,221,301.6,30.7591
74.1007,1018.92,222,336.78,31.2824
74.879,859.24,223,274.4,30.8544
74.5555,829.84,224,309.77,30.7646
74.8458,762.24,225,294.37,30.9727
74.6982,864.04,226,301.55,31.0196
75.2334,911.37,227,265.44,31.0078
75.1547,956.87,228,279.11,30.7948
74.3826,768.6,229,251.79,30.889
74.6192,955.43,230,297.38,30.9003
74.4086,904.65,231,309.79,30.7711
74.1894,910.3,232,318.17,30.6662
74.7983,906.89,233,298.83,30.7798
74.1534,806.76,234,301.09,30.9254
74.4971,911.62,235,316.5,31.2624
74.3405,956.8,236,302.11,30.9871
74.3481,906.33,237,304.08,30.8467
75.4033,903.02,238,305.74,30.8927
74.4461,1011.14,239,330.98,30.6164
74.1683,809.86,240,278.54,30.7631
74.229,962.64,241,300.89,31.0407
75.2064,960.52,242,302.68,31.0541
74.7142,913.94,243,317.58,30.7456
74.8167,913.55,244,296.24,31.5838
74.6281,912.35,245,314.05,30.7745
73.7794,907.02,246,327.6,30.6759
74.4814,957.34,247,279.67,30.7658
74.2677,676.56,248,309.08,30.8003
75.1214,1000.76,249,307.56,30.7118
74.7783,859.11,250,309.56,30.5109
74.5241,910.77,251,294.75,30.588
75.0895,957.33,252,292.89,30.707
73.6813,813.72,253,234.82,30.722
74.3917,869.79,254,323.57,31.0731
74.3574,1011.7,255,297.22,30.6914
74.9691,806.32,256,273.2,30.7036
74.3757,911.25,257,287.44,30.5343
74.1712,963.89,258,305.99,30.7933
73.7676,963.53,259,323.53,30.6123
73.5369,966.12,260,265.62,30.4693
74.6242,862.21,261,274.76,30.2961
74.6033,864.66,262,259.38,30.4892
73.9159,860.61,263,269.17,30.1769
74.8616,961.81,264,286.42,30.5995
74.919,1008.32,265,274.21,30.4816
73.2492,1005.03,266,327.93,30.2577
74.4065,1011.15,267,256.3,30.4478
74.6878,964.64,268,317.21,30.6462
74.7691,965.35,269,329.29,30.4135
73.5962,960.98,270,302.04,30.3248
74.0431,912.64,271,330.8,30.2567
74.7003,958.58,272,295.95,30.6562
74.5923,958.84,273,303.59,30.618
74.0698,955.69,274,309.89,30.6684
75.757,903.47,275,274.1,30.6458
74.4372,961.58,276,273.01,29.9758
74.5275,1003.47,277,315.18,30.7346
74.5288,962.82,278,311.25,30.4855
74.7707,812.01,279,265.34,30.7246
74.9357,1002.05,280,270.86,30.8183
74.5501,913.5,281,244.2,30.3562
75.416,958.82,282,309.69,30.6868
74.9755,854.15,283,283.85,30.3418
74.8469,955.86,284,279.9,30.7465
74.9514,966.2,285,314.2,30.1825
74.5971,1002.74,286,304.73,30.5062
73.723,910.96,287,269.25,30.2961
73.8346,861.75,288,260.85,30.4065
74.1304,914.88,289,332.69,30.4935
74.4531,911.8,290,283.72,30.3813
73.6079,909.39,291,309.96,30.2385
74.894,959.99,292,290.4,30.7146
74.8671,956.81,293,300.03,30.7802
74.2845,958.45,294,285.75,30.8721
74.7147,957.89,295,311.63,30.496
74.2959,1010.89,296,264.74,30.0632
75.0553,759.32,297,305.05,30.5103
74.4931,1012.07,298,291.99,30.9678
73.326,907.61,299,289.15,30.6188
75.2379,958.17,300,271.61,30.4449
74.9619,858.5,301,287.62,30.3959
74.6952,860.5,302,296.61,30.2126
74.158,1006.58,303,324.3,30.4347
74.8235,851.41,304,293.66,30.6526
74.2382,860.38,305,265.51,30.6547
75.5544,798.35,306,215.51,30.662
74.3852,905.64,307,296.33,30.4534
75.4175,813.07,308,274.18,30.3931
74.8245,859.28,309,284.78,30.4756
74.1997,761.61,310,266.67,30.5829
75.2818,1013.61,311,287.27,30.2067
74.7226,906.2,312,289.95,30.1953
74.4399,900.13,313,314.33,30.6592
75.0715,903.59,314,234.56,30.557
74.8281,901.11,315,279.56,30.6381
75.7867,909.79,316,318.87,30.6371
75.1533,906.37,317,288.68,30.8919
74.5839,904.14,318,298.88,30.5361
75.1778,906.07,319,275.14,30.5737
74.6364,904.56,320,269.76,30.4886
74.5963,810.06,321,312.71,30.1393
74.1346,851.97,322,316.05,30.2244
74.81,909.14,323,286.37,30.5456
74.5245,908.48,324,240.82,30.3199
74.8712,814.46,325,265.85,30.8595
74.8084,908.67,326,270.79,30.3296
75.1312,806.55,327,248.95,30.4667
75.0113,911.47,328,236.23,30.5473
75.2825,845.62,329,308.63,30.4966
75.2413,905.29,330,282.93,30.5608
75.46,705.5,331,261.9,30.3417
74.0177,864.94,332,254.82,30.3764
75.2908,812.85,333,292.6,30.4956
75.3096,716.25,334,318.84,30.3558
74.8776,760.07,335,245.37,30.5617
75.4401,905.04,336,249.86,30.6755
75.3907,962.57,337,315.21,30.9151
75.1781,903.22,338,298.3,30.6474
74.619,907.74,339,308.99,30.89
74.8962,914.25,340,310.24,30.7108
74.4905,760.37,341,274.59,30.8291
74.7308,903.94,342,299.11,30.8903
74.8307,857.0,343,278.03,31.0283
75.1095,812.08,344,285.95,31.0046
74.6895,812.71,345,321.35,30.9273
74.5398,858.31,346,317.65,31.1801
75.2377,913.67,347,318.43,30.4767
75.2207,962.27,348,258.29,30.9961
74.9566,858.14,349,274.18,30.727
75.08,801.74,350,322.27,31.0897
74.8827,857.97,351,328.44,31.031
