Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Running Forward KL,Running Env Steps,Itration
563.61,-99.47,26.6727,0,12.637458801269531,74.9032,0,0
497.48,-57.15,26.4976,1,5.302384376525879,74.3131,5000,1
406.21,-37.36,27.9579,2,-9.870238304138184,74.4286,10000,2
451.21,-13.36,27.3495,3,-21.657556533813477,74.47,15000,3
636.42,13.69,27.9657,4,-25.90435791015625,73.3627,20000,4
570.65,36.47,27.8365,5,-39.02178192138672,71.5065,25000,5
499.9,39.16,27.6901,6,-50.656951904296875,69.3065,30000,6
503.57,73.83,29.0988,7,-59.909847259521484,69.9769,35000,7
498.88,111.31,28.579,8,-73.19539642333984,69.1765,40000,8
618.37,112.4,29.4714,9,-81.62820434570312,70.3729,45000,9
692.61,149.6,27.9397,10,-89.60612487792969,64.3788,50000,10
826.36,145.06,29.4944,11,-108.57199096679688,69.9535,55000,11
924.22,268.34,30.0832,12,-118.94367218017578,68.5807,60000,12
729.62,214.4,28.2488,13,-126.53890228271484,66.1906,65000,13
613.13,234.37,29.5385,14,-143.20831298828125,68.6613,70000,14
802.97,319.93,28.1826,15,-150.4390106201172,65.0199,75000,15
723.51,231.98,29.5529,16,-168.68040466308594,69.9398,80000,16
747.14,206.97,29.0669,17,-174.19505310058594,68.6836,85000,17
646.62,270.09,28.8084,18,-182.61167907714844,65.8447,90000,18
1190.91,326.89,27.0407,19,-187.05772399902344,63.0598,95000,19
952.17,273.88,29.041,20,-211.41929626464844,66.4494,100000,20
936.06,248.41,26.5381,21,-215.52293395996094,62.4522,105000,21
1059.13,230.08,27.9637,22,-236.31654357910156,66.7652,110000,22
881.29,227.25,28.7345,23,-245.12840270996094,66.9307,115000,23
1067.16,348.33,28.3403,24,-253.07542419433594,65.7069,120000,24
786.22,285.06,29.8205,25,-277.8891296386719,70.564,125000,25
