Running Forward KL,Real Det Return,Running Reverse KL,Itration,Real Sto Return
158.6364,-18.33,11.9523,0,-177.46
158.605,13.07,12.3381,1,-31.0
158.4939,675.03,13.1229,2,201.16
158.5536,875.76,14.1913,3,471.92
158.4486,1052.38,14.9189,4,630.58
158.2762,1230.5,14.9657,5,727.09
158.071,1129.21,14.8741,6,634.06
158.0141,1235.96,15.0123,7,800.71
158.2477,1417.69,15.9737,8,948.06
158.4605,1487.79,16.3982,9,995.91
158.2968,1501.05,16.7933,10,1037.88
158.1316,1561.13,16.9793,11,1171.27
158.2185,1619.46,17.2628,12,1216.56
158.1464,1707.35,17.4894,13,1317.91
