Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Running Env Steps,Itration,Running Update Time,Running Reverse KL
469.3505,167.69,286.3,-2470.35595703125,0,0,0,311.27
460.4795,247.78,272.91,-1849.8765869140625,5000,1,1,278.7494
471.7217,287.59,304.21,-2739.878662109375,10000,2,2,284.2128
422.193,458.13,459.77,-1953.9881591796875,15000,3,3,265.3971
424.637,505.3,465.12,-1990.429931640625,20000,4,4,265.3953
420.222,394.18,441.07,-2463.997314453125,25000,5,5,262.7885
418.0195,426.19,446.01,-2368.848388671875,30000,6,6,263.3508
409.7784,417.03,496.81,-3213.14013671875,35000,7,7,255.4605
417.0213,467.0,460.64,-1926.0933837890625,40000,8,8,272.4941
403.0951,421.16,422.19,-3312.19384765625,45000,9,9,248.2922
394.6503,391.91,447.48,-3381.4423828125,50000,10,10,244.3877
387.8666,465.85,448.54,-3964.936767578125,55000,11,11,245.1597
390.6478,423.61,517.73,-3482.854248046875,60000,12,12,240.7686
403.5021,509.8,556.87,-4329.36865234375,65000,13,13,256.8405
392.4537,508.01,526.55,-4519.08447265625,70000,14,14,238.766
380.4374,484.48,517.36,-4537.62646484375,75000,15,15,246.5403
380.4234,460.31,489.35,-5079.84912109375,80000,16,16,231.981
381.5707,453.35,501.62,-5435.37451171875,85000,17,17,272.159
375.9955,527.6,556.38,-5415.087890625,90000,18,18,227.1737
365.6249,473.96,531.18,-5539.13134765625,95000,19,19,244.5532
370.4584,587.68,610.79,-5127.6396484375,100000,20,20,228.7718
361.1369,538.82,692.72,-5294.845703125,105000,21,21,226.403
375.3472,586.81,579.01,-5999.61767578125,110000,22,22,231.079
383.8431,466.08,549.12,-5272.0341796875,115000,23,23,252.8469
359.1001,526.01,678.21,-6277.7138671875,120000,24,24,232.2822
352.4125,533.43,778.91,-6320.80810546875,125000,25,25,222.7301
356.6317,481.93,646.8,-7416.515625,130000,26,26,246.4099
357.6657,573.92,633.43,-7104.224609375,135000,27,27,232.585
364.4762,556.65,691.18,-7240.046875,140000,28,28,233.9453
358.7028,560.54,667.48,-7643.62255859375,145000,29,29,231.5327
356.8799,575.36,774.47,-7396.623046875,150000,30,30,222.24
349.0197,655.96,728.67,-8139.71533203125,155000,31,31,226.1503
350.6443,529.83,658.32,-7951.3740234375,160000,32,32,219.2741
366.0853,602.49,701.43,-8899.8720703125,165000,33,33,218.2455
355.5714,701.28,684.0,-8311.705078125,170000,34,34,212.3222
358.6876,686.17,721.45,-8974.130859375,175000,35,35,228.9133
358.4675,700.67,807.7,-9129.2626953125,180000,36,36,221.451
347.7055,689.15,828.95,-9114.8212890625,185000,37,37,224.2413
347.5128,801.0,982.95,-8558.025390625,190000,38,38,219.0629
327.1155,987.73,916.21,-7985.9423828125,195000,39,39,195.7365
326.1388,656.79,753.32,-8913.00390625,200000,40,40,215.019
345.0856,766.61,770.42,-9284.1181640625,205000,41,41,226.82
337.2243,702.19,1079.83,-9637.677734375,210000,42,42,245.1332
334.1228,840.86,1090.0,-9744.0029296875,215000,43,43,238.2289
342.0093,633.99,1022.31,-9954.46875,220000,44,44,261.5062
318.8595,870.24,1316.58,-7953.85009765625,225000,45,45,199.0893
332.7782,630.97,1181.79,-10163.0654296875,230000,46,46,230.001
313.6308,968.4,2644.23,-7269.37744140625,235000,47,47,176.734
