Itration,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
0,0,247.78,14.0201,214.79307556152344,328.25,0,49.9501
1,5000,268.98,16.6761,191.23399353027344,310.83,1,49.8132
2,10000,279.77,34.4065,196.4796600341797,471.51,2,49.7362
3,15000,350.92,24.3316,145.7166748046875,367.07,3,50.3935
4,20000,344.32,16.3647,89.26570129394531,341.44,4,50.0123
5,25000,473.95,40.5548,172.09231567382812,521.93,5,49.1722
6,30000,472.29,17.1431,94.08208465576172,508.58,6,49.7848
7,35000,512.11,32.8984,141.54624938964844,453.67,7,49.4695
8,40000,460.02,19.9995,93.51603698730469,495.09,8,49.839
9,45000,449.84,24.2189,83.63764190673828,432.29,9,49.6399
10,50000,574.97,29.5356,113.29999542236328,656.96,10,48.3909
11,55000,587.84,17.848,91.09931945800781,1010.17,11,48.7756
12,60000,520.88,14.0073,72.22123718261719,742.63,12,48.7228
13,65000,505.39,15.8704,59.47087860107422,703.38,13,48.6148
14,70000,737.67,15.2861,25.186269760131836,580.85,14,47.9784
15,75000,1186.08,20.1308,-9.80268383026123,1578.24,15,46.9024
16,80000,985.92,15.8229,22.687271118164062,1160.8,16,47.4092
17,85000,967.89,14.7778,-29.926448822021484,1040.05,17,47.5337
18,90000,1009.71,38.297,-126.2430419921875,1064.56,18,47.1139
19,95000,1288.98,16.657,-42.273780822753906,2303.06,19,46.4852
20,100000,2398.2,23.694,-27.714021682739258,3052.53,20,46.5891
21,105000,1966.3,18.6022,-72.67916870117188,2917.87,21,46.0991
22,110000,1678.3,17.5703,-58.41654586791992,2697.76,22,47.8192
23,115000,1493.5,19.3106,-73.09329986572266,1705.14,23,47.0975
24,120000,2123.47,19.7591,-104.01599884033203,3109.2,24,46.4962
25,125000,2978.01,20.5683,-118.48944091796875,2714.96,25,46.7188
26,130000,3412.21,23.9239,-137.53541564941406,3393.67,26,47.2024
27,135000,2917.39,19.0932,-123.34387969970703,2632.04,27,46.2342
28,140000,3079.58,21.086,-133.01695251464844,3507.76,28,46.2367
29,145000,3675.27,22.8267,-144.19137573242188,3675.47,29,46.9084
30,150000,2575.84,18.771,-151.41188049316406,2867.6,30,46.4165
31,155000,3324.22,21.1075,-168.86009216308594,3426.43,31,46.0894
32,160000,3302.8,23.4166,-183.63421630859375,3283.56,32,47.0975
33,165000,1653.49,23.123,-160.2727508544922,1361.08,33,46.7561
34,170000,3623.76,24.1359,-198.28001403808594,3558.38,34,47.0389
35,175000,3894.88,25.8095,-212.0869598388672,3772.61,35,47.5171
36,180000,3611.67,23.121,-214.87252807617188,3548.54,36,46.2954
37,185000,3431.96,20.7867,-202.86375427246094,3600.59,37,46.4841
38,190000,3427.77,22.2579,-234.019287109375,3713.63,38,46.6484
39,195000,2850.68,18.5085,-217.84620666503906,1835.16,39,46.2314
40,200000,4023.49,23.0239,-245.37469482421875,4012.62,40,45.3823
41,205000,3737.22,24.4661,-269.3874206542969,3708.5,41,46.5632
42,210000,3885.84,24.4074,-257.0939025878906,3901.34,42,46.1234
43,215000,3940.8,23.8975,-266.7061462402344,4141.79,43,45.8098
44,220000,4128.1,24.2948,-276.1477355957031,4194.45,44,46.1263
45,225000,1866.45,24.5149,-280.7654724121094,1058.3,45,46.7276
46,230000,273.31,25.272,-277.43499755859375,9.35,46,47.7091
47,235000,4304.01,25.9156,-311.6336364746094,4156.23,47,46.7125
48,240000,4129.04,23.57,-321.1262512207031,4095.07,48,46.1342
49,245000,4322.8,26.8544,-327.81634521484375,4272.14,49,46.8309
50,250000,4120.23,22.649,-318.3133544921875,4102.71,50,45.5546
51,255000,3944.11,23.1179,-326.8393249511719,4201.62,51,46.5726
52,260000,853.25,24.7847,-322.26165771484375,952.26,52,46.8355
53,265000,3498.96,26.1547,-345.86602783203125,3999.82,53,46.6281
54,270000,3416.75,25.4009,-389.87738037109375,3405.56,54,46.6607
55,275000,3955.91,30.1656,-376.2661437988281,4199.72,55,46.4397
56,280000,4343.2,25.4153,-397.35797119140625,4324.01,56,47.1046
57,285000,4303.12,27.8568,-421.8291931152344,4276.6,57,47.3851
58,290000,4262.93,23.8881,-371.5147399902344,4378.29,58,45.9309
