Real Sto Return,Running Env Steps,Running Update Time,Itration,Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss
-198.25,0,0,0,-5.17,11.5467,158.4813,-1403.3209228515625
-96.24,5000,1,1,24.61,11.974,158.4807,-1620.630859375
47.51,10000,2,2,107.88,12.1782,158.3282,-2210.33740234375
204.59,15000,3,3,761.82,12.5544,158.2713,-2727.351318359375
248.49,20000,4,4,739.43,12.3936,158.0622,-2937.219482421875
446.87,25000,5,5,885.19,13.1054,158.2175,-3255.561279296875
525.46,30000,6,6,1047.77,13.6754,158.1713,-3688.79345703125
699.51,35000,7,7,1028.0,14.2655,158.167,-3795.215576171875
780.37,40000,8,8,1168.62,15.2325,158.2339,-4162.20458984375
953.99,45000,9,9,1394.77,15.4911,158.0149,-4263.2138671875
1094.62,50000,10,10,1491.63,16.6095,157.9983,-4514.1162109375
1161.1,55000,11,11,1608.38,16.6798,157.7496,-4799.95947265625
1187.36,60000,12,12,1613.21,16.7535,157.9346,-4952.66455078125
1204.37,65000,13,13,1612.68,16.6634,157.8428,-5112.728515625
1183.39,70000,14,14,1653.44,16.683,157.8255,-5417.919921875
1278.81,75000,15,15,1682.36,16.8131,157.954,-5507.3447265625
1245.01,80000,16,16,1666.82,16.551,158.0337,-5605.505859375
1289.83,85000,17,17,1694.21,16.4618,158.0587,-5779.3046875
1330.82,90000,18,18,1736.85,16.4312,157.7808,-6027.94873046875
1377.2,95000,19,19,1758.22,16.7034,158.0684,-6211.83837890625
1395.65,100000,20,20,1803.9,16.8832,158.0625,-6471.64599609375
1428.57,105000,21,21,1813.93,16.4553,157.9102,-6531.5146484375
1449.48,110000,22,22,1833.33,16.8793,158.1211,-6852.103515625
1483.1,115000,23,23,1857.44,16.8632,157.969,-6993.8525390625
1478.38,120000,24,24,1792.91,16.6532,157.9222,-7159.880859375
1515.15,125000,25,25,1879.9,16.8502,157.841,-7379.0146484375
1477.37,130000,26,26,1786.25,16.5383,158.1339,-7483.7333984375
1497.01,135000,27,27,1839.1,16.7637,157.9017,-7801.0830078125
1540.98,140000,28,28,1869.95,16.5741,157.7798,-7980.70458984375
1530.16,145000,29,29,1890.26,16.5092,157.7375,-8082.8056640625
1528.34,150000,30,30,1831.78,16.7004,157.7946,-8422.0078125
1570.9,155000,31,31,1949.35,16.7262,157.6091,-8564.26953125
1527.73,160000,32,32,1856.65,16.6874,157.9497,-8535.8046875
1579.49,165000,33,33,1946.58,16.8613,157.8788,-8903.3740234375
1587.28,170000,34,34,1939.89,16.6019,157.8547,-8925.412109375
1612.26,175000,35,35,1963.48,16.5942,157.6814,-9191.36328125
1622.74,180000,36,36,2013.03,16.7227,157.5911,-9493.0927734375
1616.26,185000,37,37,1965.73,16.5127,157.6069,-9598.634765625
1605.85,190000,38,38,1993.26,16.3542,157.4038,-9838.326171875
1651.55,195000,39,39,2052.11,16.6765,157.5418,-10019.947265625
1636.86,200000,40,40,1974.08,16.572,157.6451,-10210.5419921875
1661.32,205000,41,41,2029.68,16.8147,157.5478,-10374.4755859375
1640.3,210000,42,42,2046.0,16.4669,157.457,-10548.275390625
1653.9,215000,43,43,2001.35,16.4988,157.5961,-10646.5712890625
1662.77,220000,44,44,2062.31,16.7883,157.4581,-10972.6953125
1658.25,225000,45,45,2026.0,16.4546,157.5425,-11133.244140625
1680.9,230000,46,46,1989.22,16.6776,157.6966,-11440.4091796875
1668.8,235000,47,47,2024.68,16.3315,157.322,-11603.224609375
1706.41,240000,48,48,2060.31,16.4272,157.3936,-11640.2783203125
1678.66,245000,49,49,1999.83,16.4117,157.3098,-11804.41015625
1662.63,250000,50,50,2050.79,15.9798,157.3344,-12139.7744140625
1671.86,255000,51,51,2022.65,16.3423,157.3978,-12317.1767578125
1632.18,260000,52,52,1923.58,16.5604,157.4306,-12760.96484375
1690.29,265000,53,53,1987.51,16.2692,157.4619,-12708.3505859375
1692.29,270000,54,54,2054.85,16.3096,157.3024,-12948.7373046875
1697.46,275000,55,55,2028.23,15.9987,157.4659,-12995.646484375
1653.88,280000,56,56,2019.31,15.9819,157.2225,-13363.4658203125
1750.22,285000,57,57,2120.21,16.5879,157.0867,-13525.7548828125
1677.01,290000,58,58,2028.0,16.3405,157.1995,-13724.07421875
1733.07,295000,59,59,2080.84,16.4258,157.4026,-13924.3583984375
1689.82,300000,60,60,2028.72,16.0012,157.2515,-14112.212890625
1750.4,305000,61,61,2079.61,16.0268,156.9117,-14360.171875
1725.05,310000,62,62,2098.87,16.1527,157.2238,-14622.482421875
1731.31,315000,63,63,2016.26,16.1293,157.0572,-14727.0390625
1749.71,320000,64,64,2108.0,16.2046,157.3154,-14897.427734375
1715.11,325000,65,65,2038.18,16.0471,157.1519,-15190.62109375
1751.18,330000,66,66,2094.15,16.0928,157.1287,-15408.287109375
1768.33,335000,67,67,2093.4,16.1599,157.1361,-15631.8798828125
1764.28,340000,68,68,2117.35,16.047,157.0147,-15772.84765625
1757.28,345000,69,69,2132.43,16.0502,156.9708,-15958.31640625
1743.08,350000,70,70,2060.72,15.9045,157.048,-16250.7939453125
1769.09,355000,71,71,2144.03,16.1371,157.1231,-16499.4140625
1756.32,360000,72,72,2134.8,15.9871,157.056,-16770.404296875
