Running Env Steps,Reward Loss,Running Update Time,Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,-35.645084381103516,0,0,26.5663,74.1549,-99.2,147.05
5000,-55.38735580444336,1,1,24.9489,74.0021,-39.65,357.67
10000,-68.28182983398438,2,2,26.3213,73.3114,-18.39,336.04
15000,-80.83859252929688,3,3,26.7069,72.3584,-25.94,428.21
20000,-94.58194732666016,4,4,27.791,73.0248,27.73,502.11
25000,-110.51966094970703,5,5,29.3338,71.2988,53.86,692.88
30000,-125.59310913085938,6,6,30.625,71.145,91.56,854.0
35000,-140.63172912597656,7,7,29.2703,69.9697,101.86,816.65
40000,-155.0978240966797,8,8,31.2412,70.7912,140.45,907.86
45000,-163.5880584716797,9,9,31.0605,69.8181,172.6,747.92
50000,-178.82798767089844,10,10,30.8513,70.631,207.75,976.98
55000,-191.4279327392578,11,11,29.9784,71.4925,243.0,655.2
60000,-201.64605712890625,12,12,29.5744,68.9862,221.27,926.71
65000,-213.7320556640625,13,13,28.545,66.652,126.88,715.45
70000,-226.51425170898438,14,14,29.6562,67.7429,173.74,658.34
75000,-237.0434112548828,15,15,28.5708,65.3992,198.63,712.42
80000,-252.0115966796875,16,16,28.8772,67.2027,175.58,642.51
85000,-262.9966125488281,17,17,28.1537,64.7185,252.57,656.74
90000,-265.63836669921875,18,18,28.0946,63.4003,324.53,1015.55
95000,-290.5591125488281,19,19,29.5835,66.4466,305.55,718.87
100000,-303.02532958984375,20,20,29.3115,67.328,251.27,1121.23
