Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Reward Loss,Itration,Running Env Steps,Running Update Time
28.5023,-60.65,74.3252,229.76,72.72718811035156,0,0,0
27.7243,-50.4,74.3198,321.97,-13.103691101074219,1,5000,1
27.0256,-39.53,74.0137,550.66,-41.27769470214844,2,10000,2
28.8274,-11.52,74.2084,510.87,-141.23463439941406,3,15000,3
30.7402,17.96,73.6511,627.96,-253.54953002929688,4,20000,4
31.2869,82.78,71.8705,635.35,-277.0260925292969,5,25000,5
30.6465,97.94,72.5932,725.07,-382.86651611328125,6,30000,6
31.158,96.0,72.1191,716.14,-473.7784423828125,7,35000,7
31.2764,174.41,72.4037,845.68,-518.925537109375,8,40000,8
32.1771,146.03,71.806,417.37,-602.2906494140625,9,45000,9
31.1709,221.96,71.109,608.17,-648.2960205078125,10,50000,10
31.7439,179.35,69.6878,834.31,-677.8125610351562,11,55000,11
31.6318,190.07,70.5926,699.32,-772.7872924804688,12,60000,12
30.2403,215.99,67.6945,874.63,-776.8512573242188,13,65000,13
29.9861,150.98,67.8919,520.35,-859.04833984375,14,70000,14
30.8267,279.26,67.6613,750.54,-958.4629516601562,15,75000,15
30.631,159.29,71.0498,685.28,-1043.770751953125,16,80000,16
30.0154,295.78,67.8855,614.99,-1074.898193359375,17,85000,17
30.2871,237.67,67.8083,675.51,-1150.665283203125,18,90000,18
29.6473,186.7,66.4635,799.52,-1183.2628173828125,19,95000,19
29.6792,232.98,66.5868,915.48,-1264.733642578125,20,100000,20
29.3905,286.98,62.6141,897.79,-1242.2237548828125,21,105000,21
29.8426,308.46,65.4276,931.2,-1336.66162109375,22,110000,22
28.9219,335.7,62.5001,891.84,-1377.3896484375,23,115000,23
28.4339,290.99,62.8168,1163.04,-1442.2603759765625,24,120000,24
25.9171,429.44,57.3605,1184.46,-1286.1014404296875,25,125000,25
29.1164,611.28,62.7105,1302.71,-1565.62841796875,26,130000,26
29.0561,373.95,63.2975,973.16,-1638.1279296875,27,135000,27
28.1173,463.66,62.5825,1279.16,-1703.267578125,28,140000,28
27.9639,324.03,60.9279,1440.17,-1698.0364990234375,29,145000,29
26.6007,397.7,59.6604,1061.72,-1697.09814453125,30,150000,30
28.6657,413.19,64.2598,775.96,-1905.5994873046875,31,155000,31
29.2078,386.21,65.0352,1274.41,-1949.515625,32,160000,32
27.775,379.37,62.4134,1016.04,-1970.357421875,33,165000,33
27.5152,984.98,58.6772,1850.81,-1861.32275390625,34,170000,34
29.2475,896.43,53.8116,1893.46,-1486.940185546875,35,175000,35
24.6234,735.63,54.0772,1624.8,-1747.5198974609375,36,180000,36
26.2187,656.17,57.2407,1570.59,-2038.9033203125,37,185000,37
26.5074,848.38,56.4703,1750.9,-1997.431640625,38,190000,38
25.5389,791.86,57.8887,1373.29,-2153.762939453125,39,195000,39
26.0939,1200.26,57.5408,2085.17,-2091.16259765625,40,200000,40
28.3924,1120.66,58.1435,1842.13,-2080.433837890625,41,205000,41
29.1066,1265.87,56.411,1877.36,-2049.12060546875,42,210000,42
29.6276,1187.33,53.9101,1936.67,-1867.497802734375,43,215000,43
24.0634,859.46,54.999,1963.64,-2323.8388671875,44,220000,44
25.034,1109.56,55.1181,2127.68,-2392.721435546875,45,225000,45
23.6412,1030.64,53.438,1642.41,-2211.85595703125,46,230000,46
26.2755,1413.12,52.7122,1833.24,-1949.8831787109375,47,235000,47
24.6669,1059.07,52.8366,2170.38,-2028.877197265625,48,240000,48
25.7805,1131.98,54.8579,2372.68,-2291.34033203125,49,245000,49
23.7857,1007.16,54.9955,1999.89,-2509.2451171875,50,250000,50
23.9814,1082.25,56.459,2292.69,-2708.89892578125,51,255000,51
24.4847,598.97,57.5712,1035.36,-2850.11865234375,52,260000,52
23.8394,701.9,53.8075,1402.35,-2536.55810546875,53,265000,53
24.0571,998.38,53.9834,2268.91,-2599.296142578125,54,270000,54
26.2065,1981.39,52.7535,2755.86,-2182.148681640625,55,275000,55
23.439,1239.19,51.9403,2284.47,-2195.252197265625,56,280000,56
26.3779,1900.37,50.4099,2773.6,-2114.7236328125,57,285000,57
24.2189,1631.9,55.4331,2213.63,-2703.3212890625,58,290000,58
24.0655,1123.97,54.3728,1338.92,-2550.443603515625,59,295000,59
25.4208,1721.25,56.7362,1409.8,-2789.91259765625,60,300000,60
29.3674,2218.97,53.0669,2548.22,-1830.4849853515625,61,305000,61
25.9396,1226.28,55.2518,2183.76,-2409.90625,62,310000,62
27.7018,1262.83,55.7111,2308.01,-2309.09033203125,63,315000,63
24.764,1728.71,55.069,2815.96,-2559.41064453125,64,320000,64
29.1651,1501.84,55.8514,3182.1,-2282.680419921875,65,325000,65
26.5279,1539.04,56.5544,2091.63,-2841.362548828125,66,330000,66
34.7919,1340.52,59.2946,2374.22,-2405.052490234375,67,335000,67
31.3637,2370.49,58.8647,3280.46,-2680.2841796875,68,340000,68
33.0431,1723.36,57.5289,1875.58,-2272.1962890625,69,345000,69
42.4845,2456.06,61.1901,3684.12,-2175.88427734375,70,350000,70
41.492,2780.45,60.8828,3032.77,-2288.0947265625,71,355000,71
38.8303,2378.79,60.4345,3078.09,-2306.3623046875,72,360000,72
37.9978,2229.95,62.0297,3559.19,-2708.16259765625,73,365000,73
36.6102,2101.39,61.9492,2980.11,-2764.839599609375,74,370000,74
40.1483,2415.07,60.054,3085.23,-2521.919677734375,75,375000,75
52.8587,3437.25,65.6871,3521.61,-2532.75390625,76,380000,76
46.3763,2357.16,63.8115,2657.55,-2526.366455078125,77,385000,77
49.4483,3321.69,65.8959,2732.6,-2089.585693359375,78,390000,78
55.4056,2219.22,68.9414,3074.9,-2516.89404296875,79,395000,79
52.9152,3169.65,68.189,3248.4,-2554.967041015625,80,400000,80
60.9839,2410.5,74.3001,2998.81,-2270.3291015625,81,405000,81
45.2756,2019.23,64.9373,2643.27,-2684.449951171875,82,410000,82
52.3467,3161.93,69.2492,3852.53,-2296.260498046875,83,415000,83
53.9171,3653.71,70.0243,3939.81,-2444.66455078125,84,420000,84
60.9805,2945.59,72.9476,3750.39,-2401.367919921875,85,425000,85
58.8749,3580.3,68.3538,4534.17,-2650.022216796875,86,430000,86
47.293,3623.79,66.2221,3973.66,-2979.58447265625,87,435000,87
55.4184,3541.31,73.4023,3655.61,-2599.830810546875,88,440000,88
48.9626,4215.65,66.8127,4337.25,-2929.653076171875,89,445000,89
53.9722,3764.92,67.9074,4683.08,-2932.878662109375,90,450000,90
62.8543,3385.13,74.7651,4269.61,-2714.767578125,91,455000,91
58.1217,4219.64,69.5789,4601.45,-2988.77294921875,92,460000,92
60.6726,3506.08,70.0049,4714.45,-2735.90283203125,93,465000,93
45.6979,3512.82,65.6583,3519.6,-3385.091552734375,94,470000,94
63.5436,4045.23,75.7874,4885.38,-2620.806396484375,95,475000,95
53.5762,3661.17,67.6724,4517.54,-3168.235107421875,96,480000,96
66.547,3709.04,71.8114,4678.35,-3076.876953125,97,485000,97
63.5924,4042.87,74.5058,4991.26,-3067.7060546875,98,490000,98
63.4796,4060.8,71.0256,4583.44,-3353.39208984375,99,495000,99
57.95,4069.8,71.4536,4800.41,-3250.980224609375,100,500000,100
60.4549,4107.6,70.9294,4495.28,-3294.34375,101,505000,101
57.9782,3950.11,70.5864,4567.15,-3434.6484375,102,510000,102
71.0226,4057.25,75.6587,4917.9,-3410.535400390625,103,515000,103
54.3885,3443.46,68.0423,4582.76,-3920.338134765625,104,520000,104
58.8452,4182.09,70.8599,4413.09,-3909.565185546875,105,525000,105
66.4211,3706.09,72.1218,4750.56,-3806.80078125,106,530000,106
71.4939,4439.62,78.1894,4471.47,-3842.96533203125,107,535000,107
58.4207,2728.29,67.7219,4485.3,-4327.58251953125,108,540000,108
67.3064,4521.02,78.0602,4712.28,-3979.39453125,109,545000,109
50.7922,4152.47,68.129,4937.5,-4604.98291015625,110,550000,110
70.8216,4217.03,75.2848,4934.75,-4170.69384765625,111,555000,111
62.9604,4122.55,69.9487,4788.32,-4598.4765625,112,560000,112
67.2764,3142.28,72.1935,4634.84,-4435.61328125,113,565000,113
68.038,4593.19,76.8064,5167.99,-4435.51123046875,114,570000,114
70.3923,4806.42,80.3396,5241.19,-4595.00244140625,115,575000,115
75.1104,4913.2,79.556,5148.22,-4632.46923828125,116,580000,116
73.7115,3259.12,76.8405,4339.66,-4728.1220703125,117,585000,117
67.6707,4640.23,73.0342,4990.49,-4995.56982421875,118,590000,118
69.573,4585.61,77.1257,4848.78,-4947.93505859375,119,595000,119
70.3414,4597.57,74.39,5155.29,-5056.6923828125,120,600000,120
69.2618,4008.95,77.1609,4718.2,-5121.7685546875,121,605000,121
69.815,4643.29,74.9761,5305.49,-5185.46728515625,122,610000,122
74.6351,4273.62,77.6653,5091.32,-5337.12744140625,123,615000,123
65.5189,4198.1,71.0363,5281.75,-5637.46240234375,124,620000,124
67.4359,4555.08,78.3761,4838.69,-5623.66943359375,125,625000,125
76.1062,4497.78,78.2742,5291.76,-5726.53662109375,126,630000,126
71.8841,4889.32,76.8742,5319.29,-5829.83642578125,127,635000,127
71.7975,4973.09,78.5499,5204.37,-5943.224609375,128,640000,128
73.7083,4938.39,80.8012,5286.54,-6241.3955078125,129,645000,129
70.272,5013.2,76.9841,4992.39,-6209.14697265625,130,650000,130
75.3289,4730.24,80.2166,5198.48,-6379.935546875,131,655000,131
68.4955,4486.4,74.8294,5106.5,-6637.087890625,132,660000,132
74.4013,4755.92,81.3199,5014.85,-6607.23095703125,133,665000,133
82.1576,5031.33,81.8685,5246.01,-6820.4619140625,134,670000,134
77.2065,5034.12,80.6158,5052.72,-6853.5595703125,135,675000,135
73.606,4470.92,77.4146,4818.89,-6975.11865234375,136,680000,136
73.6906,4520.48,73.8541,5028.8,-7069.21435546875,137,685000,137
74.9896,4775.1,78.808,4672.45,-7220.9423828125,138,690000,138
77.2258,4907.35,79.3679,5330.93,-7408.85302734375,139,695000,139
80.5461,4951.85,80.5187,5075.51,-7554.08251953125,140,700000,140
73.0325,3507.96,76.4446,4967.53,-7657.40869140625,141,705000,141
74.4395,3846.67,79.145,5444.13,-7834.970703125,142,710000,142
