Running Reverse KL,Running Forward KL,Reward Loss,Itration,Real Sto Return,Running Update Time,Real Det Return,Running Env Steps
272.1197,449.6097,-4.44549036026001,0,291.66,0,366.93,0
282.4632,436.4762,-1867.3294677734375,1,309.86,1,288.96,5000
252.4613,437.8035,-2562.87109375,2,375.25,2,286.22,10000
265.0352,428.1667,-3299.050537109375,3,365.69,3,281.49,15000
241.5072,412.398,-4799.087890625,4,419.09,4,499.11,20000
259.6128,417.0396,-4867.451171875,5,413.02,5,293.94,25000
283.0758,419.025,-8023.33056640625,6,399.55,6,474.16,30000
284.9752,419.8011,-8719.6689453125,7,397.94,7,421.39,35000
268.8673,429.6959,-9766.75,8,420.61,8,382.23,40000
282.2622,425.8931,-10615.5146484375,9,478.0,9,364.56,45000
249.8338,408.0859,-12038.9306640625,10,430.29,10,483.35,50000
240.5107,400.32,-12967.474609375,11,588.45,11,585.79,55000
268.8485,396.4359,-15026.2763671875,12,505.45,12,495.95,60000
292.2451,398.0272,-16353.0751953125,13,578.83,13,578.75,65000
328.7217,413.7649,-19148.80078125,14,517.28,14,516.16,70000
287.9781,398.8839,-18856.296875,15,561.79,15,596.81,75000
257.1983,390.5334,-18965.4296875,16,603.34,16,610.55,80000
288.8192,399.8909,-19620.1015625,17,620.4,17,696.39,85000
293.1035,390.9646,-21459.361328125,18,667.27,18,774.58,90000
293.1005,386.074,-20664.109375,19,656.69,19,741.86,95000
295.0542,377.7747,-22917.91796875,20,730.65,20,773.26,100000
302.2343,365.399,-24225.42578125,21,725.95,21,575.9,105000
257.4702,378.9563,-24801.361328125,22,754.46,22,739.96,110000
279.6832,366.9959,-27057.642578125,23,826.0,23,623.96,115000
304.8357,383.4459,-28976.173828125,24,835.62,24,517.13,120000
262.373,374.1789,-27608.158203125,25,895.19,25,450.69,125000
293.7641,365.22,-28941.623046875,26,751.76,26,446.23,130000
334.1775,385.5745,-31774.94140625,27,677.57,27,410.78,135000
255.3955,380.1526,-27999.15234375,28,753.35,28,656.15,140000
266.3776,370.7179,-29996.138671875,29,959.16,29,669.15,145000
237.2309,373.5547,-28705.869140625,30,1041.59,30,757.15,150000
256.9827,368.6673,-31027.166015625,31,811.29,31,454.69,155000
222.1109,370.443,-31785.052734375,32,1101.99,32,905.97,160000
230.315,371.316,-33106.98046875,33,1047.03,33,987.51,165000
238.2287,371.0739,-34884.55078125,34,1133.41,34,858.68,170000
226.8454,372.5122,-34061.10546875,35,1061.49,35,826.98,175000
240.7787,388.8619,-34230.94921875,36,1000.18,36,666.35,180000
225.3514,366.6131,-34125.7421875,37,1143.93,37,832.07,185000
242.98,361.4231,-34836.1796875,38,1091.33,38,947.98,190000
248.4123,377.8983,-35246.796875,39,864.95,39,962.42,195000
241.2808,369.5597,-39074.71875,40,1216.01,40,1107.49,200000
207.7608,363.4273,-34077.4296875,41,1057.24,41,1055.5,205000
204.832,351.0906,-34623.94921875,42,1267.7,42,1040.59,210000
231.6463,359.8035,-37000.671875,43,1109.35,43,895.55,215000
258.6184,373.4815,-40719.90234375,44,1294.7,44,911.07,220000
217.0715,355.1524,-36005.953125,45,1373.64,45,1546.89,225000
195.1354,358.1706,-35755.078125,46,1389.52,46,1306.77,230000
203.2303,359.931,-38437.23828125,47,1204.57,47,1346.75,235000
168.5981,337.2178,-31752.990234375,48,1395.07,48,1106.76,240000
198.5276,346.5329,-37087.3828125,49,2304.59,49,2040.26,245000
192.2562,348.7735,-33144.734375,50,1853.94,50,2601.98,250000
218.3412,352.3472,-38366.57421875,51,1313.78,51,1795.2,255000
195.2618,350.7602,-39275.9921875,52,1507.98,52,1067.85,260000
219.95,378.2898,-45103.19140625,53,1311.03,53,1367.33,265000
194.3341,352.4888,-38293.33203125,54,1348.18,54,1316.04,270000
204.18,356.7236,-40277.90234375,55,1829.99,55,1527.24,275000
176.8876,345.643,-34310.15234375,56,1711.32,56,1209.49,280000
182.515,345.7749,-35923.1015625,57,2121.89,57,1913.18,285000
227.8345,354.818,-44154.5078125,58,1894.2,58,1508.53,290000
185.8028,353.2763,-38385.11328125,59,1800.44,59,1277.54,295000
189.7577,358.1639,-39972.10546875,60,1923.07,60,2264.34,300000
207.1092,353.8073,-43337.42578125,61,1691.71,61,1513.02,305000
199.2083,355.3826,-42933.859375,62,1509.09,62,1246.85,310000
199.1043,355.8217,-42595.203125,63,1885.74,63,1859.11,315000
172.3328,343.6084,-38458.23828125,64,2003.01,64,2667.13,320000
173.7709,348.0134,-37591.10546875,65,1692.07,65,2076.32,325000
207.1038,358.1773,-47682.71875,66,1684.64,66,1761.85,330000
165.0403,341.6394,-33477.62890625,67,2647.96,67,2090.18,335000
149.4644,330.7406,-30349.0703125,68,2266.72,68,3864.7,340000
184.7284,354.5688,-43356.3203125,69,1891.86,69,1237.83,345000
171.3322,347.0752,-40355.15234375,70,1997.5,70,1235.17,350000
135.0135,316.2849,-21447.78125,71,2480.11,71,2564.77,355000
149.7339,341.3947,-31498.76953125,72,2790.37,72,3746.11,360000
138.8417,330.2236,-29662.109375,73,2764.18,73,2694.83,365000
162.667,340.6121,-35736.03125,74,3320.27,74,3789.75,370000
133.4913,312.2687,-25438.2578125,75,2931.7,75,3917.17,375000
152.9094,339.3686,-34817.49609375,76,3010.71,76,2902.45,380000
174.7788,349.373,-40338.44921875,77,2820.73,77,4464.11,385000
153.3486,334.0169,-35886.73828125,78,2858.51,78,3526.31,390000
130.7013,320.8221,-26124.193359375,79,4395.02,79,4640.93,395000
159.8337,331.7577,-36748.11328125,80,3596.03,80,4140.78,400000
164.2395,328.534,-39194.14453125,81,2431.5,81,3387.88,405000
170.377,336.8114,-42001.26171875,82,2903.76,82,4161.06,410000
164.8901,334.0324,-38389.43359375,83,2497.41,83,3157.86,415000
157.5402,327.7651,-34979.0546875,84,2080.33,84,2576.79,420000
146.3771,325.2693,-34010.33984375,85,3814.9,85,5064.93,425000
141.5889,323.4776,-33226.69921875,86,4144.59,86,3724.85,430000
205.4728,342.5752,-49764.68359375,87,3121.92,87,3421.95,435000
140.7228,319.3393,-27364.611328125,88,3897.03,88,4844.18,440000
145.0162,318.7369,-36202.84375,89,3020.34,89,3953.25,445000
229.7692,358.8558,-50473.48828125,90,1695.56,90,2942.29,450000
184.7821,329.6744,-42652.30859375,91,2630.1,91,4035.07,455000
192.4574,340.8706,-42404.83203125,92,2609.26,92,4515.87,460000
198.3362,340.7863,-46953.2890625,93,2498.9,93,4911.24,465000
154.998,332.1281,-34892.671875,94,4347.34,94,5124.72,470000
156.19,330.7854,-39634.4296875,95,3220.38,95,4891.79,475000
134.2168,323.019,-27863.576171875,96,3600.95,96,4683.99,480000
161.8539,331.2198,-38242.72265625,97,3322.38,97,4664.75,485000
158.0086,329.5839,-41045.8515625,98,3169.53,98,4901.4,490000
205.3766,344.0859,-54508.0078125,99,2178.85,99,5061.36,495000
