Running Reverse KL,Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return
26.8489,0,0,-221.1360626220703,220.85,0,31.2042,223.65
21.4437,5000,1,-240.8886260986328,317.55,1,30.3809,327.85
38.645,10000,2,-254.5863037109375,311.05,2,30.7625,323.04
23.5084,15000,3,-269.9639892578125,320.83,3,31.6687,332.06
43.1173,20000,4,-204.6488037109375,351.29,4,29.8041,346.62
20.7511,25000,5,-232.93092346191406,564.1,5,28.2144,616.3
60.8128,30000,6,-309.19342041015625,353.52,6,30.7042,366.17
19.0708,35000,7,-276.4013366699219,521.41,7,29.5665,527.29
13.8826,40000,8,-226.50340270996094,520.49,8,26.7542,456.81
23.8387,45000,9,-349.7508239746094,227.63,9,32.1792,235.57
20.9273,50000,10,-162.30166625976562,1888.91,10,27.272,2717.28
17.1041,55000,11,-189.70257568359375,1613.46,11,27.1156,1344.06
20.0071,60000,12,-225.438232421875,1488.37,12,27.7522,1915.51
14.8999,65000,13,-211.88954162597656,1159.68,13,26.8703,1298.74
14.9361,70000,14,-221.03749084472656,1444.89,14,26.6766,1101.76
19.9079,75000,15,-212.57943725585938,1653.04,15,27.6847,1302.62
17.0024,80000,16,-114.41725158691406,2749.4,16,27.6557,2938.39
15.7338,85000,17,-158.982666015625,2163.57,17,26.9244,1482.57
16.8618,90000,18,-147.2162628173828,2602.94,18,27.1973,2702.63
13.3769,95000,19,-250.0514373779297,1544.83,19,26.4868,2088.32
15.9853,100000,20,-147.89303588867188,2478.79,20,25.6186,2927.37
13.0288,105000,21,-111.5584945678711,1752.62,21,23.7013,2885.74
13.317,110000,22,-114.63371276855469,2342.69,22,24.4573,2207.66
14.7542,115000,23,-177.97398376464844,1762.57,23,24.8342,1683.42
14.1409,120000,24,-146.6692657470703,1767.77,24,23.6468,3068.12
13.6332,125000,25,-130.95745849609375,2311.64,25,23.9849,2666.84
13.7374,130000,26,-194.37677001953125,2079.15,26,24.7735,2953.75
14.0441,135000,27,-132.4014892578125,2672.11,27,23.4783,2998.86
13.863,140000,28,-135.96575927734375,2564.99,28,23.465,2948.98
14.1111,145000,29,-212.083251953125,1644.5,29,25.1256,2891.67
13.8253,150000,30,-232.9613494873047,1852.44,30,24.6721,3054.55
16.2548,155000,31,-99.84749603271484,2973.93,31,23.7093,2933.78
15.3862,160000,32,-206.1584014892578,2548.74,32,24.688,3026.78
13.1722,165000,33,-279.66168212890625,1686.68,33,25.3849,3091.8
15.3163,170000,34,-236.10975646972656,1391.35,34,24.8259,3113.36
15.3181,175000,35,-138.63619995117188,2558.68,35,23.8802,3029.77
13.6032,180000,36,-349.1304016113281,1011.54,36,25.6504,1129.42
13.7428,185000,37,-171.6604766845703,2653.43,37,23.8596,3048.63
13.569,190000,38,-207.1631317138672,2183.87,38,24.0113,3109.51
13.4743,195000,39,-270.5938415527344,1958.73,39,24.3252,3110.8
13.6226,200000,40,-299.4396667480469,1634.11,40,24.476,2805.58
13.7916,205000,41,-225.69815063476562,1915.95,41,24.0022,3097.21
13.6394,210000,42,-287.0380554199219,2362.12,42,24.6805,3105.72
13.5713,215000,43,-263.56121826171875,2303.85,43,24.3697,3082.62
14.2873,220000,44,-221.51171875,2698.52,44,24.734,3044.76
13.9826,225000,45,-223.8916473388672,2770.72,45,24.4222,3081.77
13.1914,230000,46,-394.06304931640625,1327.99,46,24.4495,3125.05
13.1255,235000,47,-402.95196533203125,1424.93,47,24.8713,2379.71
13.2324,240000,48,-424.1890563964844,1443.92,48,24.8169,2126.18
13.3896,245000,49,-309.0144348144531,1858.74,49,23.9885,3106.66
13.004,250000,50,-323.6911926269531,1933.89,50,23.6863,3108.74
13.2346,255000,51,-462.16015625,1294.33,51,25.3265,2225.55
13.2794,260000,52,-426.8804931640625,2093.11,52,24.9121,2728.44
13.9588,265000,53,-293.83453369140625,2057.62,53,24.6315,3091.61
14.6049,270000,54,-192.88485717773438,2613.22,54,23.0544,3120.69
13.4287,275000,55,-446.3010559082031,1783.82,55,24.409,2833.61
13.2734,280000,56,-501.546875,1217.37,56,25.3344,1807.56
13.4556,285000,57,-512.2579956054688,1196.69,57,25.8873,1225.0
13.139,290000,58,-551.0508422851562,1390.43,58,25.7681,1721.76
13.4563,295000,59,-486.10076904296875,1425.56,59,25.5013,2035.22
13.1424,300000,60,-531.2752075195312,1298.86,60,25.1401,1098.87
13.1253,305000,61,-533.874267578125,1462.26,61,24.9731,1914.43
13.3432,310000,62,-567.5570068359375,1247.52,62,25.6994,1085.32
13.666,315000,63,-518.5682983398438,1909.46,63,24.8157,2943.86
13.1164,320000,64,-599.6197509765625,1405.42,64,26.1457,1997.97
12.4984,325000,65,-469.8479309082031,1721.08,65,24.5616,3177.18
12.6833,330000,66,-547.5897827148438,1244.49,66,25.8767,1297.25
12.6507,335000,67,-546.52685546875,1533.86,67,25.3666,2969.96
13.075,340000,68,-611.3179321289062,1574.79,68,25.3428,2968.01
12.8237,345000,69,-596.375,1465.79,69,25.8246,1332.42
13.1039,350000,70,-612.44384765625,1305.41,70,25.3048,1270.47
12.9704,355000,71,-535.3328857421875,1740.87,71,23.6225,2321.15
13.0577,360000,72,-623.24951171875,1545.45,72,25.2446,1283.62
12.5614,365000,73,-547.7451171875,1622.22,73,24.4561,1264.19
12.1399,370000,74,-629.6946411132812,1389.98,74,24.6178,1083.17
14.2384,375000,75,-459.7244567871094,2180.02,75,24.165,3174.47
12.6995,380000,76,-552.5858154296875,1542.91,76,25.3057,1656.36
12.4813,385000,77,-440.72161865234375,2493.78,77,23.8257,3160.35
13.0669,390000,78,-490.7671813964844,1832.74,78,24.0846,1353.56
16.7935,395000,79,-485.8889465332031,1560.28,79,24.9477,2594.32
15.5072,400000,80,-526.9996337890625,1665.87,80,25.0728,1224.37
13.9571,405000,81,-369.556640625,1735.82,81,23.3505,1248.02
16.1174,410000,82,-553.5069580078125,1310.44,82,25.3897,1176.96
15.3519,415000,83,-500.05853271484375,1702.38,83,24.2776,1270.8
13.5217,420000,84,-551.6797485351562,2318.51,84,24.4056,2202.58
16.7414,425000,85,-586.9051513671875,1475.86,85,24.88,1384.24
13.3141,430000,86,-527.815673828125,1422.79,86,24.3147,1188.33
14.0934,435000,87,-484.1269226074219,1648.95,87,23.5697,1770.98
12.4407,440000,88,-515.979248046875,1584.23,88,24.0611,1336.04
12.7347,445000,89,-536.3236694335938,2161.26,89,23.8826,2157.17
13.5496,450000,90,-446.83526611328125,2053.62,90,23.6604,1565.9
12.3738,455000,91,-614.6840209960938,1412.89,91,24.2633,1282.52
11.8757,460000,92,-678.8439331054688,1469.79,92,25.1961,1558.25
13.3925,465000,93,-583.44091796875,1663.15,93,24.5638,1324.05
13.6896,470000,94,-507.6535339355469,1922.54,94,24.0106,1600.84
12.1158,475000,95,-565.8612670898438,1959.91,95,24.5551,1496.21
12.8446,480000,96,-701.3985595703125,1312.31,96,25.5118,1266.79
14.1932,485000,97,-672.7781982421875,1295.11,97,26.0032,1255.25
13.1151,490000,98,-612.082275390625,1717.03,98,24.5657,1308.88
11.2934,495000,99,-696.015869140625,1795.81,99,24.3983,3014.36
15.2801,500000,100,-671.4954833984375,1459.26,100,25.901,1399.12
15.2613,505000,101,-656.8477783203125,1254.51,101,25.1564,1247.48
12.3008,510000,102,-648.566650390625,1638.83,102,24.6134,1271.43
11.7059,515000,103,-691.1280517578125,2005.9,103,23.788,1968.13
11.6013,520000,104,-787.2236938476562,1250.33,104,25.4029,1538.08
13.2567,525000,105,-788.5037841796875,1475.6,105,24.8373,1329.32
13.6691,530000,106,-664.0513305664062,1841.39,106,23.9101,1634.01
12.0758,535000,107,-684.0872802734375,1220.18,107,24.0465,1331.54
11.8322,540000,108,-742.2637329101562,1392.78,108,24.8171,1340.66
12.6719,545000,109,-709.8724365234375,1717.38,109,24.6656,1581.06
12.9127,550000,110,-679.3322143554688,1730.95,110,24.0096,1797.74
12.2278,555000,111,-822.2066040039062,1299.06,111,24.8243,1252.95
11.7472,560000,112,-641.639892578125,1991.87,112,23.6823,1895.85
11.7699,565000,113,-769.3624267578125,1498.99,113,24.928,1471.51
13.7438,570000,114,-594.3739624023438,1971.73,114,23.384,2909.57
13.3065,575000,115,-675.4677734375,1925.53,115,23.3335,2906.49
12.6206,580000,116,-669.593994140625,2238.44,116,23.9497,2290.32
14.9631,585000,117,-725.5386352539062,1628.36,117,24.8143,1659.36
12.2264,590000,118,-731.08935546875,1492.86,118,23.4842,2965.85
13.6765,595000,119,-681.7709350585938,1944.87,119,23.5561,2634.05
13.354,600000,120,-631.2227783203125,1994.91,120,23.3763,2290.14
12.7299,605000,121,-736.0339965820312,1984.7,121,23.5668,2996.64
12.2369,610000,122,-673.4874267578125,2348.31,122,23.3298,3218.39
14.6481,615000,123,-697.9901733398438,1542.71,123,23.7437,1676.83
14.3962,620000,124,-733.1469116210938,1887.86,124,24.3047,1785.46
14.7453,625000,125,-541.8002319335938,2879.92,125,21.9914,3297.43
13.3015,630000,126,-705.531982421875,2211.65,126,23.3392,2485.41
12.6082,635000,127,-605.2880249023438,2350.73,127,22.3251,2995.32
14.0927,640000,128,-696.2333374023438,2268.9,128,23.2914,3268.21
14.1218,645000,129,-491.1691589355469,2784.2,129,22.3319,3287.54
14.6416,650000,130,-842.3175048828125,1469.77,130,24.5949,1701.98
14.2209,655000,131,-729.1756591796875,1937.91,131,23.5206,1590.1
14.1008,660000,132,-640.4773559570312,2293.2,132,22.6531,2654.09
14.9476,665000,133,-739.5136108398438,2376.21,133,23.6185,3178.46
14.7656,670000,134,-632.6122436523438,2084.71,134,22.8131,3305.1
14.2156,675000,135,-510.739501953125,2464.01,135,22.447,2547.92
13.47,680000,136,-649.598388671875,2060.91,136,23.3948,3303.13
15.2033,685000,137,-758.7145385742188,1941.67,137,23.4616,2992.61
14.8679,690000,138,-537.759765625,2564.27,138,22.5442,3274.78
13.8415,695000,139,-494.3254699707031,2789.88,139,22.2357,3057.32
