Running Update Time,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Real Sto Return
0,21.8532,0,32.2374,0,-1182.2867431640625,330.24,324.05
1,29.649,1,31.135,5000,-1366.287841796875,324.35,325.36
2,23.3237,2,30.9725,10000,-1488.45556640625,293.11,294.99
3,43.2159,3,32.0669,15000,-1550.3997802734375,318.06,318.52
4,29.7292,4,31.4925,20000,-1568.164794921875,310.57,314.01
5,26.878,5,31.9216,25000,-1541.944091796875,342.29,337.27
6,28.7458,6,30.4778,30000,-1581.5888671875,323.14,313.89
7,25.4226,7,30.7845,35000,-1736.655517578125,325.76,322.9
8,25.389,8,30.1362,40000,-1804.414794921875,326.78,330.93
9,22.5426,9,30.6573,45000,-1797.6004638671875,320.32,318.01
10,22.3974,10,25.0766,50000,-1758.36474609375,519.58,448.56
11,18.2133,11,25.4114,55000,-1599.1949462890625,586.96,586.08
12,25.603,12,24.3413,60000,-1698.6246337890625,732.44,697.24
13,27.4659,13,25.0578,65000,-1741.6322021484375,723.0,701.88
14,63.3221,14,25.7106,70000,-1782.6077880859375,378.53,495.38
15,27.169,15,25.3085,75000,-1684.7816162109375,837.0,806.97
16,23.4868,16,24.8668,80000,-1931.264404296875,791.61,687.87
17,27.9614,17,22.8276,85000,-1519.36669921875,1115.96,922.83
18,15.9561,18,22.2934,90000,-1392.7978515625,1255.02,1619.25
19,13.6106,19,21.8027,95000,-409.6803894042969,3099.41,2989.26
20,14.9261,20,21.4635,100000,-676.6598510742188,2479.46,2278.78
21,19.4604,21,22.6977,105000,-1259.462646484375,3137.91,2169.65
22,12.2007,22,20.3484,110000,-324.9567565917969,3214.39,3193.75
23,13.487,23,19.9708,115000,-763.5664672851562,3095.17,2730.7
24,12.0001,24,20.3659,120000,-320.5874938964844,3206.09,3191.7
25,11.9714,25,20.1249,125000,-397.0103759765625,1724.05,2279.02
26,12.9179,26,19.9537,130000,-189.6957244873047,2939.1,2485.32
27,11.6138,27,18.774,135000,-331.66021728515625,3208.93,3197.41
28,12.8973,28,19.5254,140000,-270.01495361328125,3289.19,3260.4
29,11.5565,29,19.0483,145000,-312.5408630371094,3250.6,3007.64
30,11.1291,30,17.6843,150000,-185.05519104003906,3332.79,3303.95
31,12.0484,31,18.1916,155000,-235.271240234375,3240.85,3226.49
32,11.3384,32,18.3581,160000,-302.301513671875,3249.22,3219.3
33,11.9259,33,19.5834,165000,-331.4560546875,3270.16,3137.21
34,24.983,34,20.3514,170000,-1158.2757568359375,3292.17,2161.02
35,12.4693,35,19.903,175000,-260.7901916503906,3226.51,3217.42
36,16.3171,36,19.7564,180000,-611.9087524414062,3220.25,1583.28
37,11.4996,37,18.3303,185000,-244.69784545898438,3328.66,3283.08
38,12.0019,38,18.4834,190000,-240.51913452148438,3348.42,3338.15
39,12.2074,39,19.4129,195000,-268.84796142578125,3276.68,2899.92
40,12.1272,40,18.6295,200000,-218.271484375,3391.92,3264.86
41,11.9094,41,19.3686,205000,-292.31573486328125,3319.33,3298.23
42,11.7648,42,18.6211,210000,-291.48638916015625,3315.5,3252.72
43,11.1434,43,18.506,215000,-290.92694091796875,3310.95,3097.79
44,12.6559,44,19.2176,220000,-264.7400817871094,3397.25,3375.31
45,10.2465,45,17.5983,225000,-221.87684631347656,3283.35,3240.59
46,11.8989,46,18.5165,230000,-305.6663513183594,3365.21,3171.14
47,11.9721,47,17.8187,235000,-284.1510009765625,3411.36,3372.16
48,12.6144,48,19.2215,240000,-190.04037475585938,3413.4,3136.64
49,11.8404,49,18.6752,245000,-390.3878173828125,3254.12,3249.21
50,14.1606,50,20.0342,250000,-504.9624328613281,3465.23,3099.72
51,14.6337,51,18.0431,255000,-457.3021240234375,3418.93,2990.37
52,12.9613,52,18.5738,260000,-504.37939453125,3379.77,2928.77
53,12.2454,53,17.9363,265000,-293.1341857910156,3386.57,3366.87
54,12.3623,54,18.0007,270000,-265.2384033203125,3440.08,3384.85
55,11.4629,55,17.9894,275000,-336.24163818359375,3411.5,3345.84
56,12.1968,56,18.1852,280000,-304.0272216796875,3442.59,3402.55
57,12.7273,57,17.8997,285000,-279.2218322753906,3455.5,3412.92
58,14.2009,58,18.5321,290000,-443.6034240722656,3442.18,3382.17
59,14.4265,59,19.2866,295000,-272.5092468261719,3466.71,3423.2
