Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
0,241.37,-1180.9796142578125,0,0,21.7066,31.4063,245.44
5000,259.92,-1505.850830078125,1,1,20.4403,31.2508,259.87
10000,300.58,-1574.5611572265625,2,2,18.7307,30.6789,315.31
15000,238.54,-1280.9093017578125,3,3,17.9203,29.9592,286.99
20000,419.19,-1429.01416015625,4,4,34.0572,28.2136,430.59
25000,455.16,-1468.7080078125,5,5,36.7946,27.931,441.09
30000,569.24,-1421.05224609375,6,6,31.755,27.1297,532.06
35000,551.58,-1554.571533203125,7,7,26.3638,27.0082,553.87
40000,584.04,-1578.8511962890625,8,8,27.7235,28.0321,567.6
45000,685.78,-1686.503662109375,9,9,26.7706,27.6162,620.1
50000,611.81,-1642.696044921875,10,10,33.4948,27.9766,545.91
55000,785.24,-1574.1954345703125,11,11,27.0949,27.2117,730.04
60000,887.01,-1533.3829345703125,12,12,26.9725,27.0945,792.36
65000,2894.03,-1507.666748046875,13,13,21.1283,27.1664,1155.71
70000,2876.18,-1431.4417724609375,14,14,22.3372,26.9743,1472.3
75000,2952.81,-1307.5411376953125,15,15,20.0353,26.2236,1522.21
80000,1477.6,-1663.3970947265625,16,16,23.9325,27.0548,1121.17
85000,2302.81,-1566.1915283203125,17,17,22.3979,26.5229,1224.58
90000,1894.31,-1394.2001953125,18,18,22.5283,26.3349,2010.77
95000,505.5,-760.9169311523438,19,19,17.4958,26.1299,1295.13
100000,1915.4,-1230.5491943359375,20,20,19.45,26.3155,1532.09
105000,2718.31,-900.5393676757812,21,21,18.607,25.8593,2166.99
110000,1683.79,-973.705078125,22,22,18.9113,26.1948,2605.68
115000,1175.6,-874.801513671875,23,23,16.8121,26.2267,1799.22
120000,868.75,-801.8154907226562,24,24,18.1744,25.9335,1978.4
125000,3043.19,-857.4950561523438,25,25,16.5912,25.5105,2659.4
130000,1287.2,-1313.8846435546875,26,26,19.3562,25.7483,1796.27
135000,3034.94,-1197.48681640625,27,27,21.2136,25.6796,2021.26
140000,3004.18,-1392.8470458984375,28,28,20.4979,25.3694,1979.0
145000,3042.77,-1455.6644287109375,29,29,18.1338,25.0589,1635.37
150000,2720.81,-747.6077270507812,30,30,17.9828,25.6353,2879.78
155000,2183.61,-795.1692504882812,31,31,16.7047,25.4031,2780.95
160000,3059.56,-1148.1182861328125,32,32,15.977,24.7216,1884.76
165000,3055.9,-1049.1439208984375,33,33,16.3732,25.1252,2435.3
