Real Sto Return,Real Det Return,Itration,Reward Loss,Running Update Time,Running Env Steps,Running Reverse KL,Running Forward KL
-208.15,-27.2,0,-12.392938613891602,0,0,11.2182,158.3592
-95.99,137.89,1,-43.17119598388672,1,5000,11.5715,158.3831
163.3,689.93,2,-36.82398986816406,2,10000,12.6906,158.1877
347.25,648.66,3,-26.246488571166992,3,15000,13.33,158.2373
494.48,1049.75,4,-53.52330017089844,4,20000,13.7716,158.071
635.8,1040.12,5,-63.063026428222656,5,25000,14.2182,157.7901
670.24,1081.85,6,-108.03008270263672,6,30000,14.5346,157.8858
780.33,1024.11,7,-139.0847625732422,7,35000,14.82,157.7835
859.49,1272.82,8,-172.32179260253906,8,40000,15.1133,157.9408
1013.74,1441.43,9,-215.4022979736328,9,45000,15.4253,158.1908
1037.57,1414.03,10,-259.4718933105469,10,50000,16.2286,158.0737
995.58,1449.2,11,-278.74456787109375,11,55000,16.514,158.325
1087.27,1502.61,12,-342.3166809082031,12,60000,16.6258,158.3141
1167.98,1512.54,13,-345.9865417480469,13,65000,16.7551,158.2051
1169.82,1552.23,14,-373.624755859375,14,70000,16.5667,158.2691
1227.54,1573.65,15,-415.1334228515625,15,75000,16.7208,158.2038
1256.89,1634.21,16,-450.34771728515625,16,80000,16.7035,158.1751
1246.5,1613.54,17,-473.873779296875,17,85000,16.6854,158.219
1262.57,1629.38,18,-504.83221435546875,18,90000,17.0588,158.3831
1315.29,1728.37,19,-553.860107421875,19,95000,16.4667,158.2302
1352.3,1785.28,20,-590.7780151367188,20,100000,16.2151,158.0136
1435.74,1847.63,21,-604.6296997070312,21,105000,16.5188,157.9274
1418.61,1824.75,22,-632.7650756835938,22,110000,16.8332,158.141
1434.88,1843.29,23,-688.6608276367188,23,115000,16.4316,157.7298
1472.67,1913.53,24,-711.0791015625,24,120000,16.5744,157.8225
1491.69,1867.06,25,-761.0438842773438,25,125000,16.7625,157.8975
1507.92,1880.48,26,-800.384521484375,26,130000,16.5805,157.9549
1535.98,1961.12,27,-809.6384887695312,27,135000,16.9451,157.8144
1566.69,1936.7,28,-855.4903564453125,28,140000,16.9849,157.8704
1511.76,1934.82,29,-890.2006225585938,29,145000,16.791,157.8466
1576.51,1986.71,30,-924.1641845703125,30,150000,16.8064,157.7608
1595.56,1966.37,31,-966.061279296875,31,155000,16.6181,157.6111
1594.76,1961.29,32,-993.1714477539062,32,160000,16.6654,157.7476
1589.61,1930.68,33,-1041.9615478515625,33,165000,16.4088,157.6441
1658.24,2013.86,34,-1032.4844970703125,34,170000,16.5952,157.5248
1586.34,1960.5,35,-1093.9810791015625,35,175000,16.393,157.5068
1619.58,1988.03,36,-1116.597900390625,36,180000,16.132,157.2847
1618.75,1963.14,37,-1174.0953369140625,37,185000,16.5054,157.5724
1630.89,1969.35,38,-1189.595703125,38,190000,16.276,157.5381
1634.43,2008.87,39,-1208.709228515625,39,195000,16.4424,157.2873
1639.31,1974.12,40,-1262.7413330078125,40,200000,16.3541,157.3848
1612.52,2006.3,41,-1294.7034912109375,41,205000,16.1976,157.3691
1640.76,1981.44,42,-1323.46533203125,42,210000,16.3182,157.4022
1669.79,2021.01,43,-1364.582275390625,43,215000,16.4781,157.4073
1689.8,2048.47,44,-1392.29541015625,44,220000,16.7057,157.4718
1677.43,2042.84,45,-1430.9111328125,45,225000,16.3059,157.4642
1658.57,1921.64,46,-1479.5604248046875,46,230000,16.1388,157.402
1654.2,2053.34,47,-1487.701904296875,47,235000,16.4515,157.2397
1696.75,2039.26,48,-1539.1259765625,48,240000,16.1091,157.2424
1653.25,2054.35,49,-1568.735107421875,49,245000,15.997,157.1873
