Running Env Steps,Real Sto Return,Running Update Time,Running Reverse KL,Itration,Real Det Return,Reward Loss,Running Forward KL
0,460.98,0,12.3441,0,498.57,84.80095672607422,48.8828
5000,344.9,1,12.7911,1,15.15,50.01020431518555,49.481
10000,450.2,2,28.0684,2,421.82,-12.275993347167969,49.974
15000,384.12,3,13.4457,3,423.68,30.142709732055664,49.1035
20000,363.45,4,12.3963,4,428.25,-5.034811973571777,49.1776
25000,346.13,5,16.5048,5,298.05,54.48079299926758,49.2896
30000,410.54,6,14.7178,6,505.78,-23.500642776489258,49.2181
35000,460.32,7,17.5226,7,513.3,-52.29600524902344,49.093
40000,592.63,8,20.778,8,680.1,-11.159375190734863,48.6482
45000,492.79,9,42.6949,9,507.48,-78.91618347167969,49.1614
50000,598.49,10,28.9288,10,690.05,-51.19557571411133,48.1012
55000,706.27,11,24.0965,11,716.43,-65.62544250488281,47.1525
60000,776.5,12,23.8483,12,754.75,-12.457468032836914,47.8486
65000,871.68,13,24.9997,13,974.44,-33.311256408691406,47.511
70000,933.86,14,30.7263,14,917.95,-80.19180297851562,47.2824
75000,824.13,15,30.7001,15,669.31,-55.62165832519531,47.6807
80000,1010.68,16,32.2218,16,1191.22,-41.51323318481445,46.8161
85000,1108.81,17,17.1436,17,1402.23,-72.03873443603516,46.5661
90000,858.71,18,36.5282,18,838.55,-93.15238189697266,47.4697
95000,836.21,19,53.9063,19,882.4,-171.78138732910156,47.3744
100000,1044.27,20,33.1827,20,742.32,-108.7829818725586,46.5807
105000,896.46,21,44.1064,21,742.68,-132.98558044433594,47.3071
110000,881.76,22,47.6884,22,861.05,-210.54449462890625,46.8479
115000,1056.57,23,49.7075,23,782.23,-224.9086456298828,46.4141
120000,1122.63,24,13.7346,24,1340.84,-114.70679473876953,46.1802
125000,1033.91,25,39.4345,25,1225.33,-196.1373748779297,47.1855
130000,1088.17,26,47.6902,26,992.33,-243.6617431640625,46.2173
135000,1125.13,27,23.971,27,1350.12,-169.5980682373047,46.9782
140000,1120.92,28,34.3651,28,1251.12,-225.19442749023438,45.7253
145000,1285.84,29,40.6781,29,865.9,-282.0261535644531,46.5977
150000,1187.58,30,47.8823,30,835.29,-301.7317199707031,46.5499
155000,1539.6,31,16.3837,31,842.35,-169.16400146484375,45.2073
160000,1648.59,32,17.1827,32,1485.7,-196.66290283203125,45.409
165000,1328.47,33,14.9445,33,1955.78,-248.77578735351562,45.8527
170000,1359.63,34,15.5854,34,2084.63,-217.78466796875,46.8361
175000,1355.24,35,14.8272,35,1773.83,-236.27316284179688,45.8311
180000,1429.13,36,15.5138,36,1365.98,-242.45164489746094,45.5591
185000,1982.07,37,13.7338,37,1821.69,-241.3044891357422,44.3823
190000,1281.17,38,16.6556,38,1332.04,-270.47412109375,46.5373
195000,1856.07,39,17.5988,39,2180.53,-239.6381378173828,43.939
200000,1314.06,40,17.0438,40,2390.15,-310.8367004394531,46.2056
205000,2703.2,41,15.2225,41,2818.89,-193.31163024902344,43.6086
210000,2299.35,42,15.7945,42,2519.17,-227.15492248535156,44.7016
215000,2190.07,43,15.1014,43,2780.38,-232.58718872070312,44.2743
220000,1604.21,44,14.7692,44,2202.31,-243.4314727783203,43.6735
225000,2685.19,45,14.1352,45,2857.77,-246.1503448486328,43.9333
230000,2924.2,46,14.7113,46,2677.16,-222.3890838623047,43.7909
235000,2541.0,47,14.3072,47,3029.08,-250.6397705078125,44.4049
240000,2726.55,48,16.9465,48,2879.66,-231.18331909179688,44.2318
245000,2182.32,49,15.0625,49,2377.64,-262.4220886230469,44.4249
250000,2854.69,50,15.7429,50,2759.15,-263.78643798828125,44.8172
255000,2615.48,51,14.7999,51,2726.89,-286.49835205078125,45.1
260000,3033.27,52,14.8016,52,2986.44,-273.019287109375,44.2184
265000,3130.23,53,15.8726,53,3494.71,-256.71087646484375,43.8371
270000,3207.01,54,16.4281,54,3415.42,-258.8872375488281,43.57
275000,3061.96,55,16.244,55,2930.6,-303.88140869140625,44.3445
280000,3057.24,56,16.3459,56,3189.07,-268.8355407714844,43.7336
285000,3327.08,57,18.4897,57,3689.66,-294.41387939453125,44.1575
290000,3564.37,58,16.0349,58,3756.17,-265.9993591308594,43.2673
295000,3651.99,59,16.9514,59,3464.67,-296.4704895019531,43.6274
300000,3001.72,60,16.6874,60,3525.37,-314.5378112792969,43.3465
305000,3748.57,61,18.1201,61,3777.75,-262.6407470703125,43.8286
310000,3430.87,62,16.3266,62,3448.46,-279.3642272949219,43.6276
315000,3915.53,63,17.497,63,3969.1,-283.7969970703125,44.064
320000,3864.05,64,15.7333,64,3964.2,-271.76611328125,43.0562
325000,3734.13,65,17.0394,65,3864.4,-292.5549621582031,43.3716
330000,-0.84,66,68.793,66,-2.18,-454.3830261230469,58.7947
335000,3743.85,67,18.1421,67,3799.22,-284.05096435546875,43.3868
340000,3857.77,68,16.816,68,3713.05,-280.54571533203125,42.8384
345000,3937.06,69,18.3948,69,4030.86,-297.1918029785156,43.335
350000,3797.74,70,16.2836,70,3856.22,-295.7869873046875,43.1267
355000,3962.34,71,17.7132,71,4073.97,-305.401123046875,43.5085
360000,3978.33,72,17.8632,72,3967.22,-316.77203369140625,43.4374
365000,3911.75,73,20.1459,73,3907.23,-342.14788818359375,43.7091
370000,3855.26,74,18.5907,74,3927.43,-323.6776428222656,44.1882
375000,3766.73,75,18.9872,75,4067.8,-337.6788330078125,43.9833
380000,3751.6,76,18.9392,76,4012.5,-347.39410400390625,43.8574
385000,3940.23,77,18.5627,77,4018.01,-341.6432189941406,43.6298
390000,3890.68,78,18.4018,78,3948.42,-333.6544189453125,43.6818
395000,3957.74,79,17.0174,79,4069.23,-356.90582275390625,43.461
400000,3669.34,80,16.9543,80,3908.34,-361.3742370605469,43.4111
405000,3815.83,81,17.5249,81,3831.44,-368.4976806640625,43.6198
410000,4042.37,82,17.0001,82,4086.49,-375.4826354980469,43.0084
415000,4032.17,83,18.9146,83,4124.03,-364.04443359375,43.7036
420000,4079.32,84,17.5886,84,4138.27,-377.69000244140625,42.8224
425000,4051.14,85,18.0503,85,4062.27,-384.1210021972656,43.0819
430000,4134.89,86,16.5068,86,4175.06,-383.17779541015625,42.5367
435000,4039.89,87,18.4369,87,4077.85,-376.0862731933594,43.1247
440000,4023.44,88,17.8754,88,4112.47,-405.4635009765625,43.3591
445000,3939.68,89,17.1597,89,4013.58,-417.40289306640625,43.3126
450000,4044.88,90,17.9006,90,4093.59,-377.91375732421875,43.0576
455000,4026.31,91,18.6872,91,4105.36,-441.8658142089844,44.0084
460000,3996.03,92,17.9399,92,4041.39,-444.0169677734375,43.1482
465000,2222.53,93,17.6724,93,4052.32,-484.0597229003906,44.2012
470000,4120.18,94,20.301,94,4220.97,-445.0794372558594,43.8378
475000,3613.59,95,18.0406,95,4224.45,-460.5006408691406,44.29
480000,4090.38,96,18.2085,96,4168.42,-430.8511047363281,43.2427
485000,4043.53,97,17.0526,97,4139.89,-465.1167297363281,42.7409
490000,4014.84,98,18.4475,98,4041.91,-453.663818359375,43.1933
495000,3862.4,99,18.4535,99,3884.25,-450.2419738769531,43.4123
500000,3956.28,100,20.9801,100,3994.33,-492.5266418457031,44.2704
505000,4105.65,101,20.6211,101,4240.03,-460.8220520019531,43.3077
510000,4104.9,102,19.5682,102,4222.5,-466.9698486328125,43.0476
515000,3663.77,103,17.2859,103,4183.8,-469.82147216796875,42.8523
520000,4040.01,104,17.8281,104,4100.97,-494.790283203125,42.9965
525000,3665.85,105,16.764,105,4056.4,-476.52777099609375,42.8733
530000,4040.68,106,18.467,106,4048.89,-491.18353271484375,42.838
535000,4105.78,107,20.6317,107,4164.84,-507.72540283203125,43.1905
540000,4046.44,108,18.9901,108,4136.97,-509.7726135253906,42.9742
545000,4035.46,109,18.7941,109,4051.7,-527.751953125,42.8236
550000,4075.09,110,17.4588,110,4219.06,-534.7364501953125,42.4801
555000,4146.42,111,19.7491,111,4199.7,-547.4954223632812,43.3309
560000,1151.63,112,13.8117,112,1727.15,-697.10791015625,44.9721
565000,3863.22,113,18.8936,113,4169.71,-551.779296875,43.3282
570000,4061.61,114,17.4107,114,4158.66,-554.5374755859375,42.5833
575000,4000.79,115,16.7302,115,4198.67,-599.7286987304688,43.4748
580000,4009.26,116,17.7874,116,4076.38,-552.0463256835938,42.7257
585000,4076.88,117,17.6936,117,4136.73,-585.05078125,42.7888
590000,4013.23,118,18.046,118,4167.16,-587.1904907226562,42.8839
595000,4008.33,119,16.6537,119,4122.39,-584.4161987304688,42.6292
600000,4156.86,120,18.7209,120,4234.13,-604.7793579101562,43.2638
605000,4024.16,121,18.0158,121,4174.17,-618.4249877929688,43.363
610000,4081.99,122,17.419,122,4169.15,-610.3605346679688,42.9581
615000,4095.31,123,20.0326,123,4114.86,-603.2113037109375,43.5935
620000,4188.22,124,18.3077,124,4276.37,-587.7232666015625,43.1781
