Itration,Running Env Steps,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Reverse KL
0,0,-97.36691284179688,436.87,371.36,49.3302,0,12.824
1,5000,-72.63224029541016,393.7,347.33,48.3012,1,13.8393
2,10000,-27.03788948059082,341.18,345.19,49.4246,2,23.2745
3,15000,-105.41516876220703,649.82,574.59,48.0713,3,16.3115
4,20000,-211.2010040283203,433.16,366.38,48.8317,4,14.0054
5,25000,-192.91561889648438,770.2,756.25,46.3981,5,15.036
6,30000,-160.51068115234375,415.84,522.72,50.473,6,30.6968
7,35000,-106.39776611328125,1607.24,1778.79,47.3741,7,14.3984
8,40000,-128.01602172851562,1026.78,977.04,46.3859,8,22.7306
9,45000,-145.14834594726562,618.88,987.37,46.4416,9,14.0755
10,50000,-108.93411254882812,1903.54,1285.1,47.7419,10,16.8508
11,55000,-186.7562255859375,1885.33,1271.98,47.4336,11,19.8824
12,60000,-107.76216125488281,736.94,848.86,47.3649,12,49.4064
13,65000,-119.61724853515625,2524.72,958.57,46.0824,13,39.6602
14,70000,-83.1552963256836,1168.03,1127.28,45.8023,14,35.173
15,75000,-103.99152374267578,675.25,1162.18,45.6399,15,38.8882
16,80000,-97.11418914794922,3083.13,2986.0,45.4647,16,15.7591
17,85000,-265.36328125,2300.73,1628.25,46.1412,17,16.1499
18,90000,-116.78739166259766,3148.64,2759.99,45.3479,18,19.617
19,95000,-82.78927612304688,2897.09,2529.2,45.7025,19,28.9608
20,100000,-104.59049224853516,3134.07,2683.74,44.8173,20,18.4217
21,105000,-116.40186309814453,801.62,2587.34,45.2772,21,22.1851
22,110000,-151.4391326904297,2289.74,2731.16,45.2358,22,15.1494
23,115000,-195.4000244140625,3214.46,2809.71,44.8253,23,15.1953
24,120000,-368.07086181640625,1372.63,1202.62,47.3254,24,22.4528
25,125000,-282.1759338378906,-24.54,-20.91,54.2573,25,32.8058
26,130000,-315.57159423828125,-70.88,-60.71,55.4417,26,34.8682
27,135000,-261.8737487792969,37.53,41.03,53.7949,27,76.1309
28,140000,-311.3519592285156,237.81,266.19,53.2577,28,48.2491
29,145000,-456.2149353027344,42.4,29.95,52.7006,29,48.0981
30,150000,-343.9525146484375,-32.57,9.2,54.0271,30,95.0403
31,155000,-348.0740966796875,386.66,256.04,49.2844,31,65.8632
32,160000,-525.744140625,24.44,62.39,53.999,32,53.3913
33,165000,-581.1139526367188,53.48,41.93,51.2069,33,60.3375
34,170000,-406.6537170410156,29.49,17.1,53.3571,34,121.2206
35,175000,-348.266357421875,15.72,20.64,54.7354,35,79.4604
36,180000,-376.9772644042969,75.48,24.88,54.9873,36,226.6637
37,185000,-392.627197265625,292.51,311.43,53.4618,37,110.8662
38,190000,-419.0567321777344,404.87,390.84,50.2783,38,18.2617
39,195000,-474.5621032714844,253.22,325.79,50.0543,39,113.2662
40,200000,-341.378662109375,277.32,223.07,51.1223,40,155.5348
41,205000,-407.52392578125,1061.88,824.25,49.2802,41,25.2674
42,210000,-462.42999267578125,431.55,353.24,50.4664,42,75.3475
43,215000,-438.2033386230469,479.82,482.76,49.3201,43,33.4497
44,220000,-475.2633056640625,270.47,424.82,50.3392,44,189.2732
45,225000,-509.8838806152344,690.53,493.08,49.4201,45,61.0094
46,230000,-516.580322265625,736.65,665.0,49.3403,46,54.6087
47,235000,-453.052734375,1120.34,1087.91,48.2166,47,35.1633
48,240000,-608.3507080078125,319.17,318.38,51.2961,48,130.2075
49,245000,-547.8633422851562,699.58,579.76,50.6287,49,42.9692
50,250000,-523.0125732421875,1448.63,1123.56,48.9291,50,73.4303
51,255000,-587.6538696289062,-2.48,-10.8,52.4316,51,51.4972
52,260000,-592.0331420898438,92.69,48.47,52.8855,52,54.9529
53,265000,-568.3050537109375,229.65,247.47,52.1279,53,195.2996
54,270000,-607.9558715820312,-10.98,-10.59,58.571,54,368.9878
55,275000,-624.6121826171875,353.88,269.32,53.1916,55,260.1814
