Running Update Time,Real Det Return,Reward Loss,Running Forward KL,Itration,Running Reverse KL,Running Env Steps,Real Sto Return
0,364.88,23.109874725341797,74.282,0,24.9606,0,-118.49
1,556.3,4.323706150054932,74.5799,1,26.862,5000,-43.06
2,481.18,-4.266217231750488,72.0383,2,26.0178,10000,28.65
3,561.37,-20.93301010131836,72.8618,3,26.6463,15000,46.78
4,352.83,-36.736419677734375,74.6367,4,28.2158,20000,79.01
5,447.17,-52.365325927734375,74.8454,5,29.4436,25000,60.06
6,690.91,-62.581478118896484,73.5709,6,30.1279,30000,143.96
7,852.25,-77.21061706542969,72.6176,7,29.8797,35000,131.3
8,407.34,-89.07067108154297,72.7354,8,30.689,40000,113.83
9,693.54,-104.43164825439453,71.9631,9,31.7896,45000,172.83
10,674.26,-112.76994323730469,71.9123,10,30.2826,50000,204.01
11,436.28,-124.86376953125,71.1453,11,30.2258,55000,121.68
12,440.2,-136.8995819091797,73.0623,12,30.0579,60000,178.11
13,739.97,-150.05445861816406,72.2218,13,30.8845,65000,171.25
14,210.57,-163.7043914794922,69.9518,14,30.3453,70000,187.4
15,551.59,-174.0953369140625,70.4199,15,29.7262,75000,140.2
16,355.93,-189.22415161132812,70.8342,16,30.2753,80000,220.33
17,887.45,-198.18006896972656,69.5445,17,29.8851,85000,243.97
18,617.35,-213.54335021972656,71.8094,18,30.6537,90000,185.52
19,629.67,-224.1033935546875,70.518,19,30.5074,95000,225.38
20,187.87,-236.64706420898438,70.5136,20,29.8835,100000,179.52
21,419.24,-241.26303100585938,67.6404,21,29.2288,105000,271.11
22,239.46,-254.13107299804688,66.4793,22,28.4723,110000,238.17
23,243.17,-270.27642822265625,67.1523,23,30.265,115000,249.32
24,651.02,-279.56854248046875,66.6126,24,29.9643,120000,296.35
25,688.7,-289.73345947265625,67.11,25,29.3494,125000,252.68
26,861.1,-308.564697265625,69.062,26,29.6274,130000,333.39
27,894.3,-321.1015930175781,69.1294,27,29.9581,135000,294.83
28,803.08,-337.105712890625,69.3743,28,29.5434,140000,172.3
29,841.44,-350.5993957519531,69.823,29,30.4407,145000,304.94
30,1138.93,-341.4453125,64.5976,30,28.3325,150000,340.87
31,752.01,-378.10491943359375,69.9538,31,30.0749,155000,269.8
32,638.81,-357.95654296875,63.3496,32,27.2281,160000,276.43
33,687.75,-398.76715087890625,68.2699,33,29.0387,165000,254.37
34,677.41,-416.66961669921875,69.7689,34,29.7302,170000,159.01
35,770.93,-419.5589294433594,67.3039,35,28.5432,175000,330.79
36,893.65,-448.4711608886719,71.6058,36,30.5761,180000,319.57
37,829.07,-437.8144226074219,64.3917,37,27.125,185000,332.48
38,533.12,-464.3407897949219,67.9221,38,29.0792,190000,306.44
39,680.85,-470.9394226074219,66.9747,39,29.0736,195000,300.12
40,919.57,-492.6592712402344,68.9995,40,28.8555,200000,250.69
41,599.35,-500.45208740234375,66.7363,41,28.2485,205000,234.8
42,744.84,-517.398193359375,68.1672,42,29.0718,210000,305.6
43,1080.31,-522.8718872070312,65.4014,43,28.3883,215000,315.39
44,1028.17,-548.9490356445312,67.9938,44,29.4381,220000,297.46
45,768.42,-550.7177124023438,65.7215,45,28.0676,225000,300.16
46,1239.1,-549.8566284179688,63.3639,46,26.937,230000,429.18
47,1098.52,-593.2125244140625,68.2181,47,29.2432,235000,249.2
48,1245.84,-593.7659912109375,66.0478,48,28.2963,240000,547.39
49,607.6,-636.6890869140625,70.6716,49,30.5038,245000,263.75
50,681.08,-635.1347045898438,67.4529,50,29.2418,250000,265.64
51,732.74,-655.5697021484375,68.198,51,29.5922,255000,255.46
52,899.77,-649.017822265625,65.0983,52,28.0973,260000,282.14
53,954.88,-654.8644409179688,64.2302,53,27.5726,265000,276.84
54,813.27,-691.0194091796875,66.185,54,28.1703,270000,334.82
55,1009.8,-704.7890625,65.2497,55,28.7309,275000,382.38
56,908.44,-736.569580078125,68.9661,56,29.7571,280000,353.63
57,811.09,-741.8946533203125,66.5854,57,28.6146,285000,306.43
58,769.6,-769.1911010742188,67.5764,58,29.4009,290000,307.43
59,1131.12,-754.1390991210938,64.5642,59,27.4649,295000,495.46
60,771.34,-796.6668090820312,66.5645,60,28.8975,300000,392.22
61,682.79,-817.4644775390625,68.1854,61,29.0535,305000,331.31
62,1155.17,-787.3248291015625,63.4452,62,26.8218,310000,495.03
63,911.65,-837.0079956054688,65.5071,63,28.6006,315000,430.7
64,931.99,-868.787109375,67.0611,64,29.1108,320000,371.96
65,731.74,-870.3281860351562,66.5392,65,28.0936,325000,346.39
66,680.01,-926.1015625,71.3527,66,29.9364,330000,261.86
67,1104.1,-911.9185180664062,66.5897,67,28.5314,335000,456.7
68,790.97,-954.3359985351562,68.5035,68,29.3384,340000,402.47
69,1166.79,-933.3428344726562,64.3102,69,27.7446,345000,478.14
70,851.26,-938.0286865234375,64.0719,70,26.7927,350000,400.02
71,1077.52,-999.6143798828125,67.9808,71,28.9956,355000,341.74
72,1043.34,-947.0593872070312,63.759,72,27.1201,360000,503.45
73,1037.89,-999.2588500976562,65.9714,73,27.4758,365000,311.91
74,1230.32,-988.5460205078125,62.8379,74,26.465,370000,541.33
75,1381.02,-1025.4676513671875,64.236,75,27.451,375000,581.37
76,1194.82,-1088.0489501953125,65.9953,76,27.8359,380000,341.51
77,798.64,-1073.4267578125,64.5437,77,27.0022,385000,377.97
78,949.31,-1108.4395751953125,65.0354,78,28.1072,390000,391.2
79,819.25,-1148.2320556640625,67.7863,79,28.7583,395000,468.06
80,772.45,-1113.9093017578125,63.6201,80,26.8242,400000,477.67
81,1182.26,-1114.02099609375,63.1278,81,26.9447,405000,725.86
82,727.55,-1135.69140625,62.4807,82,26.207,410000,429.28
83,856.43,-1255.08544921875,68.2191,83,29.4104,415000,445.86
84,673.16,-1269.3931884765625,67.9318,84,29.4873,420000,334.55
85,1176.76,-1224.92041015625,63.3867,85,27.2763,425000,569.33
86,779.65,-1259.4564208984375,65.1867,86,27.758,430000,281.44
87,881.5,-1263.8397216796875,61.8331,87,26.6956,435000,507.61
88,755.86,-1329.8914794921875,64.9367,88,27.6012,440000,450.49
89,1119.2,-1243.1168212890625,61.2089,89,26.531,445000,559.06
90,1351.67,-1282.18505859375,60.4645,90,25.963,450000,530.48
91,1235.59,-1227.3629150390625,58.82,91,24.4732,455000,466.67
92,1287.39,-1251.124267578125,60.2477,92,25.7251,460000,573.61
93,1260.01,-1415.181640625,64.1107,93,27.3899,465000,453.51
94,1014.77,-1428.9449462890625,62.4987,94,26.4512,470000,393.07
95,1028.36,-1487.1334228515625,64.5999,95,27.421,475000,527.06
96,593.05,-1466.2296142578125,62.8407,96,25.695,480000,329.89
97,1209.51,-1401.39990234375,60.1301,97,24.9686,485000,716.82
98,768.7,-1541.3912353515625,65.1595,98,26.4774,490000,508.34
99,1851.02,-1412.6671142578125,60.6858,99,25.4346,495000,907.76
100,1458.41,-1260.0982666015625,55.3637,100,23.7065,500000,836.14
101,967.32,-1561.1536865234375,61.5848,101,26.4643,505000,534.99
102,1256.42,-1555.34375,61.8813,102,26.1458,510000,597.5
103,1170.31,-1683.785888671875,64.7451,103,27.3111,515000,334.67
104,884.43,-1640.3062744140625,63.079,104,26.909,520000,411.56
105,1361.08,-1607.6820068359375,62.3513,105,26.1773,525000,917.92
106,1043.09,-1501.2857666015625,65.1001,106,31.7724,530000,709.19
107,1539.26,-1509.737548828125,58.3671,107,24.4405,535000,664.91
108,1579.75,-1564.5557861328125,60.7904,108,25.1255,540000,919.36
109,1429.94,-1501.0045166015625,61.1579,109,27.7953,545000,635.07
110,1062.03,-1851.36962890625,64.9535,110,27.2608,550000,474.18
111,1645.12,-1698.7740478515625,61.4651,111,26.1254,555000,838.15
112,1266.47,-1776.5130615234375,61.4922,112,25.4154,560000,720.73
113,1302.19,-1768.4571533203125,60.8662,113,25.2087,565000,524.77
114,1461.5,-1797.35400390625,63.1063,114,26.4407,570000,1055.88
115,1698.73,-1816.5379638671875,62.2345,115,25.7071,575000,806.26
116,1304.97,-1891.656494140625,63.1979,116,25.4894,580000,496.13
117,1948.8,-1803.054443359375,62.3928,117,25.9851,585000,856.12
118,2091.38,-1600.4420166015625,62.6724,118,32.0514,590000,1197.04
119,1690.56,-1875.408935546875,61.3028,119,25.1803,595000,926.41
120,2468.59,-1591.69775390625,60.0564,120,28.7545,600000,1061.01
121,850.23,-2172.85302734375,66.2045,121,27.2998,605000,586.5
122,2117.48,-1986.2220458984375,61.5357,122,24.9973,610000,911.06
123,1493.62,-2039.4744873046875,63.9642,123,26.4408,615000,813.45
