Running Forward KL,Running Update Time,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Reward Loss,Running Env Steps
73.5376,0,514.8,26.7467,-85.45,0,19.10733413696289,0
74.6072,1,537.96,28.3451,-50.49,1,0.6298646330833435,5000
73.1457,2,546.21,27.4364,-28.4,2,-8.264176368713379,10000
73.2925,3,435.76,29.4733,71.78,3,-30.761436462402344,15000
71.0941,4,680.89,30.11,103.81,4,-48.54441452026367,20000
72.7089,5,671.42,30.6915,85.42,5,-61.11719512939453,25000
72.5119,6,708.7,31.6221,132.57,6,-75.5318603515625,30000
74.2726,7,535.67,31.1101,106.29,7,-93.05050659179688,35000
72.0612,8,761.23,30.5748,146.86,8,-89.29439544677734,40000
73.8123,9,817.35,32.1658,157.35,9,-114.67387390136719,45000
71.902,10,619.93,31.2594,109.01,10,-125.6025161743164,50000
70.9206,11,792.04,31.6805,229.76,11,-130.06109619140625,55000
72.789,12,660.37,31.2491,170.41,12,-157.1471405029297,60000
71.9158,13,256.03,30.3878,118.7,13,-161.71499633789062,65000
69.7837,14,578.86,31.514,189.88,14,-170.0128936767578,70000
68.4461,15,396.6,29.5239,174.0,15,-179.00497436523438,75000
72.4811,16,327.29,30.211,140.97,16,-206.57913208007812,80000
68.9712,17,602.13,29.513,206.64,17,-206.94166564941406,85000
68.0934,18,754.62,29.1804,247.77,18,-209.78211975097656,90000
67.8572,19,1006.01,29.3875,339.63,19,-229.96163940429688,95000
66.2483,20,975.95,28.4745,276.78,20,-240.45587158203125,100000
67.7377,21,644.5,29.4381,267.01,21,-252.01522827148438,105000
66.4777,22,801.19,28.5613,290.61,22,-264.0835266113281,110000
70.2604,23,748.04,30.0654,285.37,23,-290.4349670410156,115000
68.8359,24,434.89,30.0372,283.83,24,-295.4104309082031,120000
64.6498,25,362.87,27.7191,259.15,25,-287.9193420410156,125000
66.1399,26,603.91,28.5878,216.88,26,-314.23284912109375,130000
68.0559,27,618.36,29.3602,243.27,27,-335.7469482421875,135000
69.1317,28,647.97,29.6679,193.86,28,-346.2890319824219,140000
64.9272,29,1004.19,28.4083,454.74,29,-331.09271240234375,145000
67.3171,30,772.81,29.8204,341.56,30,-362.38885498046875,150000
68.3897,31,744.32,29.7827,310.89,31,-388.3690185546875,155000
68.3758,32,451.47,28.9964,291.41,32,-395.2720947265625,160000
67.3709,33,610.68,29.0074,328.83,33,-412.0731201171875,165000
67.828,34,750.31,29.7004,340.96,34,-415.26544189453125,170000
65.8221,35,681.02,29.2509,195.92,35,-427.0590515136719,175000
67.2424,36,698.96,28.5761,335.04,36,-440.0260009765625,180000
69.5362,37,778.9,30.2471,252.91,37,-467.3696594238281,185000
67.8546,38,928.29,28.9321,323.29,38,-471.2790832519531,190000
70.679,39,630.56,30.1952,272.22,39,-500.4594421386719,195000
63.1711,40,742.2,27.7318,265.18,40,-472.7176208496094,200000
64.7007,41,800.91,27.6611,258.35,41,-503.1365051269531,205000
65.6153,42,1203.94,28.5745,361.9,42,-527.5731811523438,210000
65.0666,43,892.86,28.7786,391.46,43,-538.3934326171875,215000
65.3045,44,501.19,28.3166,338.96,44,-549.1945190429688,220000
71.263,45,876.59,31.0692,280.94,45,-593.1407470703125,225000
64.4118,46,708.22,27.3258,196.41,46,-572.3634033203125,230000
60.6611,47,1555.17,27.4195,391.29,47,-548.071533203125,235000
66.879,48,955.59,29.0332,293.31,48,-617.4356689453125,240000
63.8467,49,1078.37,28.6935,376.51,49,-624.0426025390625,245000
67.1561,50,996.15,29.6109,362.22,50,-648.05517578125,250000
63.893,51,735.53,27.9738,365.7,51,-644.6495361328125,255000
67.9498,52,773.06,29.4612,294.67,52,-691.9390869140625,260000
66.4838,53,729.59,29.2894,415.02,53,-689.7907104492188,265000
65.3683,54,842.47,28.8534,281.56,54,-697.790283203125,270000
64.1509,55,950.14,27.6142,299.8,55,-701.0550537109375,275000
62.5437,56,855.01,27.1717,390.61,56,-711.4755859375,280000
66.3015,57,679.18,28.8287,390.84,57,-756.414794921875,285000
64.7245,58,984.05,28.7832,428.93,58,-754.1285400390625,290000
61.1609,59,1356.77,27.6971,518.75,59,-699.5848999023438,295000
61.835,60,1681.05,28.5949,625.19,60,-730.9203491210938,300000
64.3683,61,651.58,28.4449,303.46,61,-801.3977661132812,305000
65.7278,62,1082.33,28.7834,442.61,62,-831.7208251953125,310000
63.4799,63,952.25,27.7433,530.24,63,-819.4330444335938,315000
67.1803,64,888.57,29.2703,459.66,64,-883.1630859375,320000
62.6125,65,942.24,27.5901,405.76,65,-855.0008544921875,325000
63.5918,66,973.64,28.2949,419.36,66,-873.5079345703125,330000
62.7099,67,994.7,28.1467,389.22,67,-888.0655517578125,335000
63.5026,68,1586.11,27.9357,451.66,68,-893.6331176757812,340000
64.1962,69,1089.0,28.3243,395.04,69,-922.098876953125,345000
64.9502,70,1151.61,28.4869,533.71,70,-965.72607421875,350000
60.8189,71,1610.21,27.7905,567.52,71,-941.32958984375,355000
63.631,72,793.38,27.5357,392.94,72,-971.7167358398438,360000
60.927,73,838.4,26.1892,359.4,73,-938.105712890625,365000
62.7863,74,726.72,27.4666,293.85,74,-1032.961669921875,370000
67.9492,75,611.06,29.4257,352.36,75,-1095.6641845703125,375000
66.37,76,853.71,28.9374,361.07,76,-1087.4195556640625,380000
58.3174,77,1038.1,25.2918,412.06,77,-1005.8695068359375,385000
65.1084,78,967.97,28.3967,406.87,78,-1114.201904296875,390000
61.7463,79,745.93,27.079,342.22,79,-1099.92431640625,395000
63.3933,80,676.15,27.456,320.24,80,-1154.1356201171875,400000
64.6293,81,715.17,28.2925,462.85,81,-1177.2899169921875,405000
66.575,82,694.14,28.9646,314.74,82,-1208.437744140625,410000
59.3835,83,1737.13,28.4401,1113.56,83,-1022.5433349609375,415000
66.0582,84,1384.86,28.8614,518.18,84,-1262.5211181640625,420000
63.6905,85,896.67,27.3909,455.29,85,-1247.9688720703125,425000
55.0387,86,2145.94,29.096,1524.94,86,-912.2647094726562,430000
55.7677,87,1237.27,25.3315,777.08,87,-1142.404541015625,435000
58.9913,88,1031.85,25.479,679.67,88,-1193.54443359375,440000
59.8921,89,1061.33,25.3336,646.73,89,-1266.4169921875,445000
65.7818,90,1037.32,28.7493,405.32,90,-1395.8157958984375,450000
