Running Forward KL,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps
33.1132,19.4423,0,0,-18.584701538085938,211.3,205.22,0
31.7656,22.8933,1,1,-82.52860260009766,250.91,259.3,5000
31.2495,19.3313,2,2,-100.7180404663086,297.05,259.24,10000
31.0171,19.4511,3,3,-365.3011779785156,305.04,300.28,15000
30.9623,16.8687,4,4,-270.1886291503906,198.6,258.78,20000
31.1758,19.0118,5,5,-382.2265930175781,313.54,308.37,25000
31.1354,18.3148,6,6,-504.6387634277344,323.94,321.07,30000
30.7507,17.4528,7,7,-477.9419860839844,321.25,307.24,35000
31.2752,16.7077,8,8,-375.8748474121094,324.0,322.43,40000
31.0789,18.7155,9,9,-427.6664733886719,328.75,330.42,45000
30.8781,17.6363,10,10,-393.4580078125,332.07,331.39,50000
30.988,15.4265,11,11,-595.3041381835938,327.07,321.02,55000
30.7664,21.2801,12,12,-588.9013061523438,333.16,309.21,60000
30.0984,17.7911,13,13,-633.555908203125,366.19,349.09,65000
30.4238,18.1842,14,14,-648.9017333984375,358.54,349.68,70000
30.2875,16.7841,15,15,-742.8377685546875,362.33,361.77,75000
29.8257,17.0704,16,16,-824.21435546875,387.79,381.0,80000
29.0728,14.8572,17,17,-845.7679443359375,383.81,376.67,85000
29.0135,23.9577,18,18,-885.5883178710938,428.08,415.54,90000
29.2517,19.3466,19,19,-996.3302612304688,429.14,416.43,95000
28.2285,19.8115,20,20,-1002.3203735351562,441.63,439.09,100000
27.3515,20.2572,21,21,-1062.376708984375,487.51,479.72,105000
27.433,16.7767,22,22,-1038.714599609375,573.64,549.96,110000
27.5608,15.6357,23,23,-961.0865478515625,462.82,594.01,115000
26.888,14.2375,24,24,-1010.6874389648438,686.46,586.04,120000
26.2855,14.4342,25,25,-1135.1544189453125,618.07,626.7,125000
26.2914,14.8491,26,26,-1097.28564453125,757.5,670.82,130000
26.0653,13.9337,27,27,-1050.086669921875,209.02,562.34,135000
27.03,15.3136,28,28,-1240.846923828125,641.01,641.04,140000
26.9146,16.3587,29,29,-1256.764892578125,877.05,787.72,145000
26.5068,17.0692,30,30,-1315.603515625,1119.86,919.94,150000
