Running Env Steps,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Real Det Return,Running Forward KL,Itration
0,0,21.6318,381.307861328125,200.32,199.47,32.607,0
5000,1,19.0658,329.889892578125,225.21,233.06,31.9708,1
10000,2,20.2946,452.44110107421875,270.95,285.45,33.1501,2
15000,3,23.891,248.82252502441406,319.35,318.62,31.6072,3
20000,4,20.3097,202.37252807617188,311.96,307.74,30.1762,4
25000,5,22.6775,161.7910919189453,302.29,302.1,31.9677,5
30000,6,25.3706,85.37584686279297,434.33,427.76,26.9442,6
35000,7,19.5814,447.0824890136719,264.65,375.09,28.4994,7
40000,8,87.3886,-250.75750732421875,-1.99,-2.1,38.3181,8
45000,9,15.763,41.01216506958008,540.73,552.08,26.7691,9
50000,10,14.9088,58.90693664550781,564.6,749.64,26.3203,10
55000,11,14.7616,43.98671340942383,1237.57,1122.74,26.2158,11
60000,12,18.7226,-70.94955444335938,628.99,420.62,27.3848,12
65000,13,12.853,-76.53620147705078,344.47,410.26,27.5523,13
70000,14,15.3597,-79.0885009765625,2610.24,2937.12,25.0059,14
75000,15,14.9678,-93.85724639892578,2305.99,2950.7,24.5593,15
80000,16,23.5065,-5.40374231338501,802.1,201.35,25.7253,16
85000,17,13.3513,-62.25248336791992,2588.74,2938.04,24.5636,17
90000,18,12.5944,-55.81696701049805,1465.56,557.33,24.9939,18
95000,19,12.0879,31.893028259277344,586.08,229.57,24.6095,19
100000,20,12.1932,-36.67695236206055,1212.79,858.72,25.1916,20
105000,21,12.4793,30.411312103271484,1630.51,2797.88,24.3581,21
110000,22,12.1944,-93.427734375,1513.65,1571.12,24.8132,22
115000,23,12.3702,-33.06449890136719,1374.37,1380.13,24.2343,23
120000,24,11.5006,-97.63544464111328,2017.4,2719.85,23.0323,24
125000,25,11.416,-89.9400863647461,2249.73,3142.68,22.54,25
130000,26,11.9408,-153.12939453125,1553.0,2251.87,23.128,26
135000,27,11.2506,-47.623435974121094,1312.41,1423.07,21.9864,27
140000,28,11.5063,-222.4146728515625,1572.26,1253.37,24.0379,28
145000,29,10.1746,-107.02433013916016,1842.96,2899.48,21.7371,29
150000,30,11.2919,-40.9448127746582,1419.42,1561.51,23.0851,30
155000,31,10.6712,-131.18173217773438,2076.38,2114.03,22.114,31
160000,32,10.1825,-125.55034637451172,1638.29,1696.93,21.1086,32
165000,33,12.0004,-86.12077331542969,1463.82,3313.39,23.6009,33
170000,34,10.7807,-150.8815460205078,1710.92,3172.71,22.395,34
175000,35,11.9101,-142.77784729003906,1593.81,3197.36,23.398,35
180000,36,11.8415,-203.34912109375,1499.9,1380.88,23.2215,36
185000,37,11.9069,-237.71388244628906,1754.55,2710.93,24.4456,37
190000,38,12.4349,-271.26239013671875,1478.26,1285.61,23.4099,38
195000,39,12.4262,-130.4308624267578,2370.5,3325.08,22.0641,39
