Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss,Itration,Real Det Return,Running Update Time
0,14.6969,49.3113,398.32,109.6810073852539,0,373.97,0
5000,13.106,49.2316,408.71,63.77971267700195,1,319.31,1
10000,27.9249,48.9422,359.15,-48.01994705200195,2,419.67,2
15000,12.7913,48.5094,449.62,56.34486770629883,3,461.16,3
20000,25.4476,48.6217,548.94,-43.58467483520508,4,567.93,4
25000,14.9172,47.8624,644.1,24.142831802368164,5,639.47,5
30000,14.5663,48.4798,468.67,30.794292449951172,6,609.48,6
35000,15.6135,49.4805,585.48,-88.24038696289062,7,771.54,7
40000,15.119,48.5233,474.47,-1.4831721782684326,8,531.74,8
45000,18.1562,48.0036,576.9,-63.94255065917969,9,566.84,9
50000,22.8361,46.6228,798.61,-151.80050659179688,10,776.46,10
55000,21.2633,47.8823,407.33,-13.436317443847656,11,612.63,11
60000,25.8679,47.6999,569.79,-81.62781524658203,12,634.31,12
65000,16.1802,47.1442,792.64,-66.25640106201172,13,769.82,13
70000,19.3031,47.441,829.33,-100.5016860961914,14,914.24,14
75000,15.988,46.2588,916.13,53.16132354736328,15,931.68,15
80000,14.8813,46.8675,862.77,38.14122009277344,16,1020.15,16
85000,12.667,45.8224,954.87,-22.96990203857422,17,933.2,17
90000,14.3165,46.8911,863.88,13.663053512573242,18,1034.08,18
95000,14.1914,46.2817,875.35,-16.757457733154297,19,1020.81,19
100000,31.8754,46.4123,983.0,-48.594085693359375,20,929.62,20
105000,57.2395,46.9705,926.55,-69.99713134765625,21,983.88,21
110000,49.0827,46.9503,1014.12,-75.89301300048828,22,678.6,22
115000,21.3262,46.2954,1188.83,-199.54443359375,23,864.27,23
120000,17.9912,45.6781,1193.94,-169.0387725830078,24,1587.07,24
125000,16.8022,46.3424,922.77,-133.29046630859375,25,754.89,25
130000,28.4902,46.7003,1141.03,-221.092529296875,26,1607.9,26
135000,27.8519,46.0445,1339.4,-138.9164276123047,27,1825.72,27
140000,14.5794,45.8195,2309.44,-197.23483276367188,28,2742.02,28
145000,21.4179,45.3679,1403.23,-160.8377685546875,29,1592.79,29
150000,21.0321,45.4651,1106.69,-171.1587371826172,30,1426.55,30
