Real Sto Return,Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Real Det Return,Running Env Steps
367.0,0,-96.05670166015625,0,259.3404,449.4877,308.8,0
339.75,1,-824.7591552734375,1,280.8723,458.3844,339.58,5000
335.64,2,-404.1695556640625,2,285.0984,463.552,320.68,10000
438.83,3,-979.9326782226562,3,247.5093,429.1546,352.86,15000
431.19,4,-1525.0235595703125,4,261.7505,418.4713,391.67,20000
414.21,5,-1650.49853515625,5,256.296,419.0658,509.66,25000
441.79,6,-1959.32470703125,6,266.6866,430.8853,520.46,30000
436.13,7,-2915.16845703125,7,313.7554,428.9631,423.81,35000
450.32,8,-1956.0518798828125,8,274.1965,426.7861,496.81,40000
437.62,9,-3022.59765625,9,274.737,430.6063,415.25,45000
416.62,10,-3379.606689453125,10,293.4797,453.2327,391.09,50000
427.44,11,-3742.28759765625,11,305.6517,419.4894,408.72,55000
468.1,12,-3274.178466796875,12,276.0094,438.6913,487.35,60000
505.38,13,-3311.992431640625,13,249.6777,402.7551,523.4,65000
538.66,14,-3862.517578125,14,264.4895,418.4352,511.55,70000
569.72,15,-3881.31201171875,15,254.1751,411.4961,627.91,75000
515.84,16,-4061.994140625,16,262.3404,408.6273,481.71,80000
547.62,17,-4259.04736328125,17,269.5423,417.0017,564.26,85000
583.62,18,-4572.79345703125,18,250.8058,397.4574,686.85,90000
480.09,19,-5383.09765625,19,294.6049,420.6939,357.38,95000
655.6,20,-4306.27587890625,20,253.2899,416.5811,497.05,100000
549.65,21,-4446.69140625,21,253.0063,400.4943,598.77,105000
567.4,22,-4473.7666015625,22,253.5244,409.1054,647.94,110000
530.41,23,-6136.2529296875,23,294.6879,408.2033,451.21,115000
532.77,24,-6352.6103515625,24,299.3121,409.2745,424.92,120000
559.74,25,-5862.04345703125,25,256.704,407.6937,441.11,125000
609.56,26,-5974.65966796875,26,262.4578,397.0219,579.91,130000
