Real Det Return,Running Env Steps,Itration,Reward Loss,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL
-36.08,0,0,0.7237493991851807,11.7582,0,-213.72,158.5611
75.02,5000,1,-25.491952896118164,11.9366,1,79.77,158.31
401.08,10000,2,-115.97386169433594,12.566,2,177.6,158.1863
100.98,15000,3,-105.56294250488281,13.0688,3,85.58,158.5318
1040.0,20000,4,-128.0417022705078,13.6778,4,494.26,158.0275
1069.85,25000,5,-142.3880157470703,14.3377,5,600.25,158.213
1062.59,30000,6,-153.85446166992188,14.4899,6,730.8,157.9627
1101.67,35000,7,-166.3379364013672,14.0937,7,739.45,157.9699
1305.47,40000,8,-194.8994140625,15.0299,8,884.52,158.0498
1383.82,45000,9,-231.4299774169922,16.0294,9,1045.59,157.973
1429.61,50000,10,-271.7970275878906,15.8758,10,1010.34,157.9078
1501.87,55000,11,-303.3360595703125,16.0561,11,1105.36,158.0403
1203.82,60000,12,-333.4184265136719,16.3193,12,1132.0,158.0565
1631.48,65000,13,-384.2619323730469,16.3619,13,1188.13,157.9849
1579.47,70000,14,-397.74615478515625,16.2856,14,1232.13,158.098
1544.11,75000,15,-419.3103332519531,16.2798,15,1212.48,157.8339
1733.25,80000,16,-464.91033935546875,16.1372,16,1321.34,157.7771
1345.57,85000,17,-497.7335205078125,16.3077,17,1206.3,157.7402
1223.58,90000,18,-525.4055786132812,15.995,18,1345.03,157.5779
1228.91,95000,19,-537.8751220703125,15.7082,19,1374.96,157.6269
1811.24,100000,20,-580.945068359375,16.2117,20,1277.2,157.6562
1779.98,105000,21,-617.969970703125,16.2012,21,1459.01,157.282
1886.41,110000,22,-622.2659912109375,15.2422,22,1470.39,157.2524
1878.69,115000,23,-670.1232299804688,16.3366,23,1520.31,157.5835
1762.76,120000,24,-655.0205688476562,15.1062,24,1493.76,157.5201
1776.49,125000,25,-710.1290283203125,15.6276,25,1525.19,157.2611
1869.57,130000,26,-736.1101684570312,15.7411,26,1462.61,157.4415
1908.98,135000,27,-775.298095703125,16.0144,27,1475.92,157.6878
1838.49,140000,28,-810.9092407226562,15.8034,28,1530.11,157.2845
1632.21,145000,29,-836.9060668945312,15.7693,29,1550.28,157.2598
1986.41,150000,30,-870.94189453125,15.9884,30,1490.81,157.3685
1768.52,155000,31,-867.2467041015625,15.7029,31,1570.04,157.3074
1925.95,160000,32,-917.7967529296875,15.8879,32,1541.18,157.1346
1770.85,165000,33,-924.5671997070312,15.5682,33,1586.35,157.4087
1990.2,170000,34,-985.4674072265625,16.0986,34,1463.97,157.2782
1913.65,175000,35,-1009.9524536132812,15.9463,35,1557.46,157.0912
1458.82,180000,36,-1010.1386108398438,15.9523,36,1248.42,157.294
1990.9,185000,37,-1066.8116455078125,15.7222,37,1651.1,157.2218
1612.39,190000,38,-1090.52490234375,15.8251,38,1627.1,157.1072
2040.13,195000,39,-1155.79150390625,15.8838,39,1290.09,157.0822
1940.63,200000,40,-1169.587158203125,15.6061,40,1581.11,157.1982
1929.53,205000,41,-1169.4346923828125,15.2816,41,1634.08,157.1406
1667.99,210000,42,-1220.3167724609375,15.7864,42,1493.35,157.3354
1355.91,215000,43,-1237.105224609375,15.5418,43,1673.44,157.0372
1958.31,220000,44,-1260.4747314453125,15.3831,44,1555.52,157.0206
1746.61,225000,45,-1326.8568115234375,16.3526,45,1618.2,157.1915
1844.7,230000,46,-1348.3033447265625,15.8926,46,1620.99,156.9581
2100.4,235000,47,-1387.1595458984375,16.2369,47,1671.54,157.2465
2089.05,240000,48,-1410.803955078125,15.9576,48,1682.33,156.9663
2030.58,245000,49,-1420.9560546875,15.7683,49,1593.77,156.9543
1797.11,250000,50,-1449.57421875,15.7271,50,1496.57,156.8853
1968.4,255000,51,-1500.3907470703125,16.1573,51,1627.87,157.1662
2074.87,260000,52,-1524.635986328125,15.712,52,1712.3,157.0814
2054.48,265000,53,-1539.3416748046875,15.8563,53,1720.95,157.1207
2132.66,270000,54,-1596.5738525390625,16.0038,54,1741.75,157.0502
1991.86,275000,55,-1614.988525390625,16.3006,55,1726.53,157.0415
1847.68,280000,56,-1652.05908203125,16.2671,56,1624.5,157.2346
2080.4,285000,57,-1699.1033935546875,15.9907,57,1715.26,156.9726
1999.26,290000,58,-1706.055908203125,15.5893,58,1726.68,156.9031
2053.85,295000,59,-1736.233154296875,15.7211,59,1705.13,157.0596
2095.2,300000,60,-1767.542724609375,15.8745,60,1765.53,156.9142
2006.98,305000,61,-1792.5357666015625,15.5442,61,1690.32,156.9337
2060.56,310000,62,-1813.39208984375,15.4309,62,1705.4,156.733
1750.14,315000,63,-1854.6927490234375,15.9222,63,1744.9,156.9529
2130.54,320000,64,-1886.0958251953125,15.776,64,1737.19,157.0531
2048.78,325000,65,-1909.230712890625,15.7633,65,1660.62,156.8181
1993.89,330000,66,-1932.73681640625,15.5341,66,1756.57,156.8173
2086.27,335000,67,-1976.1317138671875,15.8874,67,1718.42,156.9798
2085.13,340000,68,-2000.9014892578125,15.7732,68,1733.97,156.9385
2081.84,345000,69,-2026.488037109375,15.8333,69,1759.28,156.9918
2123.11,350000,70,-2080.93994140625,15.8946,70,1738.57,157.0251
2125.78,355000,71,-2113.630859375,15.7404,71,1658.49,157.0236
2159.27,360000,72,-2153.149169921875,16.0184,72,1791.63,156.923
2004.04,365000,73,-2170.95166015625,15.9873,73,1752.08,156.833
2066.76,370000,74,-2159.87353515625,15.5976,74,1753.38,156.8377
1991.96,375000,75,-2217.634765625,15.4617,75,1728.32,156.9134
2149.7,380000,76,-2266.93115234375,15.9162,76,1761.26,156.8392
2168.24,385000,77,-2304.207275390625,16.0291,77,1692.71,156.7243
2117.88,390000,78,-2305.010009765625,15.5698,78,1569.22,156.8788
2167.5,395000,79,-2379.96435546875,16.2506,79,1816.32,157.123
2154.4,400000,80,-2379.46044921875,15.5684,80,1765.67,156.7122
2058.18,405000,81,-2396.474853515625,15.4528,81,1751.61,156.9756
2100.53,410000,82,-2416.4931640625,15.4565,82,1658.01,156.7409
1962.85,415000,83,-2469.386962890625,15.5228,83,1743.43,156.8752
2146.93,420000,84,-2491.932861328125,15.3396,84,1777.36,156.7317
2134.56,425000,85,-2526.802734375,15.2579,85,1702.89,156.881
2133.43,430000,86,-2570.897705078125,15.4926,86,1775.41,156.7647
2012.06,435000,87,-2592.423095703125,15.4115,87,1747.19,156.9456
2107.78,440000,88,-2644.155029296875,15.5691,88,1742.62,156.8418
2158.98,445000,89,-2694.05908203125,15.5601,89,1776.9,156.9107
2021.16,450000,90,-2684.80419921875,15.5322,90,1605.04,156.6791
2127.86,455000,91,-2734.416748046875,15.6304,91,1794.98,156.8232
2059.65,460000,92,-2790.8310546875,15.6654,92,1808.56,156.7101
2151.63,465000,93,-2800.97216796875,15.6325,93,1810.37,156.8507
2149.3,470000,94,-2826.03271484375,15.6798,94,1705.19,156.811
2083.58,475000,95,-2858.496337890625,15.6304,95,1797.46,156.8773
2184.41,480000,96,-2942.9169921875,15.8894,96,1849.11,156.8874
2107.22,485000,97,-2938.68359375,15.4019,97,1781.0,156.7668
2124.6,490000,98,-2978.177490234375,15.5185,98,1781.41,156.725
2095.82,495000,99,-2986.458251953125,15.2866,99,1776.04,156.7565
2169.77,500000,100,-3062.673095703125,15.6921,100,1825.08,156.8055
2140.65,505000,101,-3090.994384765625,15.5258,101,1780.91,156.858
2184.86,510000,102,-3121.931640625,15.4263,102,1828.7,156.7915
2173.06,515000,103,-3160.800048828125,15.5978,103,1838.71,156.8361
2114.83,520000,104,-3160.386962890625,15.2513,104,1779.62,156.6714
2120.98,525000,105,-3216.6611328125,15.3678,105,1763.73,156.8826
2106.66,530000,106,-3248.64892578125,15.2951,106,1765.02,156.6954
2146.94,535000,107,-3280.41015625,15.1324,107,1801.6,156.659
2179.02,540000,108,-3341.072021484375,15.5374,108,1850.08,156.8368
2170.4,545000,109,-3377.6904296875,15.6397,109,1828.8,156.7793
2145.01,550000,110,-3379.16455078125,15.3386,110,1787.28,156.82
2173.52,555000,111,-3419.265869140625,15.2538,111,1806.78,156.7053
2153.26,560000,112,-3430.880859375,14.8889,112,1795.55,156.6522
2161.95,565000,113,-3514.958984375,15.7153,113,1816.34,156.7394
2184.14,570000,114,-3512.521240234375,15.1951,114,1832.56,156.7356
2187.74,575000,115,-3572.40478515625,15.4865,115,1852.13,156.7832
2180.63,580000,116,-3624.222412109375,15.6156,116,1858.09,156.7022
2078.99,585000,117,-3621.89306640625,15.2065,117,1773.44,156.7569
2174.81,590000,118,-3700.126220703125,15.4646,118,1767.15,156.9094
2197.15,595000,119,-3735.960205078125,15.4604,119,1848.7,156.7446
2156.92,600000,120,-3753.8203125,15.373,120,1688.22,156.7468
2196.43,605000,121,-3800.649658203125,15.5206,121,1843.76,156.7261
2174.7,610000,122,-3828.10498046875,15.3902,122,1822.75,156.5615
2176.89,615000,123,-3858.80908203125,15.1839,123,1801.3,156.6442
2171.65,620000,124,-3909.712646484375,15.3293,124,1826.15,156.8116
2182.08,625000,125,-3997.81298828125,15.5361,125,1829.8,156.9856
2221.44,630000,126,-4005.89990234375,15.3782,126,1839.31,156.7233
2187.02,635000,127,-4041.7255859375,15.3562,127,1869.04,156.7419
2188.6,640000,128,-4096.55224609375,15.5325,128,1850.68,156.8709
2197.26,645000,129,-4098.64990234375,15.1734,129,1840.39,156.7546
2227.38,650000,130,-4159.07861328125,15.5425,130,1880.11,156.6521
2170.43,655000,131,-4185.845703125,15.3393,131,1823.54,156.6675
2204.93,660000,132,-4249.46533203125,15.5675,132,1864.67,156.7662
