Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Itration
19.1716,-365.9806823730469,385000,12.4122,3436.55,2837.89,77,77
19.7555,-1287.3951416015625,390000,13.4702,3365.73,2634.61,78,78
18.4805,-590.2789916992188,395000,16.7583,3404.32,3097.34,79,79
18.3053,-143.09669494628906,400000,12.6463,3392.35,2987.85,80,80
20.568,-1943.6695556640625,405000,13.3634,3397.8,2584.04,81,81
18.2231,-749.6669921875,410000,11.4963,3426.09,2940.84,82,82
19.8596,-2984.36181640625,415000,25.2354,1953.36,1334.59,83,83
18.8991,-1770.1085205078125,420000,13.488,3420.84,2161.66,84,84
20.0822,-1106.284912109375,425000,12.2558,3341.51,2778.06,85,85
18.8576,-1368.7889404296875,430000,10.7363,3338.37,3280.03,86,86
19.8762,-1897.3182373046875,435000,11.4279,3169.95,1691.32,87,87
18.3061,-263.7720642089844,440000,11.3945,3403.45,3309.87,88,88
19.0926,-317.62396240234375,445000,12.508,3340.29,3335.65,89,89
21.2315,-2437.66845703125,450000,13.5241,3425.57,1945.05,90,90
19.3263,-577.936279296875,455000,11.7539,3355.22,3183.9,91,91
20.1976,-540.8362426757812,460000,12.0856,3309.56,3305.41,92,92
19.057,-261.7770080566406,465000,13.0606,3419.16,3389.07,93,93
18.5863,-347.34173583984375,470000,11.4029,3366.08,3244.38,94,94
18.7983,-309.47381591796875,475000,12.5392,3379.76,3254.42,95,95
17.8668,-480.0782470703125,480000,12.6932,3420.59,3369.33,96,96
21.2634,-2551.446533203125,485000,30.9711,3446.04,1741.39,97,97
18.6397,-326.44488525390625,490000,11.572,3377.36,3369.39,98,98
18.5579,-291.6790771484375,495000,11.8541,3435.14,3387.62,99,99
18.6771,-258.8960266113281,500000,12.2375,3441.37,3410.87,100,100
17.3391,-654.8160400390625,505000,11.3185,3472.57,3245.43,101,101
19.8743,-994.203369140625,510000,28.0398,3421.27,2735.86,102,102
18.9175,-591.6819458007812,515000,12.449,3423.39,3400.5,103,103
18.4793,-934.9266357421875,520000,17.6367,3395.22,2402.21,104,104
19.2579,-1348.3687744140625,525000,30.3564,3361.3,2728.56,105,105
18.7592,-1278.95263671875,530000,14.6596,3402.66,2838.39,106,106
17.2003,-259.4028625488281,535000,10.9371,3458.45,3428.06,107,107
19.0661,-1435.717041015625,540000,16.88,3371.9,2700.42,108,108
19.446,-1511.4476318359375,545000,12.0305,3376.76,2358.72,109,109
19.0508,-910.05419921875,550000,22.9633,3406.94,2761.28,110,110
18.5559,-640.0615234375,555000,11.4056,3409.02,3349.23,111,111
17.7509,-307.33740234375,560000,11.4424,3450.62,3412.1,112,112
18.1098,-1413.2911376953125,565000,14.2456,3464.98,2969.45,113,113
18.9325,-1950.8262939453125,570000,18.1132,3412.38,2353.33,114,114
20.0456,-2546.283447265625,575000,51.4397,3351.07,1768.43,115,115
19.0843,-1579.596435546875,580000,14.0305,3417.55,2243.36,116,116
17.1904,-293.83807373046875,585000,11.3728,3384.35,3398.54,117,117
19.0511,-1579.584228515625,590000,15.6402,3406.21,2809.77,118,118
18.3909,-2215.7744140625,595000,20.3192,3430.37,2184.69,119,119
17.9308,-294.5386657714844,600000,11.9421,3447.12,3312.98,120,120
18.2068,-335.5697937011719,605000,11.4621,3458.91,2998.23,121,121
17.8001,-496.9335021972656,610000,12.649,3454.82,3109.77,122,122
19.3881,-1507.78271484375,615000,32.2837,3414.0,2343.86,123,123
19.0374,-1713.1279296875,620000,11.9897,3405.77,3086.99,124,124
19.2775,-2771.696044921875,625000,15.4429,3403.13,1959.64,125,125
19.8444,-1702.7655029296875,630000,14.5177,3409.63,2532.72,126,126
21.1263,-3120.5390625,635000,32.5115,3367.9,2000.09,127,127
18.9586,-1280.470947265625,640000,13.5612,3442.65,3144.39,128,128
18.0317,-426.49346923828125,645000,11.4647,3430.81,3398.74,129,129
18.4459,-501.125244140625,650000,11.621,3446.85,3379.0,130,130
19.4892,-3038.550048828125,655000,19.0791,3420.55,2184.83,131,131
19.0329,-626.040283203125,660000,12.2904,3437.12,3286.78,132,132
17.3282,-331.4914855957031,665000,10.2102,3433.95,3276.84,133,133
20.5234,-2859.50341796875,670000,14.5087,1676.55,1666.81,134,134
19.3163,-582.849853515625,675000,12.3956,3433.12,3332.63,135,135
17.8416,-365.4326171875,680000,11.4058,3470.68,3248.78,136,136
18.4122,-462.2220458984375,685000,11.2784,3428.12,3306.55,137,137
18.9089,-1171.04736328125,690000,12.2161,3436.79,3079.43,138,138
18.1455,-835.3800048828125,695000,11.6529,3481.7,3172.13,139,139
19.5363,-1995.9114990234375,700000,16.7951,3470.83,2192.16,140,140
18.4773,-807.0767822265625,705000,11.6946,3428.02,3238.68,141,141
