Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Real Det Return,Running Update Time,Real Sto Return
158.5069,-23.456514358520508,11.6926,0,0,-87.51,0,-200.8
158.4705,-69.87574768066406,12.0303,1,5000,13.84,1,-87.68
158.2919,-132.02691650390625,12.3795,2,10000,750.31,2,98.57
158.1364,-178.74114990234375,14.4595,3,15000,892.03,3,497.91
158.0904,-175.0828399658203,14.4722,4,20000,981.88,4,603.24
158.1238,-206.70254516601562,14.5922,5,25000,1133.44,5,717.82
157.9466,-202.0379180908203,14.6786,6,30000,1189.81,6,716.11
158.0845,-237.6733856201172,14.8047,7,35000,1118.59,7,798.27
157.5071,-228.40957641601562,14.4487,8,40000,1215.41,8,815.96
157.7908,-254.24647521972656,15.2015,9,45000,1294.48,9,904.45
157.7282,-270.2923278808594,15.2556,10,50000,1348.5,10,968.06
157.91,-307.5540466308594,16.109,11,55000,1427.51,11,1051.8
157.6704,-315.6999816894531,15.9372,12,60000,1504.49,12,1105.6
157.697,-352.4478454589844,16.148,13,65000,1583.1,13,1180.13
157.9489,-379.885009765625,16.2677,14,70000,1588.07,14,1170.3
157.8215,-404.080810546875,16.3031,15,75000,1649.84,15,1246.83
157.813,-427.8211364746094,16.5767,16,80000,1686.18,16,1247.87
157.7151,-451.5424499511719,16.1207,17,85000,1442.08,17,1288.83
157.7089,-487.8428955078125,16.4339,18,90000,1764.33,18,1295.98
157.608,-511.39349365234375,16.3818,19,95000,1794.22,19,1360.09
157.9505,-549.5245361328125,16.8124,20,100000,1821.46,20,1394.83
157.4816,-566.3907470703125,16.2449,21,105000,1844.33,21,1419.16
157.9346,-580.0922241210938,16.332,22,110000,1810.36,22,1433.0
157.772,-614.3753662109375,16.583,23,115000,1910.88,23,1466.24
