Running Env Steps,Itration,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
0,0,249.9,0,426.6798,4243.16162109375,285.4722,283.89
5000,1,308.77,1,437.4006,3111.26513671875,250.7851,297.83
10000,2,473.41,2,438.4675,2719.442626953125,243.3448,367.76
15000,3,479.46,3,418.9581,3403.060546875,252.8682,427.31
20000,4,438.68,4,418.0634,3433.31103515625,261.9527,436.09
25000,5,283.94,5,407.7381,3393.64501953125,248.3741,380.0
30000,6,427.92,6,412.3628,3178.705322265625,269.0161,401.71
35000,7,532.92,7,412.1044,2453.768310546875,273.5439,466.31
40000,8,597.09,8,395.7803,2266.68505859375,257.9606,474.43
45000,9,521.93,9,396.2224,1892.2835693359375,261.338,466.17
50000,10,475.27,10,393.4506,1754.4210205078125,257.7082,438.85
55000,11,496.83,11,385.1297,1612.710205078125,258.0237,464.3
60000,12,634.68,12,386.9649,1174.894775390625,247.6011,578.4
65000,13,456.99,13,396.9732,1138.136962890625,254.5067,489.99
70000,14,589.18,14,397.2684,1102.9345703125,248.9903,509.0
75000,15,413.22,15,411.4588,871.9186401367188,254.205,508.47
80000,16,465.9,16,395.4667,414.4537353515625,246.9254,499.41
85000,17,511.94,17,398.6342,249.76486206054688,244.2666,555.95
90000,18,576.87,18,393.4408,-542.0988159179688,249.7042,638.31
95000,19,492.55,19,404.4608,-394.7392578125,236.9782,556.15
100000,20,513.53,20,393.9916,-508.2637023925781,238.6889,520.36
105000,21,603.83,21,407.7237,-841.3695068359375,248.0746,609.44
110000,22,704.12,22,380.7335,-1033.2548828125,254.0277,596.16
115000,23,668.21,23,401.2505,-1235.2874755859375,251.1262,628.66
120000,24,780.69,24,383.8021,-1478.925048828125,255.4531,652.49
125000,25,565.66,25,403.1275,-1369.0572509765625,264.5964,668.6
130000,26,664.88,26,378.6105,-1821.8079833984375,270.7198,822.27
135000,27,685.87,27,375.8753,-2355.07421875,287.1898,799.9
140000,28,787.45,28,374.8496,-2352.411865234375,247.0747,826.12
145000,29,762.67,29,396.9139,-2465.70654296875,251.1499,787.03
150000,30,666.03,30,365.0607,-2712.728515625,263.9425,845.69
155000,31,671.52,31,378.6857,-3272.52734375,288.9368,717.95
160000,32,684.51,32,365.6907,-3164.364501953125,253.2766,851.9
165000,33,788.21,33,366.5465,-3722.427490234375,256.5975,777.07
170000,34,604.54,34,365.6527,-4113.76171875,266.995,692.14
175000,35,532.83,35,387.3558,-4377.95068359375,294.0485,710.92
180000,36,628.56,36,395.8635,-4411.27880859375,293.971,745.83
185000,37,706.83,37,361.6487,-4260.71630859375,246.1815,908.83
190000,38,660.73,38,368.6574,-4415.76953125,238.711,958.27
195000,39,642.79,39,385.7952,-4756.37646484375,261.0642,845.06
200000,40,795.7,40,358.3838,-4828.619140625,254.3147,919.25
205000,41,827.04,41,380.2142,-5020.01904296875,239.9499,966.09
210000,42,706.27,42,373.4023,-5527.2666015625,282.9182,844.04
215000,43,726.91,43,354.0295,-5609.6796875,292.0936,952.63
220000,44,859.9,44,353.555,-5304.888671875,237.8669,1029.87
225000,45,1345.17,45,330.6832,-5378.63330078125,220.0198,1171.58
230000,46,1053.38,46,338.2958,-5667.10400390625,228.1277,1301.23
235000,47,643.31,47,361.6183,-6432.412109375,272.337,1011.41
240000,48,684.53,48,375.1474,-6080.0634765625,239.454,1007.97
245000,49,1079.35,49,338.7986,-6251.62451171875,210.846,1433.82
250000,50,1549.01,50,332.3645,-6081.87060546875,210.059,1730.03
255000,51,1071.67,51,353.7962,-6159.19140625,221.2407,1411.17
260000,52,948.0,52,351.2269,-6595.2099609375,222.4162,1090.14
