Real Det Return,Running Env Steps,Running Forward KL,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Reverse KL
221.97,0,38.4162,228.34,0,0,91.64666748046875,17.4933
258.81,5000,37.286,258.84,1,1,114.14400482177734,33.0838
279.1,10000,37.5121,270.03,2,2,90.11627197265625,16.2213
241.11,15000,37.6005,249.14,3,3,32.49043273925781,16.6486
261.7,20000,37.8987,251.82,4,4,19.178659439086914,15.8624
322.44,25000,37.6381,312.12,5,5,72.6121826171875,24.3237
343.8,30000,37.3599,354.24,6,6,63.84931564331055,21.3504
374.28,35000,37.4945,375.04,7,7,67.7029800415039,80.2729
384.26,40000,36.6454,396.07,8,8,53.40529251098633,81.7603
262.24,45000,36.453,285.12,9,9,23.653078079223633,33.1326
523.9,50000,36.6286,500.57,10,10,22.551538467407227,43.0177
534.33,55000,35.7812,490.53,11,11,13.39408016204834,32.0168
548.78,60000,36.3058,535.31,12,12,1.4700498580932617,35.365
660.33,65000,34.1629,615.33,13,13,-17.45182228088379,30.5607
771.62,70000,33.1708,816.66,14,14,-9.54679012298584,31.9349
802.37,75000,34.0025,805.09,15,15,-24.4870662689209,31.6434
359.77,80000,33.7727,651.82,16,16,-19.857999801635742,83.9758
2667.49,85000,32.3446,1685.01,17,17,-4.561224460601807,33.6529
2989.54,90000,33.0005,1903.82,18,18,-16.00385284423828,21.248
2744.34,95000,32.8605,1947.6,19,19,-11.061964988708496,25.24
2966.73,100000,31.9851,2770.22,20,20,13.352446556091309,17.8782
2829.61,105000,31.4161,2366.13,21,21,-3.248244524002075,29.7454
1118.83,110000,32.227,1106.76,22,22,-71.66973114013672,22.4652
2849.85,115000,32.1653,2192.99,23,23,3.8546175956726074,21.2956
1091.07,120000,32.6474,1148.83,24,24,-102.97073364257812,49.8402
2659.93,125000,32.3944,1420.75,25,25,-84.89614868164062,54.0298
1120.58,130000,31.9275,1207.5,26,26,-110.50790405273438,57.2437
926.85,135000,32.8742,922.29,27,27,-115.99171447753906,19.7635
1261.29,140000,31.5182,1746.71,28,28,-73.49359893798828,18.3891
3039.45,145000,32.2014,1931.5,29,29,-5.542062282562256,17.7238
