Real Det Return,Running Forward KL,Running Reverse KL,Itration,Real Sto Return
184.84,74.3108,24.3547,0,-86.8
409.72,73.9684,25.8195,1,-69.99
321.45,73.1841,25.9187,2,-31.96
525.73,72.6452,27.5541,3,-3.53
574.84,73.2581,28.6692,4,4.08
702.25,72.32,29.7972,5,41.47
643.02,72.0876,30.2548,6,99.69
748.23,70.8425,31.9314,7,132.11
632.47,73.1046,31.6745,8,108.36
700.24,72.2842,32.6484,9,122.44
763.5,72.4348,31.9898,10,105.53
720.49,71.4869,31.795,11,111.65
824.87,70.718,31.6371,12,160.14
743.99,70.9795,32.2633,13,141.0
770.91,69.3644,31.3403,14,224.52
858.99,71.3815,31.0121,15,163.94
955.52,70.6163,30.4843,16,218.61
968.15,72.8171,30.9949,17,197.55
767.37,70.5129,31.586,18,179.81
824.83,69.2133,30.0457,19,210.61
896.17,71.4748,30.2515,20,234.53
737.94,69.2459,30.6825,21,193.95
881.54,69.2167,29.7972,22,162.32
837.57,70.5149,30.3409,23,230.66
656.57,68.4613,29.774,24,207.62
865.36,70.6552,30.1652,25,184.44
742.18,71.3938,30.5282,26,201.12
751.28,73.3022,31.1228,27,161.72
788.66,69.9122,30.8904,28,165.98
819.44,70.3589,31.1717,29,210.8
880.46,70.3971,30.9623,30,206.73
914.77,70.4232,30.6538,31,204.04
956.3,70.1613,30.2196,32,243.73
810.95,69.6385,31.1044,33,238.93
859.27,69.9013,30.7436,34,266.79
955.52,71.6564,30.8433,35,176.82
755.49,70.3545,30.8806,36,212.38
739.01,70.5106,30.488,37,223.08
932.72,70.9906,30.8471,38,200.84
842.06,70.8269,30.4839,39,232.36
800.49,71.0166,31.416,40,220.85
917.84,69.9805,31.0019,41,225.87
797.01,72.3753,31.0931,42,242.16
919.15,70.2414,31.6736,43,236.77
768.3,69.6052,30.5114,44,240.36
742.05,72.0796,31.0408,45,233.73
585.38,71.7748,30.2944,46,242.92
972.52,69.7205,30.7067,47,254.36
770.27,68.7791,30.443,48,230.59
820.11,69.6853,30.4554,49,246.7
951.4,72.8473,31.6786,50,199.81
752.49,70.1677,30.929,51,222.75
785.21,70.2021,31.147,52,260.0
864.52,71.349,30.5581,53,181.4
660.28,72.882,31.0049,54,226.62
653.24,70.7905,30.5165,55,219.88
915.26,71.2837,30.3876,56,199.99
773.68,68.8914,30.3872,57,245.61
730.5,71.5047,30.8469,58,269.46
766.21,71.3161,31.1134,59,271.59
785.51,70.1273,31.1254,60,274.56
910.09,68.2416,30.6886,61,273.33
777.14,70.0805,30.3688,62,309.8
859.1,70.2384,30.8833,63,278.14
940.24,70.9073,31.5836,64,291.87
894.47,71.4748,31.3837,65,240.93
774.91,69.2445,30.282,66,227.75
1018.55,70.7147,30.9081,67,309.71
963.71,69.938,31.0445,68,313.58
811.76,68.2481,30.7388,69,311.31
922.33,71.6584,30.9527,70,279.98
1016.75,71.0162,30.845,71,314.05
822.8,69.149,30.3256,72,261.11
932.0,66.2065,29.7713,73,324.77
1001.35,65.9708,29.9289,74,335.28
953.94,68.0266,30.176,75,299.63
929.54,68.2069,30.7894,76,314.84
1030.29,67.3662,29.8931,77,379.6
1017.64,70.5205,30.3283,78,362.61
998.9,66.8711,29.5541,79,356.51
1001.76,67.9411,29.9495,80,304.42
1025.73,67.7252,29.6592,81,317.69
1046.0,67.4348,30.0255,82,384.14
686.63,67.6919,29.4973,83,271.3
901.54,68.0736,29.9516,84,377.38
895.14,70.7435,30.8708,85,304.35
1005.64,67.9087,30.546,86,349.85
917.21,70.1913,30.8171,87,328.72
