Running Env Steps,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
0,0,269.1531,-494.0098876953125,334.27,0,335.96,425.6245
5000,1,265.7525,-572.9176635742188,407.05,1,357.01,430.7245
10000,2,294.1377,-932.819091796875,367.04,2,401.16,426.7927
15000,3,283.4833,-1534.37451171875,462.67,3,446.56,434.2478
20000,4,256.1567,-1193.5084228515625,297.02,4,360.92,447.0732
25000,5,255.6171,-2175.76123046875,501.58,5,476.12,429.3016
30000,6,277.8058,-2204.69677734375,460.73,6,437.84,423.0918
35000,7,262.438,-2542.752685546875,466.16,7,458.87,442.7227
40000,8,278.8887,-2783.46728515625,402.78,8,430.32,431.3285
45000,9,259.0185,-2665.5908203125,551.54,9,434.81,425.8772
50000,10,266.1656,-1801.6068115234375,389.72,10,432.48,431.3211
55000,11,277.485,-3340.86279296875,504.9,11,481.79,430.4147
60000,12,304.1972,-3975.76953125,363.64,12,462.71,440.0255
65000,13,326.2854,-3859.729248046875,467.91,13,463.75,425.7743
70000,14,310.1608,-4209.34423828125,522.74,14,474.9,431.7176
75000,15,323.396,-4372.27197265625,527.81,15,465.54,427.0138
80000,16,312.7854,-4813.99169921875,566.51,16,509.58,424.4917
85000,17,330.2752,-4935.23779296875,496.28,17,526.62,427.1407
90000,18,323.2964,-5204.05712890625,495.81,18,510.28,428.1424
95000,19,308.4763,-5260.92822265625,624.69,19,552.13,413.9036
100000,20,268.4153,-4612.56201171875,672.02,20,552.38,404.3006
105000,21,296.8398,-5587.5615234375,563.7,21,571.65,421.1149
110000,22,266.8548,-5407.234375,749.2,22,575.03,409.5948
115000,23,287.2065,-5926.8076171875,644.5,23,581.96,416.8766
120000,24,289.1292,-5980.04931640625,606.09,24,619.79,396.8319
125000,25,303.9963,-6314.3505859375,638.41,25,611.2,404.3228
130000,26,300.3317,-6206.10107421875,623.7,26,666.3,388.6438
135000,27,313.7017,-6552.349609375,568.4,27,634.23,396.0515
140000,28,317.5592,-6653.1220703125,716.83,28,662.88,395.1435
145000,29,327.9449,-6879.28564453125,650.27,29,607.73,408.9001
150000,30,323.5252,-7090.05029296875,624.61,30,602.26,395.4763
155000,31,310.8358,-7328.50634765625,463.92,31,555.2,395.8168
160000,32,349.4381,-7668.69482421875,430.48,32,572.03,397.736
165000,33,318.3294,-7785.91162109375,525.47,33,637.25,397.2856
170000,34,312.8222,-7700.61865234375,463.32,34,643.25,397.2276
175000,35,355.7576,-8480.9501953125,555.31,35,611.27,403.17
180000,36,275.0367,-7450.9794921875,570.55,36,696.13,399.265
185000,37,262.6829,-7161.28857421875,614.28,37,799.54,392.7582
190000,38,292.5668,-8143.95703125,678.72,38,671.29,396.3007
195000,39,309.7834,-8378.7939453125,634.92,39,686.42,399.46
200000,40,336.8725,-9301.3291015625,576.34,40,643.09,396.3574
205000,41,295.3424,-8601.2158203125,743.45,41,647.43,399.4842
210000,42,297.167,-8606.763671875,633.53,42,751.85,391.4
215000,43,269.5259,-8637.8056640625,630.35,43,687.52,389.4041
220000,44,316.2338,-9354.544921875,565.49,44,800.44,379.3008
225000,45,286.7958,-9563.2646484375,634.39,45,736.11,389.4682
230000,46,279.6531,-9223.740234375,558.95,46,675.34,376.9534
235000,47,286.8217,-9429.779296875,725.2,47,684.78,392.5025
240000,48,261.4,-9422.75390625,689.39,48,757.66,381.6958
245000,49,292.875,-9959.9404296875,590.83,49,735.84,379.0073
250000,50,265.6618,-9107.5400390625,820.29,50,874.92,379.3415
255000,51,240.5395,-8849.3115234375,914.3,51,703.57,387.3228
260000,52,235.5894,-7837.763671875,875.66,52,847.45,387.5352
265000,53,268.9436,-9988.912109375,670.01,53,849.26,384.0783
270000,54,258.453,-9862.40625,743.57,54,853.81,375.8261
275000,55,256.2859,-9837.7880859375,750.55,55,873.22,382.8405
280000,56,255.382,-10246.3798828125,765.88,56,888.69,365.9483
285000,57,239.8117,-9736.6044921875,590.34,57,1029.14,378.3017
290000,58,236.2394,-9641.87890625,800.39,58,1119.04,370.2858
295000,59,275.9051,-10723.083984375,1047.97,59,937.56,380.6599
300000,60,267.4856,-10617.1669921875,1193.98,60,1001.39,355.2676
305000,61,248.2497,-10039.619140625,1046.01,61,1277.39,367.9417
310000,62,284.2687,-10735.6611328125,913.04,62,993.79,374.6364
