Reward Loss,Running Reverse KL,Real Sto Return,Running Update Time,Itration,Running Forward KL,Real Det Return,Running Env Steps
42.66856384277344,26.2713,-41.58,0,0,76.6856,219.7,0
27.2301025390625,26.7843,-52.68,1,1,76.8532,197.17,5000
18.33625602722168,26.7128,-32.92,2,2,75.2686,349.7,10000
7.232532024383545,27.1324,-20.71,3,3,73.8241,321.73,15000
-8.632648468017578,27.6219,5.7,4,4,74.307,450.07,20000
-19.097061157226562,29.5512,-6.95,5,5,72.4122,460.0,25000
-33.40762710571289,28.2826,28.92,6,6,71.8277,514.77,30000
-41.233375549316406,28.5786,46.45,7,7,73.2104,530.58,35000
-55.410892486572266,28.6909,74.53,8,8,71.4564,531.35,40000
-65.55885314941406,30.1443,78.26,9,9,72.66,572.58,45000
-83.9994125366211,29.1023,153.87,10,10,70.128,549.1,50000
-93.52668762207031,29.4222,148.99,11,11,71.0462,518.45,55000
-102.51777648925781,30.2402,89.89,12,12,72.7187,480.94,60000
-114.95181274414062,31.5112,104.71,13,13,74.8574,495.97,65000
-130.68421936035156,28.669,137.34,14,14,69.4565,695.63,70000
-141.5891571044922,29.8932,122.99,15,15,71.2919,487.22,75000
-152.99359130859375,29.6749,112.55,16,16,71.0956,793.13,80000
-165.4451904296875,29.426,157.14,17,17,68.8953,599.56,85000
-179.49497985839844,29.5866,161.79,18,18,69.5551,596.97,90000
-188.14608764648438,29.0286,128.54,19,19,70.2499,735.04,95000
-198.20730590820312,29.2418,245.49,20,20,67.3533,643.91,100000
-212.50953674316406,28.5722,177.01,21,21,67.7175,890.86,105000
-234.52366638183594,30.4082,209.07,22,22,71.6138,908.99,110000
-241.22341918945312,29.8309,199.97,23,23,71.6364,572.55,115000
-256.9237976074219,30.2096,221.19,24,24,71.784,825.55,120000
-264.8984680175781,29.5949,180.13,25,25,68.8337,741.73,125000
-271.433349609375,28.2747,259.26,26,26,68.0179,953.82,130000
-292.1656494140625,29.4352,194.55,27,27,71.0752,781.78,135000
-309.23114013671875,30.4552,240.12,28,28,71.3623,885.64,140000
-314.7347412109375,29.5759,188.3,29,29,69.8493,886.03,145000
-327.90753173828125,29.4853,269.19,30,30,69.145,956.11,150000
-330.3587341308594,28.1246,205.87,31,31,68.5034,853.63,155000
-351.798828125,30.1157,269.09,32,32,71.6927,861.54,160000
-367.6978454589844,29.6354,289.11,33,33,69.0945,1057.57,165000
-371.2193908691406,28.0337,277.91,34,34,67.1861,890.84,170000
-396.8079528808594,29.3161,233.36,35,35,69.7131,813.53,175000
-398.86749267578125,28.1669,294.46,36,36,67.2732,952.52,180000
-414.7832336425781,29.3911,288.68,37,37,69.3772,854.9,185000
-420.37200927734375,27.5369,295.08,38,38,66.507,1014.93,190000
-417.4645690917969,26.8619,456.65,39,39,62.9219,1464.3,195000
-457.1089172363281,28.3826,431.39,40,40,68.7913,1036.05,200000
-468.4205627441406,28.1078,505.64,41,41,67.9919,1341.51,205000
-466.92840576171875,27.7697,391.09,42,42,65.6122,1361.34,210000
-483.65704345703125,27.174,317.27,43,43,65.141,1140.78,215000
-497.84686279296875,29.0328,575.62,44,44,67.715,1132.7,220000
-505.2048034667969,26.947,400.32,45,45,66.442,1243.41,225000
-522.1849365234375,27.405,548.23,46,46,64.8995,1306.44,230000
-554.2360229492188,28.7177,468.74,47,47,68.4353,1329.92,235000
-501.55328369140625,26.0243,852.08,48,48,61.02,1746.91,240000
-558.1900024414062,27.8633,884.82,49,49,64.0388,1610.1,245000
-537.7227172851562,24.6724,529.7,50,50,61.9006,1151.98,250000
-551.42822265625,25.7924,555.86,51,51,61.7138,1819.0,255000
-530.8484497070312,25.6681,845.51,52,52,60.7041,1786.84,260000
-583.30517578125,24.769,517.74,53,53,62.8777,1053.24,265000
-631.0446166992188,27.4663,461.09,54,54,65.8037,1467.35,270000
-607.4454956054688,25.8289,605.73,55,55,63.2335,1658.08,275000
-637.1065063476562,25.7903,848.79,56,56,63.3679,1114.08,280000
-673.2410278320312,27.2972,858.84,57,57,65.3376,1718.84,285000
-646.6484985351562,25.1676,815.84,58,58,61.3574,1607.94,290000
-654.9666748046875,25.0595,599.03,59,59,62.6698,1696.2,295000
-675.4671630859375,26.4327,1044.02,60,60,63.038,1704.01,300000
-649.31591796875,23.8153,846.76,61,61,59.4175,1629.71,305000
-660.3130493164062,25.6445,755.79,62,62,61.2798,2381.18,310000
-753.2399291992188,25.7279,580.24,63,63,64.3614,1139.17,315000
-706.3156127929688,25.0606,925.51,64,64,62.4104,1297.39,320000
-665.8056030273438,25.6771,1149.6,65,65,60.0052,1845.67,325000
-696.171142578125,28.1281,1797.95,66,66,62.1718,2429.12,330000
-796.046142578125,25.54,645.7,67,67,63.3175,1291.88,335000
-645.0975952148438,31.4249,1455.87,68,68,60.7419,2633.31,340000
-773.5860595703125,27.1585,822.19,69,69,62.92,1309.05,345000
-726.7955322265625,29.7522,1667.39,70,70,62.3099,2803.44,350000
-772.7105102539062,24.4611,1133.04,71,71,61.2648,1828.52,355000
-743.0819091796875,29.0934,1118.95,72,72,61.6328,1447.25,360000
-807.7214965820312,27.0349,1654.47,73,73,61.614,2776.4,365000
-783.6737060546875,28.4849,1683.13,74,74,61.9521,2512.04,370000
