Reward Loss,Real Det Return,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Running Reverse KL,Itration
-461.7607727050781,418.37,0,0,438.08,49.7884,12.9516,0
-288.69903564453125,249.78,5000,1,308.52,49.2387,17.7326,1
-713.3269653320312,329.13,10000,2,356.24,49.8635,34.6866,2
-313.25506591796875,450.49,15000,3,405.63,49.5859,38.9801,3
-890.4132690429688,512.07,20000,4,466.5,49.4572,13.7215,4
-1296.065673828125,429.12,25000,5,410.1,48.8326,14.7394,5
-1275.7357177734375,393.33,30000,6,377.53,49.3289,14.0268,6
-1214.77783203125,680.15,35000,7,506.78,49.3617,13.4786,7
-960.1361694335938,751.91,40000,8,867.92,48.5734,24.2672,8
-1304.376953125,2138.74,45000,9,1572.69,47.0058,16.4554,9
-1141.419677734375,762.99,50000,10,820.04,47.633,31.6412,10
-1682.755859375,800.0,55000,11,878.67,46.7545,25.8984,11
-1715.008544921875,2178.6,60000,12,1361.18,46.7815,17.7837,12
-1373.079345703125,2179.38,65000,13,1889.0,46.9105,15.2108,13
-1539.6632080078125,2585.42,70000,14,1720.95,46.3343,15.776,14
-1258.236572265625,624.45,75000,15,1594.71,46.3378,16.5039,15
-1138.0189208984375,2931.38,80000,16,2320.14,46.2,15.6678,16
-1245.9837646484375,3317.56,85000,17,2677.81,45.9024,18.5758,17
-1314.6817626953125,2968.56,90000,18,2796.8,46.3755,17.0547,18
-1229.02490234375,3247.54,95000,19,2986.39,45.8903,17.7046,19
-1807.701416015625,1485.47,100000,20,1922.28,46.1709,15.4924,20
-1470.25048828125,3014.76,105000,21,2874.35,46.2607,17.4181,21
-1206.529296875,3264.85,110000,22,3156.7,45.7731,18.6872,22
-1356.0003662109375,3516.55,115000,23,3524.37,45.5405,19.0845,23
-1422.876708984375,3453.41,120000,24,3397.9,45.4338,18.5312,24
-1399.658447265625,3049.11,125000,25,3187.91,45.8413,18.4722,25
-1558.584716796875,3238.88,130000,26,3344.06,45.3416,18.4146,26
-1563.9771728515625,3457.02,135000,27,3382.54,45.2954,19.338,27
-1647.98779296875,3396.03,140000,28,3297.63,45.3692,18.7871,28
-1602.36279296875,3329.02,145000,29,3408.73,44.8171,18.4427,29
-1651.8292236328125,3403.89,150000,30,3381.64,45.0489,18.2344,30
-1768.155029296875,3275.11,155000,31,3347.1,44.8537,18.7971,31
-1813.0653076171875,3338.35,160000,32,3354.16,45.2718,18.0823,32
-1799.37255859375,3406.09,165000,33,3452.17,45.3725,19.0534,33
