Reward Loss,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Running Update Time,Running Reverse KL,Real Det Return
-293.0782470703125,-220.79,158.4932,0,0,0,11.4053,-18.12
-317.9776306152344,-101.13,158.3778,1,5000,1,11.5386,21.97
-329.8623046875,15.74,158.2835,2,10000,2,11.9162,446.09
-325.8633117675781,203.1,158.2521,3,15000,3,12.6952,742.34
-375.3447570800781,304.35,158.115,4,20000,4,12.7834,783.05
-383.2300109863281,466.47,158.0535,5,25000,5,13.4434,856.18
-444.6612854003906,609.53,157.8974,6,30000,6,13.5096,811.98
-489.10894775390625,565.31,157.8406,7,35000,7,13.8546,1042.63
-522.730224609375,735.31,157.6147,8,40000,8,14.4957,1058.44
-521.1837158203125,921.26,157.3977,9,45000,9,15.1388,1164.57
-549.3050537109375,1062.89,157.5337,10,50000,10,15.711,1527.03
-602.6192626953125,1183.95,157.5063,11,55000,11,15.9837,1617.44
-632.2709350585938,1160.43,157.5099,12,60000,12,16.153,1671.68
-657.1697998046875,1244.82,157.4971,13,65000,13,16.2682,1661.27
-692.196533203125,1299.65,157.428,14,70000,14,16.3325,1701.7
-716.1798706054688,1312.09,157.4932,15,75000,15,16.1289,1729.32
-751.6683349609375,1323.82,157.5192,16,80000,16,16.3282,1725.74
-777.5166625976562,1345.47,157.4167,17,85000,17,16.0372,1813.44
-813.440185546875,1375.13,157.5315,18,90000,18,15.9685,1800.02
-862.9078979492188,1400.85,157.5346,19,95000,19,16.3566,1857.37
-879.768310546875,1409.46,157.374,20,100000,20,15.7065,1848.51
-898.3850708007812,1455.56,157.3564,21,105000,21,15.8197,1842.84
-945.2951049804688,1492.83,157.5998,22,110000,22,16.0438,1854.62
-953.7947387695312,1466.38,157.6228,23,115000,23,16.2915,1832.51
-999.0706176757812,1533.43,157.4733,24,120000,24,15.7887,1906.73
-1039.9442138671875,1566.74,157.2645,25,125000,25,16.0016,1946.32
-1071.0582275390625,1533.22,157.5058,26,130000,26,15.6945,1893.48
-1107.4783935546875,1540.81,157.5557,27,135000,27,16.1213,1904.51
-1134.9405517578125,1590.1,157.4726,28,140000,28,15.9133,1947.07
-1168.6546630859375,1595.51,157.3309,29,145000,29,15.9828,1942.13
-1201.473388671875,1596.95,157.3441,30,150000,30,16.1648,1987.45
-1207.5220947265625,1572.25,157.2885,31,155000,31,15.9274,1992.84
-1240.2259521484375,1629.38,157.2563,32,160000,32,15.9689,2011.01
-1294.508056640625,1643.26,157.1334,33,165000,33,15.9385,1996.08
-1312.390625,1649.27,157.144,34,170000,34,15.737,2026.99
-1359.57373046875,1645.52,157.6284,35,175000,35,16.1558,1999.31
-1383.042236328125,1651.42,157.098,36,180000,36,15.7717,2021.3
-1417.6678466796875,1640.12,157.3304,37,185000,37,15.865,1998.39
-1445.6927490234375,1658.25,157.2469,38,190000,38,15.5585,2012.1
-1486.7706298828125,1642.55,157.1535,39,195000,39,15.5685,1987.08
-1502.0115966796875,1676.22,156.9649,40,200000,40,15.3786,2064.18
-1536.677001953125,1631.02,157.1449,41,205000,41,15.7258,2053.58
-1582.2291259765625,1697.62,157.1723,42,210000,42,15.7929,2049.95
-1609.403076171875,1689.6,156.9966,43,215000,43,15.8068,2038.35
-1635.210205078125,1707.09,156.938,44,220000,44,15.5795,2097.15
-1668.6849365234375,1688.54,157.0865,45,225000,45,15.7028,2107.69
-1692.6226806640625,1700.94,157.0537,46,230000,46,15.5964,2048.15
-1728.8846435546875,1714.06,157.0795,47,235000,47,15.634,2069.38
-1754.8763427734375,1729.88,157.027,48,240000,48,15.883,2093.74
-1801.8382568359375,1701.86,157.112,49,245000,49,15.8367,2089.74
-1841.7667236328125,1736.61,157.2655,50,250000,50,16.0727,2117.95
-1873.334228515625,1714.9,157.0899,51,255000,51,15.6165,2087.87
-1888.6851806640625,1754.65,157.0614,52,260000,52,15.9591,2107.27
-1932.5853271484375,1752.69,156.9936,53,265000,53,15.9913,2121.82
-1980.1456298828125,1737.52,157.0499,54,270000,54,16.1046,2119.3
-2006.7679443359375,1730.43,157.046,55,275000,55,15.6448,2081.73
-2051.1689453125,1762.16,156.9715,56,280000,56,16.0079,2077.26
-2085.1328125,1749.85,157.0683,57,285000,57,15.6754,2088.86
-2109.96875,1744.89,156.8631,58,290000,58,15.5287,2133.17
-2154.19677734375,1725.91,157.0144,59,295000,59,15.459,2047.04
-2178.663818359375,1724.94,156.9178,60,300000,60,15.4325,2097.21
-2203.74365234375,1750.18,156.8146,61,305000,61,15.5732,2146.66
-2251.3251953125,1761.93,156.8748,62,310000,62,15.3022,2140.65
-2280.67724609375,1786.98,156.8976,63,315000,63,15.3278,2164.33
-2323.888671875,1743.38,156.7427,64,320000,64,15.4677,2099.36
-2356.948974609375,1764.17,156.887,65,325000,65,15.5769,2075.78
-2396.653564453125,1767.27,156.8648,66,330000,66,15.5825,2124.24
-2426.704345703125,1789.43,156.8578,67,335000,67,15.4514,2170.55
-2475.257568359375,1754.45,156.8841,68,340000,68,15.3359,2121.42
-2512.507080078125,1770.36,156.7913,69,345000,69,15.6628,2121.82
-2553.869384765625,1762.75,157.0065,70,350000,70,15.6787,2089.64
-2566.91162109375,1784.97,156.8281,71,355000,71,15.4661,2097.61
-2626.74462890625,1793.17,157.0549,72,360000,72,15.4288,2104.14
-2648.053466796875,1751.75,156.6439,73,365000,73,15.0149,2051.02
-2682.462158203125,1771.49,156.8396,74,370000,74,15.4622,2113.44
-2733.59228515625,1772.69,157.0033,75,375000,75,15.6058,2159.2
-2778.515869140625,1825.57,156.8523,76,380000,76,15.5638,2172.8
-2797.763427734375,1782.75,156.8645,77,385000,77,15.5264,2099.21
-2842.892578125,1804.92,156.865,78,390000,78,15.4584,2144.49
-2868.582275390625,1807.33,156.6824,79,395000,79,15.2897,2149.99
-2911.806640625,1790.86,156.968,80,400000,80,15.2894,2138.89
-2981.451904296875,1785.03,156.9775,81,405000,81,15.4765,2129.82
-2989.1923828125,1814.56,156.9928,82,410000,82,15.5382,2153.48
-3033.01611328125,1790.32,156.858,83,415000,83,15.5804,2125.3
-3077.213623046875,1836.56,156.7905,84,420000,84,15.7936,2205.85
-3120.3857421875,1826.01,156.7672,85,425000,85,15.5004,2164.43
-3152.5029296875,1841.52,156.8811,86,430000,86,15.7042,2202.58
-3227.632080078125,1827.32,156.9469,87,435000,87,15.6977,2166.53
-3231.55517578125,1849.67,156.6613,88,440000,88,15.618,2210.83
-3276.337158203125,1824.16,156.7502,89,445000,89,15.2919,2136.52
-3315.64013671875,1832.96,156.7405,90,450000,90,15.4884,2207.59
-3381.534912109375,1783.99,156.7777,91,455000,91,15.4259,2160.5
-3404.46923828125,1842.1,156.6943,92,460000,92,15.5241,2218.72
-3441.47607421875,1798.07,156.8862,93,465000,93,15.4271,2176.88
-3481.02001953125,1794.22,156.6971,94,470000,94,15.4727,2133.37
-3531.162841796875,1806.89,156.6981,95,475000,95,15.2298,2149.3
-3584.318115234375,1788.0,156.8186,96,480000,96,15.3215,2078.61
-3631.20263671875,1791.64,156.7307,97,485000,97,15.5568,2110.83
-3668.11376953125,1810.1,156.8225,98,490000,98,15.6953,2167.34
-3709.171875,1802.58,156.8282,99,495000,99,15.8257,2142.98
-3747.106201171875,1784.18,156.8756,100,500000,100,15.3659,2094.17
-3775.70556640625,1758.64,156.7407,101,505000,101,15.6574,2153.04
-3833.652587890625,1755.05,156.7047,102,510000,102,15.2583,2077.81
-3894.077880859375,1773.53,156.8658,103,515000,103,15.3545,2147.32
-3912.51513671875,1800.14,156.6666,104,520000,104,15.4827,2156.87
-3995.413330078125,1777.49,156.7816,105,525000,105,15.4904,2124.48
-4032.38671875,1783.79,156.909,106,530000,106,15.3522,2168.7
-4042.27978515625,1775.66,156.6808,107,535000,107,15.5445,2146.61
-4128.69580078125,1719.98,156.8388,108,540000,108,15.8198,1988.32
-4146.37744140625,1706.34,156.7876,109,545000,109,15.9353,1964.84
-4224.84521484375,1637.98,156.9565,110,550000,110,16.2429,1902.78
-4303.58544921875,1365.33,157.0397,111,555000,111,15.6844,1678.0
-4754.07177734375,-69.04,159.0709,112,560000,112,17.0944,-122.18
-4478.544921875,844.58,157.1263,113,565000,113,15.3585,789.17
-4712.3837890625,-105.71,160.2259,114,570000,114,19.768,-100.38
-4651.89794921875,63.07,159.5414,115,575000,115,18.2585,161.9
-4774.447265625,-184.55,159.8273,116,580000,116,17.9126,-421.49
-4865.14013671875,-151.88,159.3702,117,585000,117,15.8593,-101.91
-4760.87060546875,41.78,156.9868,118,590000,118,14.401,-151.08
-4930.13330078125,-210.76,159.2627,119,595000,119,16.7162,-163.76
-4618.6220703125,857.23,156.5054,120,600000,120,13.9906,844.58
-4756.078125,227.1,157.4283,121,605000,121,12.6465,30.38
-4910.486328125,282.89,157.0554,122,610000,122,12.2096,-58.88
-4825.25830078125,1.73,158.606,123,615000,123,14.0584,-145.69
-4916.00146484375,1200.01,156.7308,124,620000,124,15.1466,727.68
-5096.19140625,226.32,158.7402,125,625000,125,14.2529,464.58
-5234.7431640625,151.47,158.7961,126,630000,126,15.7431,298.6
-5117.60009765625,402.85,157.2928,127,635000,127,13.3913,16.17
-5380.7353515625,97.92,158.9689,128,640000,128,13.7108,158.47
-5193.3623046875,1240.94,156.8947,129,645000,129,15.3918,1500.65
-5266.74609375,454.26,157.4162,130,650000,130,15.009,-132.04
-5397.4375,-28.05,158.5927,131,655000,131,12.9922,245.34
-5382.0732421875,1380.31,156.8739,132,660000,132,15.3023,1804.77
-5069.33642578125,435.39,158.4886,133,665000,133,19.2517,518.58
-5478.13818359375,80.99,158.4266,134,670000,134,21.3859,-166.29
-5566.66943359375,1039.14,157.0815,135,675000,135,14.1414,1472.87
-5636.8017578125,1242.36,157.1182,136,680000,136,15.6845,1562.14
-5731.21435546875,1056.45,157.0274,137,685000,137,16.7377,1338.17
-5769.8154296875,1101.86,156.7836,138,690000,138,17.4241,1600.19
-5642.45556640625,1224.13,156.7039,139,695000,139,15.8437,1368.91
-5918.6142578125,1266.43,157.3726,140,700000,140,17.6121,996.95
-5954.91259765625,1205.2,157.2055,141,705000,141,15.9541,1766.69
-6078.44384765625,377.3,157.1814,142,710000,142,14.2499,-126.81
-6120.14697265625,416.72,158.7073,143,715000,143,15.1259,-104.15
-5986.59716796875,1438.71,156.9399,144,720000,144,15.8719,1792.33
-6406.23388671875,580.42,157.8359,145,725000,145,17.1446,957.62
-6313.4267578125,51.51,158.4049,146,730000,146,15.0826,304.67
-6554.77099609375,47.86,158.1749,147,735000,147,17.6819,-108.4
-6462.36083984375,292.58,159.0748,148,740000,148,15.9445,41.79
-6687.93994140625,108.22,159.0801,149,745000,149,15.6696,-116.8
-6454.75,710.24,157.4831,150,750000,150,13.0301,135.17
-6414.68505859375,1016.01,157.0624,151,755000,151,13.1224,965.79
-6474.580078125,1120.03,157.2056,152,760000,152,12.7203,1308.06
-6471.50537109375,1159.6,157.6365,153,765000,153,13.023,1422.89
-6528.37353515625,1409.46,156.7471,154,770000,154,14.6302,1801.55
-6594.27197265625,1409.55,156.9118,155,775000,155,14.6677,1766.42
-6599.58251953125,1405.99,156.7692,156,780000,156,13.8888,1604.12
-6992.7041015625,1022.58,157.0613,157,785000,157,19.2582,1327.66
-7067.68359375,-221.59,159.5705,158,790000,158,16.2019,-431.18
-6726.84033203125,-23.01,158.6114,159,795000,159,12.8981,91.58
-6950.10986328125,778.59,157.3787,160,800000,160,13.1426,808.64
-6853.0732421875,1203.25,157.991,161,805000,161,14.4906,1389.72
-6972.05517578125,1267.56,157.6918,162,810000,162,14.2277,1487.26
-6619.12841796875,117.53,157.0049,163,815000,163,14.3672,-329.74
-7678.86962890625,-354.55,159.8871,164,820000,164,23.9685,-394.82
-6826.6171875,789.94,157.1714,165,825000,165,13.5798,1094.82
-7108.3251953125,1414.4,157.2206,166,830000,166,14.6449,1800.54
