Running Reverse KL,Itration,Real Sto Return,Real Det Return,Running Forward KL
26.7918,0,-42.45,305.89,75.4193
26.7084,1,-5.87,539.4,74.0436
27.6698,2,2.91,501.01,73.834
27.873,3,27.23,758.34,71.7551
29.5568,4,45.05,734.17,71.1997
29.2942,5,126.4,566.13,71.3434
31.0703,6,109.19,887.04,72.2259
30.3193,7,178.8,810.24,68.5099
31.9348,8,164.07,518.32,70.3895
32.1447,9,184.94,742.15,71.221
32.4351,10,205.76,759.91,70.3087
31.4993,11,203.22,978.21,69.7783
30.9495,12,235.71,879.05,69.5868
31.2507,13,198.84,432.13,70.8322
