Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Itration,Running Forward KL
11.431,62.469661712646484,-168.68,0,0,8.3,0,158.3315
11.366,15.980899810791016,-105.76,1,5000,11.59,1,158.2923
11.7852,20.41119384765625,37.29,2,10000,721.7,2,158.2201
12.0244,36.31508255004883,169.0,3,15000,651.04,3,158.0446
12.6586,47.99604415893555,399.73,4,20000,868.11,4,157.8546
12.6011,-10.909736633300781,508.16,5,25000,981.04,5,157.7103
13.1952,-43.92182922363281,603.13,6,30000,928.07,6,157.4972
14.0721,-71.31671905517578,730.1,7,35000,1225.83,7,157.9465
15.1532,-79.85353088378906,887.0,8,40000,807.47,8,158.1267
15.4267,-94.50721740722656,946.16,9,45000,1357.64,9,158.122
15.884,-131.75929260253906,1065.27,10,50000,1431.43,10,157.8898
16.4089,-163.00582885742188,1122.74,11,55000,1515.19,11,158.0123
16.1374,-227.1645050048828,1118.64,12,60000,1534.22,12,158.0059
16.752,-251.04803466796875,1197.45,13,65000,1572.94,13,158.1845
16.439,-275.5291442871094,1261.32,14,70000,1643.63,14,158.0442
16.534,-338.0270690917969,1185.47,15,75000,1285.49,15,158.278
16.7171,-353.8255615234375,1320.8,16,80000,1742.0,16,157.8413
16.407,-379.2763977050781,1364.23,17,85000,1690.79,17,158.0521
16.8788,-403.0731201171875,1421.16,18,90000,1649.6,18,157.866
16.7115,-465.4447937011719,1431.93,19,95000,1830.96,19,157.8394
16.5265,-493.5906677246094,1470.8,20,100000,1885.83,20,157.8621
16.8906,-528.1403198242188,1473.31,21,105000,1369.99,21,157.9887
16.4614,-583.8759765625,1505.86,22,110000,1891.76,22,157.8369
16.8483,-630.1641845703125,1548.25,23,115000,1919.54,23,157.9331
16.9534,-678.480712890625,1567.68,24,120000,1936.15,24,157.8327
16.9873,-672.5953979492188,1580.14,25,125000,1996.59,25,157.7187
17.0951,-734.3381958007812,1597.55,26,130000,1973.91,26,157.8601
16.8646,-780.1503295898438,1592.74,27,135000,1993.63,27,157.5704
16.9097,-809.380615234375,1684.52,28,140000,2004.22,28,157.6537
17.0138,-858.1068725585938,1640.92,29,145000,2016.45,29,157.7709
16.6074,-904.2637939453125,1618.3,30,150000,1948.14,30,157.7066
16.8414,-929.8087158203125,1649.86,31,155000,1995.53,31,157.6417
17.0149,-965.048095703125,1664.73,32,160000,2043.8,32,157.7901
16.7002,-1011.3775634765625,1658.7,33,165000,2054.19,33,157.4313
16.4492,-1056.426513671875,1533.82,34,170000,1977.49,34,157.5382
16.4277,-1095.067626953125,1677.43,35,175000,1997.71,35,157.542
16.279,-1125.44384765625,1657.39,36,180000,1996.77,36,157.5485
16.3403,-1157.14599609375,1676.44,37,185000,2037.29,37,157.3455
16.1394,-1219.759033203125,1644.48,38,190000,1995.69,38,157.4684
16.9462,-1235.436767578125,1711.24,39,195000,2075.48,39,157.5739
15.9216,-1289.2220458984375,1633.63,40,200000,1968.56,40,157.4933
16.4417,-1316.099853515625,1707.68,41,205000,2083.99,41,157.3245
16.4727,-1345.4556884765625,1726.06,42,210000,2076.18,42,157.393
16.1249,-1402.210205078125,1702.58,43,215000,2071.49,43,157.2972
15.9021,-1439.5816650390625,1718.34,44,220000,2027.47,44,157.3092
16.2863,-1471.7825927734375,1717.49,45,225000,2045.23,45,157.2705
16.5794,-1500.001953125,1736.51,46,230000,2084.46,46,157.3518
16.0959,-1535.7821044921875,1696.4,47,235000,2074.88,47,157.3611
16.3684,-1557.348388671875,1744.44,48,240000,2125.95,48,157.1373
16.1909,-1629.5396728515625,1707.97,49,245000,2081.42,49,157.2909
16.19,-1647.5106201171875,1745.5,50,250000,2092.8,50,157.0935
16.5775,-1687.32666015625,1722.76,51,255000,2061.1,51,157.1755
15.8384,-1732.046630859375,1721.14,52,260000,2071.6,52,157.0067
16.0762,-1772.3963623046875,1716.62,53,265000,1982.17,53,157.21
16.2439,-1802.67919921875,1733.83,54,270000,2071.24,54,157.1916
16.0144,-1823.49853515625,1749.82,55,275000,2085.82,55,157.0323
16.3042,-1875.1656494140625,1762.01,56,280000,2095.88,56,157.2586
16.0955,-1930.3114013671875,1740.41,57,285000,2094.85,57,157.3609
16.017,-1957.408447265625,1764.79,58,290000,2101.39,58,157.2494
16.317,-2006.3104248046875,1782.4,59,295000,2130.53,59,157.1814
15.7066,-2042.7198486328125,1757.53,60,300000,2086.63,60,157.1733
15.8418,-2071.315185546875,1738.79,61,305000,2102.57,61,156.9939
