Real Sto Return,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time
462.34,0,-308.5023498535156,0,452.23,12.939,49.2076,0
360.68,1,-84.02183532714844,5000,379.48,16.2829,48.6504,1
415.63,2,-384.9796142578125,10000,454.38,28.795,49.49,2
465.05,3,-547.5738525390625,15000,453.76,24.4514,49.0613,3
575.82,4,-622.5320434570312,20000,877.02,17.2343,47.9033,4
602.52,5,-686.347900390625,25000,660.58,16.913,48.3188,5
584.04,6,-929.283447265625,30000,618.37,13.0729,47.3303,6
695.41,7,-770.7698974609375,35000,721.41,15.3651,47.3933,7
669.99,8,-1057.45166015625,40000,633.45,12.511,47.1629,8
754.46,9,-1111.8690185546875,45000,794.44,13.3801,47.1005,9
1162.6,10,-1041.947509765625,50000,2003.55,13.2531,46.589,10
1005.05,11,-1139.1021728515625,55000,1015.36,12.9789,46.8492,11
870.08,12,-1398.8084716796875,60000,747.58,14.6006,46.8573,12
903.84,13,-1698.443603515625,65000,896.81,14.9099,47.0546,13
836.04,14,-1926.963134765625,70000,779.03,15.2208,46.6037,14
830.41,15,-2124.58740234375,75000,1150.31,14.5384,47.0767,15
1302.95,16,-1465.66357421875,80000,1463.36,13.4306,46.5729,16
1090.21,17,-1307.4967041015625,85000,1024.44,14.9963,46.0969,17
1769.37,18,-762.7155151367188,90000,334.0,17.2235,46.5445,18
1114.89,19,-2130.35205078125,95000,1356.46,13.6134,46.5913,19
1046.6,20,-2067.443603515625,100000,1151.31,13.8722,46.8824,20
1060.36,21,-2081.465576171875,105000,1331.6,13.6192,46.7718,21
1490.13,22,-1680.6627197265625,110000,1689.84,15.6007,46.396,22
1134.98,23,-1835.8621826171875,115000,1356.22,19.7688,46.7083,23
1422.51,24,-1608.871337890625,120000,2076.31,18.7921,46.4326,24
1070.73,25,-1763.4093017578125,125000,1319.47,23.49,46.3174,25
1318.64,26,-1793.427978515625,130000,1754.88,21.4554,46.3828,26
