Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Itration,Running Forward KL,Running Update Time,Real Det Return
-66.61,12.875720977783203,0,26.5633,0,74.8284,0,184.61
-117.21,-0.261649489402771,5000,25.2724,1,74.6437,1,255.17
-32.08,-12.812555313110352,10000,25.4653,2,73.8284,2,339.41
-17.55,-18.58226203918457,15000,27.8554,3,74.2283,3,547.04
-47.47,-25.779455184936523,20000,28.0695,4,74.3449,4,566.7
20.02,-37.72930145263672,25000,28.4204,5,73.3067,5,565.2
50.24,-55.031532287597656,30000,28.0724,6,72.2295,6,681.57
64.08,-60.56822967529297,35000,28.5426,7,71.7195,7,674.66
106.53,-70.98774719238281,40000,29.0851,8,72.8283,8,776.68
88.72,-85.35441589355469,45000,30.243,9,73.5061,9,653.37
157.51,-94.0978012084961,50000,30.2521,10,72.465,10,907.72
129.91,-100.3905029296875,55000,30.5746,11,71.8529,11,850.41
194.8,-121.91095733642578,60000,31.1345,12,74.0826,12,763.5
143.07,-123.58531188964844,65000,31.1806,13,72.8596,13,718.34
262.54,-140.31813049316406,70000,31.2927,14,72.0728,14,718.93
164.91,-155.4024658203125,75000,30.3342,15,72.8432,15,913.09
178.2,-165.1806640625,80000,30.0959,16,70.8081,16,919.31
179.36,-178.1573028564453,85000,30.7522,17,73.4171,17,722.55
187.11,-184.62631225585938,90000,30.1572,18,70.5953,18,894.8
206.07,-199.59005737304688,95000,29.9,19,69.9961,19,774.9
195.63,-208.54342651367188,100000,29.97,20,71.0669,20,790.62
232.91,-221.3675994873047,105000,30.3578,21,71.6699,21,731.02
277.03,-223.2444305419922,110000,29.5187,22,66.5827,22,1109.42
262.09,-245.21583557128906,115000,29.9919,23,72.26,23,1043.23
264.58,-258.6162109375,120000,29.7743,24,69.7783,24,1261.5
256.42,-271.2262268066406,125000,29.8742,25,70.0808,25,1110.47
235.39,-290.609375,130000,29.7721,26,69.8936,26,723.43
213.44,-296.0731506347656,135000,29.9791,27,70.6391,27,980.71
369.67,-305.15435791015625,140000,28.8089,28,66.881,28,1365.39
338.27,-321.9468994140625,145000,29.5426,29,67.6649,29,1579.63
232.62,-337.15509033203125,150000,29.566,30,69.8039,30,739.76
413.51,-343.0215759277344,155000,29.945,31,68.0832,31,1650.85
454.9,-352.6891174316406,160000,29.3755,32,67.4145,32,1531.16
398.14,-357.5418395996094,165000,28.8823,33,68.0154,33,1208.38
437.64,-372.7627868652344,170000,29.7435,34,68.9272,34,1522.57
346.23,-388.7361145019531,175000,29.2627,35,66.3384,35,1081.9
380.83,-375.462890625,180000,26.5443,36,63.2523,36,1388.16
541.22,-388.61346435546875,185000,26.5453,37,63.2952,37,1050.72
278.21,-425.3684997558594,190000,28.6024,38,67.1636,38,980.81
566.57,-420.822998046875,195000,28.4263,39,65.8193,39,1536.12
570.72,-454.2193603515625,200000,28.7752,40,67.729,40,1588.2
400.72,-452.67938232421875,205000,27.1506,41,63.9976,41,1406.13
738.18,-432.5191955566406,210000,26.393,42,62.468,42,1760.5
703.4,-465.0052795410156,215000,26.4219,43,64.5319,43,1438.97
746.37,-462.0249938964844,220000,26.8788,44,61.8538,44,1558.25
1026.59,-484.7275390625,225000,27.7891,45,65.3021,45,2123.46
818.38,-515.5625610351562,230000,27.8261,46,66.4428,46,1326.32
702.28,-490.5359191894531,235000,26.5741,47,62.5214,47,1694.36
