Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Running Forward KL,Itration,Reward Loss
0,21.0036,200.25,204.65,0,33.5908,0,-199.13922119140625
5000,18.9498,273.35,274.85,1,30.2828,1,-151.92343139648438
10000,18.2252,271.9,272.72,2,29.7487,2,-256.8957824707031
15000,26.6968,318.62,286.02,3,31.0852,3,-256.52703857421875
20000,26.4797,427.06,413.75,4,30.2439,4,-212.4332275390625
25000,25.5245,457.75,555.57,5,27.1362,5,-136.5491180419922
30000,26.0077,279.85,224.64,6,30.8662,6,-364.842041015625
35000,22.5162,463.68,460.26,7,26.4394,7,-354.4132385253906
40000,36.0197,699.38,667.46,8,25.3066,8,-458.9150390625
45000,28.1167,599.01,658.08,9,25.6496,9,-472.1404724121094
50000,27.0931,635.9,713.76,10,25.6424,10,-482.30096435546875
55000,24.3982,835.68,733.55,11,25.2704,11,-537.9002685546875
60000,20.1949,875.1,853.98,12,24.1253,12,-501.8891906738281
65000,28.4794,942.81,924.86,13,24.5437,13,-625.620361328125
70000,45.9564,1100.33,1055.32,14,22.3353,14,-764.12060546875
75000,18.2253,1316.83,1759.28,15,22.1037,15,-439.63031005859375
80000,36.9455,1010.9,976.09,16,24.5048,16,-1137.724365234375
85000,22.4505,802.6,918.45,17,25.2669,17,-821.3111572265625
90000,33.0046,1000.02,1407.98,18,21.2138,18,-794.6463623046875
95000,25.997,805.34,999.28,19,22.7774,19,-851.2408447265625
100000,28.2296,1769.78,1244.47,20,23.3301,20,-828.8057861328125
105000,38.5977,890.31,1479.8,21,22.9916,21,-943.27392578125
110000,18.9197,2636.69,1995.56,22,21.3275,22,-703.7640991210938
115000,31.6426,2305.5,1456.73,23,22.429,23,-866.1505737304688
120000,41.21,1010.86,1408.91,24,24.0794,24,-1207.24951171875
125000,27.6928,1825.46,1853.86,25,21.7618,25,-811.684326171875
130000,54.7915,1925.23,1353.41,26,22.6264,26,-1184.568115234375
135000,30.5645,2463.31,1961.83,27,21.8241,27,-890.3922729492188
140000,55.1714,2367.16,1467.24,28,22.8264,28,-1147.99658203125
145000,44.6297,1663.79,1689.19,29,22.7074,29,-1326.9627685546875
150000,19.9312,2086.49,1962.99,30,21.8658,30,-649.7355346679688
155000,17.1371,3004.6,2675.71,31,21.3094,31,-677.1045532226562
160000,36.4424,2618.53,2467.38,32,20.7881,32,-967.0648803710938
165000,17.1006,2879.38,2625.66,33,20.6875,33,-635.956298828125
170000,33.3635,2530.97,1663.23,34,21.869,34,-1100.028564453125
175000,82.2747,2144.08,1400.32,35,23.1583,35,-1899.3194580078125
180000,37.3027,3149.6,2780.43,36,20.7358,36,-1025.9405517578125
185000,63.8894,1005.36,1047.9,37,23.7727,37,-2057.63330078125
190000,41.8141,1023.1,1472.21,38,22.6066,38,-1449.552978515625
195000,40.803,1013.79,1196.93,39,21.8475,39,-1480.379638671875
200000,12.5693,3160.51,2837.55,40,21.0568,40,-682.3932495117188
205000,22.5425,3164.19,2089.57,41,22.5109,41,-871.1875
210000,11.6536,3136.42,2699.73,42,21.7959,42,-648.1221313476562
215000,13.1413,3191.5,3122.33,43,21.7567,43,-603.7327270507812
220000,14.2012,3232.19,3246.56,44,21.8315,44,-569.07373046875
225000,18.6022,2521.1,2726.2,45,21.0852,45,-844.04833984375
230000,11.5225,3250.8,3275.24,46,18.9803,46,-490.66351318359375
235000,11.6853,3189.43,3171.67,47,20.1698,47,-516.384033203125
240000,71.8185,898.86,827.94,48,23.3314,48,-2396.806884765625
245000,36.665,1533.25,933.18,49,23.4835,49,-2017.9619140625
250000,77.1801,1095.19,1232.59,50,22.3192,50,-2496.874267578125
255000,12.2524,3158.69,2930.7,51,20.5109,51,-608.6815795898438
260000,11.5597,3174.01,3180.28,52,20.0476,52,-630.2250366210938
265000,11.3892,3209.42,3146.95,53,19.7058,53,-565.4620361328125
270000,12.1975,3341.57,3348.03,54,19.5869,54,-356.2342529296875
275000,12.5001,3099.88,3108.38,55,20.6874,55,-652.4380493164062
