Real Sto Return,Reward Loss,Running Env Steps,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Forward KL
-81.42,34.04434585571289,0,0,0,300.79,25.1109,75.1635
-88.16,32.62494659423828,5000,1,1,476.11,26.1902,75.027
0.05,20.350330352783203,10000,2,2,544.58,26.7443,74.4667
32.67,10.259557723999023,15000,3,3,646.74,26.1706,71.9872
57.05,2.094132900238037,20000,4,4,709.31,26.525,71.2675
96.95,-9.858221054077148,25000,5,5,923.9,27.4971,70.8351
95.45,-25.692066192626953,30000,6,6,520.92,27.8177,71.6083
109.48,-29.20566177368164,35000,7,7,705.78,27.8999,69.8317
142.45,-45.39433670043945,40000,8,8,637.04,29.4644,70.0347
309.37,-52.480323791503906,45000,9,9,1130.43,29.5265,67.9942
141.06,-68.76961517333984,50000,10,10,847.01,29.0516,69.099
165.48,-77.35861206054688,55000,11,11,1044.51,28.7239,67.9418
250.87,-84.75918579101562,60000,12,12,1209.71,28.2897,67.1144
258.59,-88.33598327636719,65000,13,13,1132.43,25.9824,62.5057
329.66,-106.0318832397461,70000,14,14,1130.16,27.1796,62.8866
465.13,-107.81758880615234,75000,15,15,1437.17,26.3354,60.6684
438.6,-122.62603759765625,80000,16,16,753.15,25.6481,60.623
379.12,-134.7561492919922,85000,17,17,629.2,25.4843,60.9654
351.48,-154.04364013671875,90000,18,18,863.07,27.2512,63.1496
801.39,-161.01092529296875,95000,19,19,721.87,26.7666,61.8221
589.02,-154.88470458984375,100000,20,20,1217.62,24.3495,56.748
986.02,-167.28282165527344,105000,21,21,1314.6,25.6036,59.4447
918.49,-186.79058837890625,110000,22,22,804.63,26.6463,62.0908
1208.19,-185.17532348632812,115000,23,23,2371.92,25.4291,58.7488
554.98,-194.12391662597656,120000,24,24,868.84,24.8527,59.6278
966.03,-196.95826721191406,125000,25,25,2056.36,26.2794,57.8327
1198.67,-216.2901153564453,130000,26,26,2386.56,26.8353,60.3146
1831.55,-219.56590270996094,135000,27,27,2683.95,27.1642,58.9123
1713.96,-209.55870056152344,140000,28,28,2615.95,30.5184,58.396
1003.08,-221.15151977539062,145000,29,29,1996.62,27.0217,56.4004
526.17,-268.495361328125,150000,30,30,1358.38,25.5173,60.4551
823.07,-289.5049743652344,155000,31,31,1608.33,26.528,63.122
1476.63,-298.03460693359375,160000,32,32,1618.06,26.1851,63.5186
1646.54,-261.3323974609375,165000,33,33,1886.01,27.7069,59.0962
1204.07,-287.9992980957031,170000,34,34,2066.04,26.4533,59.1774
1428.13,-288.7394104003906,175000,35,35,2299.76,28.1908,59.5923
1002.53,-320.8521728515625,180000,36,36,1692.27,25.863,60.0338
1199.49,-310.6351013183594,185000,37,37,1696.15,27.1529,58.9928
1839.72,-309.01275634765625,190000,38,38,2299.82,28.7298,58.5048
1572.89,-313.6225280761719,195000,39,39,1994.71,29.8568,59.5461
2076.27,-315.6882019042969,200000,40,40,3155.92,32.4464,60.1488
2088.86,-364.5159912109375,205000,41,41,2335.94,28.0821,61.4507
2183.4,-334.49005126953125,210000,42,42,2793.22,34.194,58.9055
1635.31,-369.8101806640625,215000,43,43,2729.27,30.1915,63.3034
1380.44,-415.6802673339844,220000,44,44,1501.38,27.4217,63.1748
1391.76,-374.4598083496094,225000,45,45,2161.65,29.337,60.1933
2832.28,-381.53265380859375,230000,46,46,2724.39,30.6172,59.4102
2010.84,-388.998779296875,235000,47,47,2317.37,31.8109,61.1711
2654.29,-382.3810729980469,240000,48,48,3067.45,34.0554,61.0552
1346.53,-405.0831298828125,245000,49,49,2110.39,32.2624,60.5466
2556.73,-368.5941162109375,250000,50,50,2632.53,39.9515,62.5885
2566.42,-417.88555908203125,255000,51,51,3637.61,35.7887,61.0375
3144.19,-412.562255859375,260000,52,52,3670.45,37.6039,60.4342
2233.14,-423.4073791503906,265000,53,53,2184.78,32.956,61.262
3000.43,-474.7826843261719,270000,54,54,2600.25,28.4971,60.631
2304.44,-444.23699951171875,275000,55,55,3031.39,33.6254,61.1546
2304.98,-433.3603210449219,280000,56,56,1921.71,40.4078,62.2424
2229.78,-455.95977783203125,285000,57,57,2688.48,34.7332,59.3759
2313.25,-480.84820556640625,290000,58,58,3908.19,34.8373,61.0157
2681.15,-469.46417236328125,295000,59,59,3324.75,38.7649,61.2007
