Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Env Steps
30.7949,352.515380859375,0,275.72,268.47,0,20.2926,0
30.338,299.2479553222656,1,352.42,329.91,1,22.3815,5000
29.4378,154.54966735839844,2,394.75,382.75,2,31.7461,10000
28.9917,98.178955078125,3,360.16,354.31,3,37.2101,15000
29.9947,43.180335998535156,4,376.08,384.61,4,40.8709,20000
25.1294,-20.674938201904297,5,2950.01,2328.91,5,17.9463,25000
26.5404,-41.992774963378906,6,700.43,815.89,6,39.6151,30000
24.9023,-26.59259796142578,7,1781.56,1571.0,7,15.3477,35000
25.5549,-24.573097229003906,8,2668.68,1882.29,8,16.4716,40000
25.1345,-51.001319885253906,9,2743.62,2127.55,9,15.2645,45000
24.9516,-72.04129791259766,10,1247.49,1455.91,10,23.1124,50000
25.4823,-79.36565399169922,11,1264.1,1430.17,11,19.9951,55000
23.8435,-123.514404296875,12,967.57,1604.28,12,14.5942,60000
24.6817,-116.9728775024414,13,376.43,1716.25,13,14.1591,65000
25.7404,-156.05628967285156,14,927.81,1993.59,14,20.0151,70000
24.1772,-129.30149841308594,15,3046.05,2865.21,15,14.6245,75000
25.2395,-175.32908630371094,16,2034.54,2440.07,16,13.9722,80000
24.9075,-217.51219177246094,17,896.38,2572.63,17,14.7525,85000
24.424,-234.055908203125,18,904.53,1689.05,18,15.1874,90000
25.5845,-268.71075439453125,19,945.85,1418.49,19,17.9978,95000
24.5473,-245.5989227294922,20,1109.81,1911.06,20,16.9536,100000
24.4761,-274.6383056640625,21,1262.05,1577.26,21,15.5497,105000
24.6891,-321.0017395019531,22,1152.92,1701.68,22,17.1171,110000
24.6501,-367.9438171386719,23,2276.25,2139.0,23,15.5148,115000
24.8831,-327.395751953125,24,976.18,2137.22,24,20.1838,120000
24.2767,-304.06427001953125,25,2512.31,1994.53,25,14.6716,125000
24.6101,-527.0443115234375,26,2288.38,1629.94,26,29.512,130000
24.5345,-495.6214599609375,27,1297.37,1744.35,27,30.5843,135000
25.0213,-524.7041625976562,28,1984.46,1741.98,28,19.3543,140000
24.3568,-493.5273132324219,29,2004.24,1945.74,29,17.5128,145000
25.0462,-559.5611572265625,30,1833.49,1934.2,30,18.6177,150000
23.5247,-616.5174560546875,31,1693.57,1945.26,31,32.149,155000
23.0633,-563.5458374023438,32,2020.65,1931.1,32,28.2588,160000
24.1514,-720.8195190429688,33,2043.71,1698.55,33,33.7905,165000
22.8733,-601.2617797851562,34,2126.7,2363.96,34,21.1058,170000
22.7889,-718.4114990234375,35,2474.54,1802.09,35,33.4226,175000
22.6069,-454.5118408203125,36,3023.21,2732.13,36,18.4192,180000
22.321,-688.1345825195312,37,1987.64,1675.45,37,27.6852,185000
21.7607,-683.392578125,38,2674.15,1982.42,38,25.9419,190000
22.9765,-1010.04443359375,39,1017.49,1250.56,39,32.0841,195000
20.739,-508.2768859863281,40,3346.12,2123.85,40,19.2479,200000
21.9151,-500.94256591796875,41,3300.86,3122.12,41,17.8275,205000
19.9496,-834.8599243164062,42,3321.63,2324.96,42,30.521,210000
21.8242,-703.572998046875,43,3011.84,2136.24,43,22.9265,215000
21.0491,-542.0419921875,44,3082.56,2710.19,44,15.9372,220000
19.9308,-632.4667358398438,45,3271.88,2101.11,45,19.4029,225000
20.8251,-555.5720825195312,46,3327.91,2678.93,46,17.0816,230000
21.3884,-412.6892395019531,47,3390.98,3260.28,47,14.6587,235000
