Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss
0,199.01,32.4617,202.91,0,0,17.3733,284.8573303222656
5000,300.64,30.401,295.57,1,1,20.2825,83.34234619140625
10000,310.42,29.0518,296.77,2,2,19.9872,1.9165927171707153
15000,324.61,28.6669,321.96,3,3,15.8834,251.26519775390625
20000,411.34,28.9183,400.28,4,4,32.0889,414.7644958496094
25000,563.18,26.219,537.61,5,5,13.48,273.8139953613281
30000,670.34,25.253,633.94,6,6,13.2194,197.11447143554688
35000,717.94,24.8384,711.54,7,7,13.8723,176.1626434326172
40000,715.47,24.4416,671.41,8,8,13.4184,98.37789154052734
45000,778.59,25.5653,797.13,9,9,20.9463,76.15677642822266
50000,2779.82,22.299,1415.78,10,10,11.8804,-5.445540904998779
55000,989.57,25.4276,939.03,11,11,21.3292,3.7739672660827637
60000,3348.59,23.3513,2966.29,12,12,14.6444,-69.91888427734375
65000,3446.0,22.8348,3183.0,13,13,15.0522,-62.81092834472656
70000,1182.09,25.4718,1135.77,14,14,17.3006,-165.62728881835938
75000,3468.36,23.2882,1800.56,15,15,12.8674,-147.8712158203125
80000,3450.23,21.8728,3181.04,16,16,13.8676,-128.0016632080078
85000,3476.21,22.552,2781.86,17,17,13.2011,-153.8988037109375
90000,3424.07,22.5139,2995.74,18,18,13.8023,-180.212646484375
95000,1368.48,24.2182,1219.23,19,19,13.8797,-246.01300048828125
100000,3509.18,22.9052,2069.25,20,20,13.1322,-230.38319396972656
105000,3340.13,21.9594,3337.65,21,21,13.6534,-155.14559936523438
110000,3495.17,22.5496,3363.99,22,22,16.0319,-207.9960174560547
115000,3122.29,24.9191,1592.01,23,23,28.9337,-275.18878173828125
120000,1756.24,24.5147,1298.91,24,24,27.8979,-301.9126892089844
125000,3527.6,22.9579,2007.92,25,25,19.5014,-248.29405212402344
130000,3289.93,23.8197,1652.96,26,26,20.8798,-373.8912353515625
135000,2323.28,24.9539,1628.85,27,27,24.5339,-364.9566650390625
140000,3512.8,22.4064,3191.37,28,28,14.4555,-264.8218078613281
145000,3508.68,21.919,3264.9,29,29,13.6201,-259.3790588378906
150000,3452.0,22.0631,3439.24,30,30,13.3798,-289.4206237792969
155000,3480.11,22.1961,3477.22,31,31,14.4011,-306.4722900390625
160000,3559.89,22.8252,2777.79,32,32,13.7254,-420.0934753417969
165000,3477.33,21.9706,3480.6,33,33,13.4509,-291.6462097167969
170000,3502.8,22.7731,2930.22,34,34,13.3927,-366.8917236328125
175000,3520.58,21.8197,3112.44,35,35,13.1191,-327.2570495605469
180000,3439.48,21.9991,3419.6,36,36,13.4461,-293.3609924316406
185000,3519.44,23.1746,2767.67,37,37,14.684,-501.6445007324219
190000,3503.23,22.1921,2864.89,38,38,16.2872,-440.0972595214844
195000,3509.62,22.4606,3201.03,39,39,14.9825,-411.6899108886719
200000,693.05,22.4216,1925.43,40,40,14.056,-455.4466552734375
205000,3501.25,22.5124,3132.77,41,41,13.5458,-422.6529541015625
210000,3476.74,21.8151,3412.62,42,42,12.4688,-388.4964904785156
215000,3467.0,21.7443,3361.38,43,43,12.6632,-376.4255065917969
220000,3467.75,21.91,3011.42,44,44,13.4459,-429.55389404296875
225000,3450.24,22.009,3285.91,45,45,13.4146,-473.13995361328125
230000,3518.09,21.8799,3500.03,46,46,13.3308,-419.4670715332031
235000,3546.7,23.2404,1927.8,47,47,15.9647,-640.385986328125
240000,3480.56,22.0878,3238.06,48,48,12.942,-462.86859130859375
245000,3447.31,22.1196,3275.11,49,49,12.9893,-456.3345947265625
250000,3517.43,22.5915,3091.57,50,50,13.7376,-587.5199584960938
255000,3489.83,23.5315,2781.24,51,51,22.6576,-713.7021484375
260000,3513.75,22.3733,2507.59,52,52,13.3691,-582.67919921875
265000,3477.15,21.5701,3306.27,53,53,12.5167,-425.921630859375
270000,3536.24,22.1043,2838.81,54,54,13.7203,-607.0326538085938
275000,3540.13,22.3666,3073.66,55,55,14.3296,-748.12451171875
280000,2583.24,23.2646,1519.44,56,56,12.6138,-786.0513305664062
285000,3440.69,21.4748,3400.47,57,57,12.2615,-467.99432373046875
290000,3529.65,22.7481,2191.49,58,58,12.1335,-781.6541748046875
295000,3498.94,21.8733,3151.71,59,59,12.029,-592.7335205078125
300000,2235.1,21.7501,2870.11,60,60,12.4005,-662.0142822265625
305000,3492.23,21.7252,3359.49,61,61,13.451,-648.6759643554688
310000,3506.67,21.7878,2990.21,62,62,13.1511,-657.1173095703125
315000,3473.21,21.3925,3330.22,63,63,12.501,-573.2135620117188
320000,3473.6,21.3668,3332.87,64,64,12.0114,-561.2493896484375
325000,3478.19,21.4529,3426.66,65,65,12.7144,-593.5386962890625
330000,3496.81,21.4966,2948.08,66,66,11.9184,-617.9710693359375
335000,3476.21,21.8345,2987.68,67,67,11.7356,-667.0939331054688
340000,3494.17,21.6749,2954.97,68,68,11.7379,-612.3097534179688
345000,3453.84,21.0978,3418.27,69,69,11.9375,-583.341064453125
350000,3500.01,22.0356,2661.03,70,70,11.4657,-624.0152587890625
355000,3467.4,21.3922,3179.85,71,71,12.6023,-672.408935546875
360000,3481.17,21.2655,3410.08,72,72,12.4287,-684.6087036132812
365000,3503.53,22.0649,3001.84,73,73,12.0781,-725.8545532226562
370000,3492.46,21.4141,3465.52,74,74,12.2991,-722.0154418945312
375000,3429.77,21.7377,3228.1,75,75,12.4431,-807.02685546875
380000,3416.06,23.3046,1950.13,76,76,14.0802,-988.0519409179688
385000,3510.44,22.6139,2782.32,77,77,15.9565,-1047.9752197265625
390000,3456.97,21.2451,3345.76,78,78,12.2708,-754.5050048828125
395000,3444.67,21.102,3426.2,79,79,12.2744,-751.9849853515625
400000,3470.55,21.7331,2724.92,80,80,12.4786,-880.2804565429688
405000,3399.01,21.304,3412.24,81,81,12.7109,-816.2310791015625
410000,3443.63,21.4657,3423.18,82,82,12.6066,-799.8352661132812
415000,3508.8,22.5162,2781.97,83,83,13.8499,-1074.1724853515625
420000,3472.23,21.6669,3444.83,84,84,12.2563,-805.1543579101562
425000,3480.48,21.9339,2558.68,85,85,13.2988,-964.95458984375
430000,3467.52,21.1324,3440.4,86,86,11.7208,-859.5738525390625
435000,3470.65,21.4061,3447.44,87,87,12.6425,-941.45458984375
440000,3500.49,21.4177,3066.93,88,88,12.1046,-908.4085083007812
445000,3463.17,21.4811,3410.17,89,89,12.549,-894.7553100585938
450000,3484.82,21.4627,3432.61,90,90,12.3938,-968.93701171875
455000,3483.87,21.4305,3438.01,91,91,13.1775,-901.3032836914062
460000,3453.44,20.7436,3267.47,92,92,12.1178,-775.5620727539062
465000,3473.38,21.1118,2892.46,93,93,12.2795,-908.7473754882812
470000,3463.56,21.1315,3406.5,94,94,11.7658,-789.6426391601562
475000,3452.09,21.3033,3411.51,95,95,12.3467,-920.590576171875
