Running Forward KL,Itration,Real Det Return,Real Sto Return,Running Reverse KL
158.5558,0,-25.62,-216.39,11.9042
158.4816,1,50.96,-74.14,11.9336
158.2975,2,429.72,92.78,11.9451
158.1781,3,569.41,311.19,13.1475
158.2328,4,845.26,471.02,14.0109
157.8801,5,1084.77,617.18,14.4717
157.7499,6,1046.34,592.86,14.4016
157.8882,7,931.47,652.26,14.1588
157.8734,8,1139.25,798.57,14.4597
157.8117,9,1262.01,883.45,15.0612
157.6735,10,1355.06,1016.28,15.0562
157.7881,11,1483.88,1051.19,15.5297
157.7504,12,1469.61,989.17,15.6734
157.7292,13,1550.84,1125.33,15.9663
157.583,14,1567.6,1179.3,15.9989
157.5496,15,1619.87,1180.24,15.5285
157.6564,16,1636.56,1281.18,16.3686
157.6856,17,1770.17,1294.15,16.1756
157.6823,18,1753.62,1325.29,15.9877
157.6315,19,1790.23,1358.72,16.2565
157.5357,20,1827.15,1408.44,16.2381
157.7043,21,1861.08,1447.03,16.4473
157.5276,22,1820.27,1375.4,15.9579
157.7602,23,1844.59,1445.35,16.4198
157.8475,24,1818.99,1459.41,16.2408
157.5485,25,1855.33,1492.51,16.4735
157.9584,26,1887.27,1517.68,16.848
157.6564,27,1913.91,1558.31,16.7692
157.7199,28,1883.0,1532.81,16.6555
157.7448,29,1935.79,1565.67,16.7284
157.7019,30,1893.16,1527.57,16.2239
157.7715,31,1911.55,1568.87,16.4488
157.6008,32,1978.05,1623.07,16.8772
157.7303,33,1950.93,1587.18,16.7819
157.461,34,2025.02,1623.08,17.018
157.5469,35,1984.57,1632.45,16.881
157.5327,36,1982.81,1638.67,16.6667
157.5661,37,2002.25,1623.24,16.7502
157.4641,38,1984.19,1649.88,16.7902
157.5981,39,2004.89,1656.24,16.604
157.4643,40,2033.94,1676.1,16.7381
157.463,41,2063.79,1686.46,16.6604
157.4751,42,1974.4,1626.93,16.4826
157.5665,43,2035.78,1676.38,16.9816
157.379,44,2037.06,1691.89,16.6914
157.3728,45,2067.98,1664.57,16.2446
157.5185,46,1964.55,1658.07,16.3711
157.3548,47,2081.68,1685.02,16.4423
157.4974,48,1872.84,1617.13,16.216
157.5335,49,2028.31,1706.17,16.3417
157.3053,50,2012.87,1691.06,16.3068
157.1804,51,1999.57,1659.49,16.0151
157.1569,52,2034.26,1720.19,16.3172
157.3884,53,2110.27,1719.92,16.8197
157.2802,54,2086.65,1704.84,16.5514
157.3534,55,2071.41,1703.98,16.4775
157.1574,56,2096.89,1732.87,16.3699
157.3585,57,2024.61,1672.32,16.0685
157.3543,58,2106.94,1739.76,16.4485
157.213,59,2001.52,1689.61,16.254
157.2615,60,2099.31,1703.28,16.0611
157.3246,61,2045.03,1677.1,16.202
156.9729,62,2097.52,1745.49,16.0455
157.125,63,2046.95,1727.1,16.0812
157.1725,64,2103.56,1731.18,16.001
157.0323,65,2080.31,1717.0,15.8913
157.0911,66,2056.13,1740.15,16.2179
157.1881,67,2092.46,1743.11,16.0153
157.0396,68,2014.29,1723.09,15.9207
157.2125,69,2105.36,1749.19,16.2722
157.1256,70,2074.95,1731.88,15.8062
157.1837,71,2083.97,1701.04,15.919
157.143,72,2154.96,1766.58,16.3521
156.9968,73,2152.71,1776.32,16.0003
156.9391,74,2157.11,1754.74,15.7279
157.2669,75,2138.67,1775.62,16.0392
157.2046,76,2141.75,1787.96,16.2135
157.03,77,2123.66,1759.93,15.7007
157.1266,78,2128.27,1760.54,16.1528
157.0382,79,2153.71,1788.32,16.3418
156.9835,80,2105.44,1774.57,15.8885
157.1624,81,2123.36,1768.76,16.0316
156.9552,82,2107.19,1730.95,15.5651
157.1254,83,2073.32,1719.83,15.7714
156.9956,84,2177.94,1798.79,15.9607
157.1446,85,2183.07,1782.58,16.098
156.9604,86,2185.85,1762.34,15.5943
157.2826,87,2130.2,1744.0,15.9066
157.2088,88,2108.15,1761.14,15.7346
157.0036,89,2118.51,1794.49,16.2739
157.0805,90,2010.18,1713.94,15.3308
157.0482,91,2218.94,1801.67,16.1436
157.118,92,2194.92,1788.8,16.1866
157.0149,93,2159.09,1801.13,15.6774
156.949,94,2119.55,1771.82,15.6026
157.023,95,2161.49,1776.28,15.769
156.8677,96,2201.05,1789.54,15.7295
156.9322,97,2186.35,1823.52,15.9756
157.0605,98,2136.78,1757.97,15.4102
156.8905,99,2224.77,1831.31,15.868
156.8801,100,2205.71,1775.98,15.6698
156.7054,101,2145.54,1789.53,15.2883
157.1016,102,2155.89,1804.14,15.7769
157.0138,103,2179.32,1825.79,16.0261
156.9862,104,2112.98,1774.29,15.7696
157.0837,105,2166.52,1797.39,15.8793
156.8576,106,2219.36,1840.57,15.8241
157.0536,107,2173.63,1801.36,15.7869
156.917,108,2172.81,1805.72,15.6307
156.8672,109,2249.26,1831.12,15.8324
156.8354,110,2231.47,1859.93,15.8813
156.7525,111,2174.32,1828.19,15.5746
157.0207,112,2232.38,1836.52,15.6592
156.7796,113,2208.86,1817.64,15.7406
156.9384,114,2234.96,1858.54,15.6655
156.9196,115,2180.79,1846.49,15.8499
156.7903,116,2218.57,1846.18,15.7056
156.8071,117,2199.7,1851.52,15.6638
156.7647,118,2177.59,1814.01,15.5621
156.8497,119,2196.6,1816.67,15.6035
156.8849,120,2182.03,1811.83,15.5044
156.8551,121,2235.31,1832.15,15.7261
156.972,122,2185.53,1817.31,15.4684
156.8368,123,2222.92,1857.49,15.7954
156.9302,124,2241.01,1861.1,15.8574
156.8071,125,2215.08,1861.09,15.723
156.6915,126,2174.57,1786.24,15.4732
