Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Reverse KL
270.29,0,0,273.13,0,583.13037109375,32.3721,26.6457
270.28,1,5000,278.72,1,39.95310974121094,31.135,31.2758
317.57,2,10000,325.27,2,98.99752044677734,30.7096,31.5515
363.32,3,15000,367.18,3,-12.061678886413574,30.6143,24.3935
289.99,4,20000,392.54,4,137.78616333007812,30.2701,43.3084
399.2,5,25000,406.27,5,-33.226531982421875,29.2058,19.2235
488.65,6,30000,483.51,6,-115.39669799804688,27.538,19.8822
435.52,7,35000,455.26,7,-148.61538696289062,27.552,18.5186
522.84,8,40000,484.6,8,-159.8682403564453,27.8966,25.4128
744.33,9,45000,735.47,9,-223.9065399169922,28.0448,21.8717
663.31,10,50000,657.97,10,-294.27874755859375,28.0296,18.3001
853.62,11,55000,704.77,11,-307.92376708984375,26.6438,20.0928
2319.82,12,60000,2566.9,12,-154.34335327148438,26.06,13.3026
1785.87,13,65000,1350.87,13,-274.62347412109375,25.4259,18.5453
2639.02,14,70000,2641.28,14,-177.56341552734375,25.4611,13.7963
1384.23,15,75000,1348.08,15,-341.9808654785156,24.7713,17.491
2452.33,16,80000,2615.11,16,-208.5476531982422,25.3289,13.3309
2845.51,17,85000,2808.92,17,-286.4644775390625,25.3192,14.823
2802.58,18,90000,2809.83,18,-243.69573974609375,25.1605,14.8179
2609.1,19,95000,2677.22,19,-209.36465454101562,25.1389,14.343
801.8,20,100000,271.65,20,-278.5411376953125,23.6416,12.5328
2517.28,21,105000,2953.2,21,-373.41033935546875,24.4966,13.8351
3070.89,22,110000,3054.62,22,-351.0684509277344,25.0028,15.6863
2067.66,23,115000,3115.56,23,-373.3917236328125,24.7526,17.3975
2805.08,24,120000,2903.7,24,-385.6357116699219,24.3176,14.7664
2536.32,25,125000,3161.2,25,-328.1580505371094,23.9187,15.6687
2572.87,26,130000,3149.18,26,-379.784423828125,23.7124,19.9824
2719.9,27,135000,3059.09,27,-412.58575439453125,24.8247,17.8787
3149.97,28,140000,3197.76,28,-304.3790588378906,25.3915,16.0856
3075.01,29,145000,3156.57,29,-399.6612548828125,25.6101,15.9633
3174.5,30,150000,3182.14,30,-387.0104675292969,25.1615,16.9231
3005.93,31,155000,3063.86,31,-412.1229248046875,25.674,16.0552
3155.22,32,160000,3180.09,32,-433.1129455566406,25.383,16.2165
3194.92,33,165000,3243.46,33,-425.9319152832031,24.5504,16.0076
3121.94,34,170000,3308.14,34,-425.3036804199219,24.282,15.7813
1707.09,35,175000,2832.46,35,-443.42547607421875,24.7539,15.2985
1870.51,36,180000,3272.84,36,-665.0576171875,24.5436,22.6949
3210.3,37,185000,3268.72,37,-468.1275634765625,24.9459,16.1111
3239.84,38,190000,3276.5,38,-439.5718994140625,24.8887,16.2752
2928.47,39,195000,3272.35,39,-311.6508483886719,23.9406,14.376
3271.5,40,200000,3310.29,40,-450.77093505859375,24.5704,15.9804
2707.14,41,205000,3316.73,41,-613.6831665039062,23.8456,13.988
3319.07,42,210000,3339.72,42,-373.400634765625,23.7432,15.1968
3258.5,43,215000,3300.07,43,-445.1184997558594,24.8617,14.9939
3141.91,44,220000,3288.67,44,-439.06524658203125,24.7938,15.4256
2957.77,45,225000,3297.94,45,-454.86212158203125,24.2472,14.9763
2952.06,46,230000,3312.95,46,-445.43927001953125,24.4741,15.6273
2043.12,47,235000,2026.12,47,-461.5650329589844,24.8898,15.4348
