Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss,Running Env Steps,Real Det Return
340.48,0,0,274.373,474.6312,148.12774658203125,0,238.03
356.11,1,1,289.9749,434.5007,-2249.68701171875,5000,359.6
372.8,2,2,313.2249,435.5284,-3166.758056640625,10000,326.31
433.38,3,3,267.6162,421.9077,-2383.683837890625,15000,581.39
350.08,4,4,272.4143,428.691,-2804.033935546875,20000,349.94
425.12,5,5,271.4365,426.9433,-5905.69677734375,25000,508.71
422.73,6,6,292.0956,429.2613,-7250.5556640625,30000,424.94
516.54,7,7,264.1014,429.5987,-6688.6455078125,35000,541.73
521.76,8,8,251.5026,420.2843,-9169.416015625,40000,553.43
498.44,9,9,240.347,421.2604,-8696.087890625,45000,532.31
497.24,10,10,258.8598,424.7288,-10516.5595703125,50000,463.74
558.49,11,11,273.6291,403.3951,-11291.1123046875,55000,456.89
532.86,12,12,271.4237,409.3602,-13446.8681640625,60000,482.24
576.17,13,13,266.7646,408.3547,-13347.9111328125,65000,441.11
502.54,14,14,278.3175,415.196,-16282.7978515625,70000,430.01
486.53,15,15,275.7248,425.6911,-16630.212890625,75000,343.84
519.31,16,16,261.8289,402.7506,-18202.865234375,80000,411.76
499.45,17,17,275.7645,414.6619,-20617.00390625,85000,438.8
526.33,18,18,274.4471,416.1561,-21981.654296875,90000,429.35
527.98,19,19,271.7009,413.2249,-23033.232421875,95000,435.47
582.07,20,20,258.9241,409.172,-24182.953125,100000,515.87
589.94,21,21,241.8491,412.6808,-23479.576171875,105000,609.69
592.37,22,22,247.8351,406.7187,-24623.431640625,110000,477.95
686.49,23,23,239.246,411.8586,-25736.921875,115000,659.87
636.9,24,24,259.8969,408.0431,-29473.03515625,120000,521.26
623.68,25,25,239.6279,404.4626,-29105.53125,125000,607.23
533.23,26,26,259.0705,406.7283,-31104.224609375,130000,491.58
541.79,27,27,287.9856,407.0064,-34261.57421875,135000,547.16
573.88,28,28,278.3242,404.4174,-34111.6796875,140000,487.62
590.89,29,29,265.8403,397.9638,-34197.1171875,145000,512.65
640.87,30,30,243.6721,397.8444,-33072.90625,150000,575.44
510.88,31,31,279.6807,422.2362,-37880.47265625,155000,472.35
526.85,32,32,262.964,412.5084,-36187.53125,160000,417.33
646.08,33,33,266.3058,399.8572,-38663.390625,165000,498.96
644.01,34,34,244.6843,403.4843,-37194.51953125,170000,545.58
607.73,35,35,297.5646,405.3309,-43862.07421875,175000,513.78
685.58,36,36,277.0657,403.0852,-42916.72265625,180000,486.71
694.58,37,37,265.2213,407.0489,-42211.98828125,185000,542.75
770.17,38,38,272.2032,381.9993,-43798.9140625,190000,542.11
663.37,39,39,276.2767,411.1452,-46421.234375,195000,533.82
708.12,40,40,276.2748,397.9662,-44747.34375,200000,548.51
693.09,41,41,258.3473,394.1972,-45460.40625,205000,673.13
688.05,42,42,269.8548,410.2997,-47359.83203125,210000,552.94
750.39,43,43,280.2116,402.5673,-49873.6015625,215000,500.51
755.44,44,44,294.4068,404.711,-52615.8515625,220000,597.3
705.07,45,45,264.0558,389.6111,-48570.765625,225000,609.02
856.76,46,46,261.9039,388.6679,-49262.62109375,230000,803.36
844.77,47,47,296.8394,397.6408,-53917.09765625,235000,769.31
994.35,48,48,235.4129,385.4096,-47574.17578125,240000,612.69
844.91,49,49,275.3303,389.1473,-54771.32421875,245000,668.37
1114.82,50,50,206.4536,366.3937,-46944.4296875,250000,1110.8
1281.27,51,51,215.2648,372.5853,-45635.99609375,255000,841.07
1078.08,52,52,253.5827,395.2003,-53056.9765625,260000,883.9
1106.65,53,53,238.6821,375.6697,-47839.4140625,265000,839.74
862.3,54,54,259.4789,371.8327,-48754.24609375,270000,709.29
1248.69,55,55,271.6022,385.6334,-55844.38671875,275000,823.61
1630.85,56,56,239.0885,387.4606,-49484.80078125,280000,975.21
1123.82,57,57,275.0428,389.3088,-57019.43359375,285000,707.67
1078.82,58,58,247.4424,374.8757,-53995.046875,290000,849.01
1345.5,59,59,283.0828,376.8389,-54855.03515625,295000,651.04
1436.8,60,60,287.3692,384.5863,-58293.81640625,300000,628.43
1373.9,61,61,238.444,369.1423,-51595.9375,305000,769.95
1507.24,62,62,215.2409,368.3738,-48823.21875,310000,808.41
1149.39,63,63,237.0336,375.8906,-52091.6875,315000,1015.71
1391.95,64,64,229.8761,362.4728,-51729.2890625,320000,653.25
1574.63,65,65,225.4059,364.3329,-52189.9921875,325000,815.48
1275.31,66,66,281.4473,388.2056,-57538.5234375,330000,946.51
2164.18,67,67,208.2828,366.9779,-46049.27734375,335000,970.07
