Running Env Steps,Running Update Time,Reward Loss,Running Forward KL,Real Det Return,Itration,Real Sto Return,Running Reverse KL
0,0,211.20651245117188,30.4931,283.5,0,303.93,18.4279
5000,1,210.65916442871094,30.0821,306.01,1,296.04,21.4407
10000,2,337.8022766113281,29.2485,340.12,2,327.82,29.0264
15000,3,132.9253692626953,27.538,312.87,3,318.92,17.7573
20000,4,140.1497344970703,26.9133,312.69,4,246.74,14.7763
25000,5,17.932043075561523,26.1198,493.74,5,470.81,15.3412
30000,6,199.6639404296875,27.9548,414.1,6,401.74,27.1941
35000,7,123.69641876220703,28.4857,428.64,7,410.23,37.5663
40000,8,115.30852508544922,28.5204,474.63,8,472.09,59.4337
45000,9,124.38053894042969,27.3312,579.1,9,526.13,46.6638
50000,10,-41.401390075683594,28.2418,574.17,10,543.79,37.3752
55000,11,-36.32366180419922,27.5122,636.75,11,624.7,65.1938
60000,12,-146.3384246826172,28.1382,628.76,12,580.82,42.5179
65000,13,-210.67840576171875,26.6731,855.47,13,785.42,59.4943
70000,14,-157.0833282470703,27.3932,801.82,14,736.52,69.9709
75000,15,-159.7750244140625,27.1114,804.72,15,787.12,66.4471
80000,16,-191.26425170898438,27.3734,1093.38,16,1051.76,49.7653
85000,17,-338.91522216796875,27.8933,847.34,17,881.28,50.9411
90000,18,-359.24456787109375,26.7889,827.06,18,841.26,75.5469
95000,19,-285.1340637207031,25.9875,1348.93,19,1540.14,32.0135
100000,20,-386.34710693359375,25.7475,997.9,20,884.63,39.0208
105000,21,-339.60162353515625,25.7149,2263.8,21,1928.47,23.5365
110000,22,-471.46240234375,26.2697,1494.46,22,1508.69,31.6076
115000,23,-428.9554748535156,24.4117,2088.7,23,1979.51,46.9035
120000,24,-563.1552734375,25.272,1134.55,24,1518.53,47.3048
125000,25,-454.9757080078125,24.9492,1783.67,25,1975.21,32.2675
130000,26,-783.7717895507812,27.1562,898.54,26,923.87,85.0795
135000,27,-679.334716796875,24.5753,1180.0,27,1200.32,81.977
140000,28,-652.5527954101562,23.785,1538.78,28,1310.18,46.1682
145000,29,-899.8447265625,26.0546,958.21,29,1055.98,87.8078
150000,30,-830.5733032226562,24.2764,1772.91,30,1440.2,75.7777
155000,31,-992.486083984375,25.0633,968.9,31,1386.57,83.7
