Running Forward KL,Running Reverse KL,Itration,Real Det Return,Real Sto Return
40.2112,53.3395,0,179.85,190.25
40.8748,37.1745,1,246.12,255.28
40.8122,45.0577,2,271.43,260.27
39.7961,46.7598,3,255.16,252.91
38.8705,70.0467,4,307.62,301.79
38.5774,69.3686,5,338.18,338.54
36.2906,71.1058,6,316.16,300.8
31.2058,49.6934,7,558.47,540.53
35.149,61.6977,8,367.94,388.09
33.2569,62.3964,9,705.94,678.54
32.6762,47.9125,10,636.78,615.14
31.4062,42.649,11,889.39,738.54
31.2984,37.2894,12,823.72,702.03
30.5395,30.0638,13,1020.93,1654.85
29.908,46.3025,14,1155.4,1036.99
32.2858,54.5125,15,886.11,757.0
32.5051,27.7408,16,921.82,843.03
31.4059,31.111,17,932.3,899.64
30.2422,29.2288,18,1865.14,1282.42
31.3887,53.0815,19,1005.21,988.53
31.5242,44.8272,20,1355.57,1120.46
29.5783,24.7037,21,3101.67,1879.97
