Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Itration
251.4538,451.308,301.27,-631.8978881835938,0,0,283.84,0
301.0662,445.7143,271.9,-1345.6143798828125,1,5000,276.1,1
264.4382,447.7116,347.31,-2539.36474609375,2,10000,344.1,2
262.9962,425.4306,488.0,-5542.1201171875,3,15000,424.83,3
240.8246,421.7748,439.72,-5861.60986328125,4,20000,401.13,4
259.649,431.2816,425.77,-7375.5869140625,5,25000,425.77,5
302.2974,423.989,438.25,-9818.80859375,6,30000,385.07,6
311.0709,445.0865,360.94,-12418.57421875,7,35000,349.43,7
303.3297,429.2663,447.33,-10690.67578125,8,40000,414.01,8
265.5403,404.0319,462.5,-10929.34765625,9,45000,459.51,9
249.9053,409.0504,523.12,-12319.0146484375,10,50000,505.77,10
283.8106,411.0108,423.9,-15835.1767578125,11,55000,417.89,11
247.6781,400.8885,705.95,-16391.390625,12,60000,507.33,12
253.8709,411.7658,672.15,-18175.796875,13,65000,507.8,13
269.1527,412.787,615.14,-19811.359375,14,70000,459.2,14
260.245,408.1718,640.91,-21618.8203125,15,75000,523.85,15
264.287,408.119,623.02,-22592.4296875,16,80000,531.45,16
246.609,405.7832,683.37,-23550.017578125,17,85000,555.63,17
259.3964,410.9373,670.11,-25556.7578125,18,90000,581.41,18
263.0066,413.0066,703.45,-26890.4765625,19,95000,562.06,19
243.3563,406.7821,653.01,-26743.599609375,20,100000,568.25,20
251.8929,409.6083,585.44,-29044.767578125,21,105000,518.7,21
249.4501,408.4694,665.48,-29942.126953125,22,110000,655.92,22
250.7511,416.488,423.77,-31080.802734375,23,115000,473.52,23
238.3086,403.788,651.81,-27939.556640625,24,120000,775.25,24
230.3986,401.1451,658.74,-29100.818359375,25,125000,739.78,25
236.4087,387.9844,685.54,-30119.53125,26,130000,685.31,26
254.1156,400.9125,613.68,-33242.5859375,27,135000,678.52,27
252.612,409.7934,547.75,-31840.302734375,28,140000,641.44,28
231.9484,390.6189,610.16,-33126.80078125,29,145000,866.96,29
246.2699,388.215,496.59,-34084.12890625,30,150000,718.22,30
227.7165,399.136,808.27,-35212.64453125,31,155000,734.76,31
253.0927,412.1536,691.95,-38159.6015625,32,160000,837.58,32
237.3457,395.8834,615.44,-37618.95703125,33,165000,733.35,33
239.1604,391.6169,663.99,-38353.9453125,34,170000,823.45,34
228.4779,384.8782,710.78,-38909.73046875,35,175000,870.36,35
253.8862,389.8077,790.73,-42835.61328125,36,180000,940.94,36
234.3293,390.1046,794.17,-39726.66015625,37,185000,996.51,37
239.865,388.6802,858.44,-42400.59375,38,190000,1106.84,38
241.0644,379.4066,434.66,-39462.4140625,39,195000,1108.01,39
240.2724,387.7553,457.57,-39571.2734375,40,200000,920.55,40
254.6987,393.9623,375.33,-40840.55859375,41,205000,801.87,41
239.185,381.248,819.76,-39436.796875,42,210000,1138.45,42
210.6422,376.734,1103.61,-40661.0234375,43,215000,1292.83,43
221.9027,383.277,1008.49,-42830.1171875,44,220000,1070.19,44
223.1478,381.7683,907.26,-44136.5625,45,225000,1234.64,45
215.6207,379.8546,1048.49,-44095.6796875,46,230000,1163.17,46
218.3883,374.9182,1009.99,-44936.390625,47,235000,1113.96,47
216.3993,371.3253,1442.26,-42502.3984375,48,240000,1777.99,48
217.9165,383.4986,1073.33,-46030.1953125,49,245000,1092.28,49
208.8775,380.8775,1108.86,-44148.06640625,50,250000,1287.5,50
206.0568,372.6111,1068.33,-39356.54296875,51,255000,1314.16,51
204.2502,379.0601,937.54,-44831.7109375,52,260000,1523.6,52
204.5959,366.9288,1108.9,-43225.4140625,53,265000,1766.62,53
196.1006,364.957,1537.01,-40063.8984375,54,270000,1558.4,54
198.7474,358.5574,1574.66,-41686.15625,55,275000,1753.57,55
231.052,384.6487,1138.8,-51008.80078125,56,280000,1075.61,56
235.3598,398.1947,972.5,-52981.14453125,57,285000,999.2,57
190.2082,368.3331,1498.29,-37817.8125,58,290000,3190.32,58
