Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Update Time,Real Sto Return,Real Det Return
49.6738,15.4071,0,0,65.19312286376953,0,336.82,327.47
49.3215,14.0321,5000,1,86.15601348876953,1,258.41,319.36
49.6728,14.2786,10000,2,64.35120391845703,2,329.39,303.6
49.1541,13.6132,15000,3,83.8036117553711,3,330.96,300.82
49.6039,14.1268,20000,4,122.40533447265625,4,274.3,338.96
49.762,15.9888,25000,5,42.34925079345703,5,302.26,278.87
49.3907,20.3913,30000,6,-22.166147232055664,6,368.34,345.14
48.8731,30.3303,35000,7,-74.64213562011719,7,439.23,454.8
48.8486,31.3565,40000,8,-132.61001586914062,8,491.58,684.95
48.9196,35.9894,45000,9,-161.88671875,9,503.73,570.81
48.1802,30.6994,50000,10,-137.7304229736328,10,888.5,1232.87
49.1356,31.0649,55000,11,-174.56263732910156,11,657.39,686.48
48.4341,17.0326,60000,12,-98.1494369506836,12,720.75,956.34
47.7633,22.8422,65000,13,-134.0238800048828,13,780.3,969.8
47.9213,39.2504,70000,14,-228.8238525390625,14,676.48,730.74
47.6884,16.8325,75000,15,-66.85244750976562,15,682.53,704.27
48.6327,18.3048,80000,16,-77.7750015258789,16,605.47,601.94
49.7151,26.1341,85000,17,-132.86891174316406,17,283.38,617.6
47.9714,24.9162,90000,18,-198.65614318847656,18,652.87,840.02
47.635,21.6873,95000,19,-155.5595245361328,19,782.0,853.63
47.8745,28.0196,100000,20,-202.24270629882812,20,825.59,875.78
47.9105,25.7601,105000,21,-197.67642211914062,21,718.81,843.38
47.5949,34.5674,110000,22,-202.06436157226562,22,748.33,672.58
47.3823,30.4882,115000,23,-197.92860412597656,23,739.49,697.4
48.2421,18.6441,120000,24,-194.35772705078125,24,781.39,895.68
47.7448,14.2837,125000,25,-92.34586334228516,25,629.28,762.83
47.2548,25.0271,130000,26,-163.92498779296875,26,820.05,563.43
47.0487,18.6851,135000,27,-172.10426330566406,27,756.02,842.2
47.517,13.9688,140000,28,-167.6750030517578,28,861.15,786.49
47.0727,22.0342,145000,29,-212.20382690429688,29,840.71,714.18
47.8163,17.5135,150000,30,-213.87681579589844,30,858.65,470.39
47.5013,17.7633,155000,31,-224.58984375,31,740.07,700.69
46.6308,14.4806,160000,32,-185.01771545410156,32,1009.94,879.28
