Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Itration
18.568,39.4376,202.17,200.66,0
20.9008,37.0895,318.36,301.74,1
25.9919,37.6516,308.11,305.89,2
20.9808,36.7344,314.46,316.22,3
19.5042,35.4317,427.76,406.62,4
20.8066,35.3297,376.21,364.04,5
105.9703,34.9547,434.65,346.03,6
33.6603,36.9116,345.65,327.75,7
33.5525,44.2572,1026.93,1027.37,8
27.7708,43.6381,481.72,501.14,9
41.2201,43.9095,1035.28,1036.79,10
27.2287,42.3174,1020.78,1018.36,11
25.8259,39.8886,1070.97,860.96,12
27.7248,39.6595,463.28,453.64,13
41.9268,38.6935,207.11,206.59,14
20.7368,35.6978,756.86,626.93,15
17.1601,38.8625,407.47,411.81,16
23.7816,40.2149,1034.92,1019.47,17
24.1578,40.921,1097.36,1109.19,18
29.0354,39.9549,1056.95,754.71,19
108.1059,44.0543,86.8,83.08,20
25.8287,36.8175,472.73,472.66,21
30.8528,37.6235,1037.35,944.23,22
91.6751,44.8446,74.71,78.17,23
