Running Env Steps,Real Det Return,Itration,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL
785000,1305.54,157,1509.73,157,28.6539,-845.1348266601562,17.2383
790000,2037.64,158,2264.34,158,27.235,-469.72662353515625,14.7458
795000,1218.0,159,1179.74,159,29.9165,-635.3611450195312,22.7796
800000,1853.36,160,2052.99,160,27.6068,-683.9715576171875,16.4233
805000,3293.45,161,2206.85,161,26.4423,-563.87890625,13.8186
810000,1227.2,162,1704.95,162,27.6433,-851.2255249023438,17.0477
815000,1864.17,163,2161.56,163,28.1135,-742.525146484375,16.8562
820000,1280.28,164,1571.11,164,27.5861,-952.1294555664062,18.7483
825000,2550.72,165,1917.47,165,25.7566,-673.7221069335938,15.8086
830000,2673.49,166,1791.09,166,28.7348,-944.5543212890625,19.0187
835000,2106.63,167,1808.25,167,27.5313,-875.3953247070312,18.8975
840000,1707.62,168,1803.32,168,27.9769,-816.0738525390625,18.105
845000,1774.41,169,1535.49,169,28.3628,-979.3121948242188,18.6313
850000,1417.0,170,1853.95,170,28.1255,-870.3092041015625,15.9836
855000,1707.08,171,1661.24,171,28.463,-869.796630859375,16.9798
860000,2072.55,172,1748.3,172,27.8316,-988.92236328125,17.0758
865000,1880.27,173,2143.53,173,28.1671,-896.020263671875,16.7797
870000,1708.67,174,1703.94,174,28.3869,-681.6768188476562,15.4749
875000,1647.38,175,1694.15,175,27.8579,-851.5396118164062,15.9708
880000,1791.49,176,2033.66,176,27.1175,-808.1984252929688,15.1804
885000,1840.89,177,1518.67,177,27.8044,-972.9598999023438,16.9059
890000,2025.88,178,1778.43,178,27.6031,-842.3455200195312,16.8235
895000,2327.14,179,1944.53,179,27.386,-826.467529296875,16.0237
900000,3000.63,180,2463.78,180,27.2176,-549.822265625,14.1923
905000,1681.4,181,1653.79,181,28.1848,-1050.3265380859375,15.8225
910000,2154.21,182,2620.32,182,27.2171,-688.4706420898438,15.2579
915000,1559.45,183,1718.92,183,28.1293,-788.1848754882812,13.7376
920000,1461.1,184,1728.48,184,27.5747,-997.6273193359375,16.2018
925000,2284.66,185,1957.5,185,27.8395,-954.8480834960938,16.3955
930000,2456.88,186,2012.32,186,27.7368,-927.1175537109375,15.884
935000,1717.36,187,1941.74,187,27.8862,-952.236328125,17.3725
940000,1912.24,188,2088.32,188,26.8611,-899.3817749023438,16.3193
945000,1902.45,189,1902.0,189,26.7696,-923.9608154296875,15.9071
950000,2208.75,190,1869.82,190,27.6456,-856.5158081054688,16.702
955000,2303.56,191,2049.22,191,27.5271,-931.0324096679688,16.8107
960000,1944.51,192,1448.4,192,27.3646,-977.8343505859375,16.6347
965000,2062.52,193,1926.14,193,26.3067,-950.018310546875,16.9268
970000,2102.79,194,1816.73,194,27.6564,-1001.3158569335938,17.145
975000,2279.25,195,1790.53,195,27.1288,-932.82861328125,16.9493
980000,1201.46,196,1423.59,196,28.2673,-1153.9874267578125,18.189
985000,1577.48,197,1696.66,197,27.1864,-1105.81396484375,18.0273
990000,2004.88,198,1799.68,198,27.1559,-1088.580810546875,18.3874
995000,2024.96,199,2066.94,199,26.4711,-774.8934326171875,15.7426
